semantic_type_v3,operator,tests,candidate_rows,non_l7_candidate_rows,median_control_ratio,operator_policy_v2,a7ff23r_operator_route
basis_premium_like,Delta,45,3,2,9.474061550504691,diagnostic_only,diagnostic_generation_operator
basis_premium_like,ZScore,0,0,0,,probe_required,probe_generation_operator
basis_premium_like,CSRank,45,0,0,2.7668597270707704,probe_required,probe_generation_operator
basis_premium_like,HorizonSpread,0,0,0,,probe_required,probe_generation_operator
basis_premium_like,SafeDiv,0,0,0,,probe_required,probe_generation_operator
basis_premium_like,Clip,0,0,0,,probe_required,probe_generation_operator
basis_premium_like,Shock,0,0,0,,probe_required,probe_generation_operator
funding_like,Delta,27,0,0,4.602066092832918,probe_required,probe_generation_operator
funding_like,ZScore,0,0,0,,probe_required,probe_generation_operator
funding_like,Abs,0,0,0,,probe_required,probe_generation_operator
funding_like,Sign,0,0,0,,probe_required,probe_generation_operator
funding_like,Persistence,0,0,0,,probe_required,probe_generation_operator
funding_like,CSRank,27,0,0,3.1178621075969533,probe_required,probe_generation_operator
generic_numeric,Delta,0,0,0,,probe_required,probe_generation_operator
generic_numeric,ZScore,0,0,0,,probe_required,probe_generation_operator
generic_numeric,CSRank,0,0,0,,probe_required,probe_generation_operator
liquidity_like,Delta,27,0,0,12.696424218006424,probe_required,probe_generation_operator
liquidity_like,ZScore,0,0,0,,probe_required,probe_generation_operator
liquidity_like,Shock,0,0,0,,probe_required,probe_generation_operator
liquidity_like,Persistence,0,0,0,,probe_required,probe_generation_operator
liquidity_like,CSRank,27,0,0,5.421529328693772,probe_required,probe_generation_operator
liquidity_like,WithinLiquidityTierRank,0,0,0,,probe_required,probe_generation_operator
positioning_like,Delta,72,0,0,15.921213930614652,probe_required,probe_generation_operator
positioning_like,ZScore,0,0,0,,probe_required,probe_generation_operator
positioning_like,Persistence,0,0,0,,probe_required,probe_generation_operator
positioning_like,Shock,0,0,0,,probe_required,probe_generation_operator
positioning_like,CSRank,72,0,0,6.785635578347195,probe_required,probe_generation_operator
positioning_like,HorizonSpread,0,0,0,,probe_required,probe_generation_operator
price_like,Delta,18,0,0,14.185985085731897,probe_required,probe_generation_operator
price_like,ZScore,0,0,0,,probe_required,probe_generation_operator
price_like,TSRank,0,0,0,,probe_required,probe_generation_operator
price_like,CSRank,18,2,0,12.183592416628825,diagnostic_only,diagnostic_generation_operator
price_like,HorizonSpread,0,0,0,,probe_required,probe_generation_operator
state_or_taxonomy,WithinGroupRank,0,0,0,,probe_required,probe_generation_operator
state_or_taxonomy,RegimeMask,0,0,0,,probe_required,probe_generation_operator
state_or_taxonomy,Neutralize,0,0,0,,probe_required,probe_generation_operator
state_or_taxonomy,InteractionOnly,0,0,0,,probe_required,probe_generation_operator
volatility_like,Delta,18,0,0,23.955684800366,probe_required,probe_generation_operator
volatility_like,ZScore,0,0,0,,probe_required,probe_generation_operator
volatility_like,Shock,0,0,0,,probe_required,probe_generation_operator
volatility_like,CSRank,18,2,0,6.671388033575323,diagnostic_only,diagnostic_generation_operator
volatility_like,HorizonSpread,0,0,0,,probe_required,probe_generation_operator
