candidate_id,held_out_symbol,split,loo_mode,annualized_mean,compounded_max_dd
a7h_basis_rank_mark_ratio_h6,ADAUSDT,recent_oos_2025H2_2026Apr,placeholder_no_symbol_mask,,
a7h_basis_rank_mark_ratio_h6,ADAUSDT,fresh_forward_2026May,placeholder_no_symbol_mask,,
a7h_basis_rank_mark_ratio_h6,AVAXUSDT,recent_oos_2025H2_2026Apr,placeholder_no_symbol_mask,,
a7h_basis_rank_mark_ratio_h6,AVAXUSDT,fresh_forward_2026May,placeholder_no_symbol_mask,,
a7h_basis_rank_mark_ratio_h6,BCHUSDT,recent_oos_2025H2_2026Apr,placeholder_no_symbol_mask,,
a7h_basis_rank_mark_ratio_h6,BCHUSDT,fresh_forward_2026May,placeholder_no_symbol_mask,,
a7h_basis_rank_mark_ratio_h6,BNBUSDT,recent_oos_2025H2_2026Apr,placeholder_no_symbol_mask,,
a7h_basis_rank_mark_ratio_h6,BNBUSDT,fresh_forward_2026May,placeholder_no_symbol_mask,,
a7h_basis_rank_mark_ratio_h6,BTCUSDT,recent_oos_2025H2_2026Apr,placeholder_no_symbol_mask,,
a7h_basis_rank_mark_ratio_h6,BTCUSDT,fresh_forward_2026May,placeholder_no_symbol_mask,,
a7h_basis_rank_mark_ratio_h6,DOGEUSDT,recent_oos_2025H2_2026Apr,placeholder_no_symbol_mask,,
a7h_basis_rank_mark_ratio_h6,DOGEUSDT,fresh_forward_2026May,placeholder_no_symbol_mask,,
a7h_basis_rank_mark_ratio_h6,ETHUSDT,recent_oos_2025H2_2026Apr,placeholder_no_symbol_mask,,
a7h_basis_rank_mark_ratio_h6,ETHUSDT,fresh_forward_2026May,placeholder_no_symbol_mask,,
a7h_basis_rank_mark_ratio_h6,LINKUSDT,recent_oos_2025H2_2026Apr,placeholder_no_symbol_mask,,
a7h_basis_rank_mark_ratio_h6,LINKUSDT,fresh_forward_2026May,placeholder_no_symbol_mask,,
a7h_basis_rank_mark_ratio_h6,LTCUSDT,recent_oos_2025H2_2026Apr,placeholder_no_symbol_mask,,
a7h_basis_rank_mark_ratio_h6,LTCUSDT,fresh_forward_2026May,placeholder_no_symbol_mask,,
a7h_basis_rank_mark_ratio_h6,SOLUSDT,recent_oos_2025H2_2026Apr,placeholder_no_symbol_mask,,
a7h_basis_rank_mark_ratio_h6,SOLUSDT,fresh_forward_2026May,placeholder_no_symbol_mask,,
a7h_basis_rank_mark_ratio_h6,SUIUSDT,recent_oos_2025H2_2026Apr,placeholder_no_symbol_mask,,
a7h_basis_rank_mark_ratio_h6,SUIUSDT,fresh_forward_2026May,placeholder_no_symbol_mask,,
a7h_basis_rank_mark_ratio_h6,XRPUSDT,recent_oos_2025H2_2026Apr,placeholder_no_symbol_mask,,
a7h_basis_rank_mark_ratio_h6,XRPUSDT,fresh_forward_2026May,placeholder_no_symbol_mask,,
a7h_basis_z_mark_ratio_h12,ADAUSDT,recent_oos_2025H2_2026Apr,placeholder_no_symbol_mask,,
a7h_basis_z_mark_ratio_h12,ADAUSDT,fresh_forward_2026May,placeholder_no_symbol_mask,,
a7h_basis_z_mark_ratio_h12,AVAXUSDT,recent_oos_2025H2_2026Apr,placeholder_no_symbol_mask,,
a7h_basis_z_mark_ratio_h12,AVAXUSDT,fresh_forward_2026May,placeholder_no_symbol_mask,,
a7h_basis_z_mark_ratio_h12,BCHUSDT,recent_oos_2025H2_2026Apr,placeholder_no_symbol_mask,,
a7h_basis_z_mark_ratio_h12,BCHUSDT,fresh_forward_2026May,placeholder_no_symbol_mask,,
a7h_basis_z_mark_ratio_h12,BNBUSDT,recent_oos_2025H2_2026Apr,placeholder_no_symbol_mask,,
a7h_basis_z_mark_ratio_h12,BNBUSDT,fresh_forward_2026May,placeholder_no_symbol_mask,,
a7h_basis_z_mark_ratio_h12,BTCUSDT,recent_oos_2025H2_2026Apr,placeholder_no_symbol_mask,,
a7h_basis_z_mark_ratio_h12,BTCUSDT,fresh_forward_2026May,placeholder_no_symbol_mask,,
a7h_basis_z_mark_ratio_h12,DOGEUSDT,recent_oos_2025H2_2026Apr,placeholder_no_symbol_mask,,
a7h_basis_z_mark_ratio_h12,DOGEUSDT,fresh_forward_2026May,placeholder_no_symbol_mask,,
a7h_basis_z_mark_ratio_h12,ETHUSDT,recent_oos_2025H2_2026Apr,placeholder_no_symbol_mask,,
a7h_basis_z_mark_ratio_h12,ETHUSDT,fresh_forward_2026May,placeholder_no_symbol_mask,,
a7h_basis_z_mark_ratio_h12,LINKUSDT,recent_oos_2025H2_2026Apr,placeholder_no_symbol_mask,,
a7h_basis_z_mark_ratio_h12,LINKUSDT,fresh_forward_2026May,placeholder_no_symbol_mask,,
a7h_basis_z_mark_ratio_h12,LTCUSDT,recent_oos_2025H2_2026Apr,placeholder_no_symbol_mask,,
a7h_basis_z_mark_ratio_h12,LTCUSDT,fresh_forward_2026May,placeholder_no_symbol_mask,,
a7h_basis_z_mark_ratio_h12,SOLUSDT,recent_oos_2025H2_2026Apr,placeholder_no_symbol_mask,,
