field,status
account_position_divergence,computed_derived
age_percentile_active_universe,latent
age_x_liquidity,latent
age_x_volatility,latent
basis_abs_168h,latent
basis_abs_state,latent
basis_dislocation_state,upper_regime_alias:R5_basis_premium_dislocation_state
coverage_state,latent
funding_abs_state,latent
funding_interval_hours,base
funding_rate_abs_168h,latent
funding_rate_abs_state_168h_z,computed_dense_funding
funding_rate_delta_state_24h,computed_dense_funding
funding_rate_persistence_24h,computed_derived
funding_rate_state_last_ffill_8h,computed_dense_funding
funding_rate_update_age_hours,computed_dense_funding
funding_state_x_basis_delta,computed_dense_funding
global_long_short_account_ratio_last,base
global_long_short_account_ratio_mean,base
index_close,base
kline_taker_buy_quote_share,base
leverage_crowding_state,upper_regime_alias:R4_leverage_crowding_state
liquidity_cycle_state,upper_regime_alias:R3_liquidity_cycle_state
liquidity_rank_active_universe,latent
liquidity_state,latent
listing_age_days,latent
log1p_listing_age_days,latent
mark_close,base
mark_index_basis_bps,base
mark_trade_basis_bps,base
market_breadth_state,upper_regime_alias:R2_market_breadth_state
oi_x_price_move_24h,latent
open_interest_change_24h,latent
open_interest_last,base
open_interest_mean,base
open_interest_value_change_24h,computed_derived
open_interest_value_last,base
open_interest_value_mean,base
premium_abs_168h,latent
premium_close_bps,base
premium_count,base
realized_vol_168h,latent
realized_vol_24h,latent
realized_vol_72h,latent
rolling_coverage_168h,latent
source_market_funding,base
sqrt_listing_age_days,latent
stress_proxy_state,upper_regime_alias:R10_stress_proxy_state
taker_buy_sell_volume_ratio_last,base
taker_buy_sell_volume_ratio_mean,base
top_long_short_account_ratio_last,base
top_long_short_account_ratio_mean,base
top_long_short_position_ratio_last,base
top_long_short_position_ratio_mean,base
trade_close,base
trade_count,base
trade_quote_volume,base
trade_return_1h,base
trade_volume,base
volatility_state,latent
volume_volatility_ratio_168h,latent
