blueprint_id,a7ls_lane,semantic_pair,motif,eval_success,finite_share,nonzero_share,activity_ok,std_value,error
a7ls15_85f064f4aa3649ee,A7LS14_A,basis_premium_like,single,,,,,,numeric_smoke_not_run_local_schema_preflight_only
a7ls15_0f52d57c856551ab,A7LS14_A,basis_premium_like|age_x_volatility|basis_premium_like,seed_smooth_mul,,,,,,numeric_smoke_not_run_local_schema_preflight_only
a7ls15_9f5c466e54b1add1,A7LS14_A,basis_premium_like|age_x_volatility|liquidity_like,seed_signed_spread,,,,,,numeric_smoke_not_run_local_schema_preflight_only
a7ls15_30f900afb3627768,A7LS14_A,basis_premium_like|age_x_volatility|listing_age_like,seed_sub,,,,,,numeric_smoke_not_run_local_schema_preflight_only
a7ls15_e07540d3dda953c7,A7LS14_A,basis_premium_like|age_x_volatility|positioning_like,seed_mul,,,,,,numeric_smoke_not_run_local_schema_preflight_only
a7ls15_49c1c75197a696e0,A7LS14_A,basis_premium_like|age_x_volatility|regime_state,seed_gated_sign,,,,,,numeric_smoke_not_run_local_schema_preflight_only
a7ls15_d7c18f96e82f667e,A7LS14_A,basis_premium_like|age_x_volatility|volatility_like,seed_relative_shock,,,,,,numeric_smoke_not_run_local_schema_preflight_only
a7ls15_bb2dcfc2d8d93d43,A7LS14_A,basis_premium_like|liquidity_like,mul,,,,,,numeric_smoke_not_run_local_schema_preflight_only
a7ls15_be9af6ea145bf937,A7LS14_A,basis_premium_like|listing_age_like,mul,,,,,,numeric_smoke_not_run_local_schema_preflight_only
a7ls15_9da3e03eea03c7f4,A7LS14_A,basis_premium_like|positioning_like,mul,,,,,,numeric_smoke_not_run_local_schema_preflight_only
a7ls15_4380c7baced6ffe3,A7LS14_A,basis_premium_like|price_like,mul,,,,,,numeric_smoke_not_run_local_schema_preflight_only
a7ls15_036be76de15c9654,A7LS14_A,basis_premium_like|volatility_like,mul,,,,,,numeric_smoke_not_run_local_schema_preflight_only
a7ls15_3fb0d12516aff15c,A7LS14_A,basis_premium|basis_premium|basis_premium_like,seed_mul,,,,,,numeric_smoke_not_run_local_schema_preflight_only
a7ls15_6fb6944dddb06553,A7LS14_A,basis_premium|basis_premium|liquidity_like,seed_gated_sign,,,,,,numeric_smoke_not_run_local_schema_preflight_only
a7ls15_e45919e806724fc7,A7LS14_A,basis_premium|basis_premium|listing_age_like,seed_relative_shock,,,,,,numeric_smoke_not_run_local_schema_preflight_only
a7ls15_a6568e8bb372979e,A7LS14_A,basis_premium|basis_premium|positioning_like,seed_smooth_mul,,,,,,numeric_smoke_not_run_local_schema_preflight_only
a7ls15_c63d47b9010aa7cb,A7LS14_A,basis_premium|basis_premium|regime_state,seed_signed_spread,,,,,,numeric_smoke_not_run_local_schema_preflight_only
a7ls15_7958710c8384c7c7,A7LS14_A,basis_premium|basis_premium|volatility_like,seed_sub,,,,,,numeric_smoke_not_run_local_schema_preflight_only
a7ls15_201549108ff1f5d7,A7LS14_A,basis_premium|positioning_flow|basis_premium_like,seed_gated_sign,,,,,,numeric_smoke_not_run_local_schema_preflight_only
a7ls15_01c93da75be2d875,A7LS14_A,basis_premium|positioning_flow|liquidity_like,seed_relative_shock,,,,,,numeric_smoke_not_run_local_schema_preflight_only
a7ls15_512b37b63b2185bf,A7LS14_A,basis_premium|positioning_flow|listing_age_like,seed_mul,,,,,,numeric_smoke_not_run_local_schema_preflight_only
a7ls15_1c1013ed18b117f3,A7LS14_A,basis_premium|positioning_flow|positioning_like,seed_signed_spread,,,,,,numeric_smoke_not_run_local_schema_preflight_only
a7ls15_77220f49fb7080c3,A7LS14_A,basis_premium|positioning_flow|regime_state,seed_sub,,,,,,numeric_smoke_not_run_local_schema_preflight_only
a7ls15_689d21635788ddc8,A7LS14_A,basis_premium|positioning_flow|volatility_like,seed_smooth_mul,,,,,,numeric_smoke_not_run_local_schema_preflight_only
a7ls15_f455bbb9ab360c72,A7LS14_A,liquidity_like,single,,,,,,numeric_smoke_not_run_local_schema_preflight_only
a7ls15_ca80f02ff8f5f969,A7LS14_A,listing_age_like,single,,,,,,numeric_smoke_not_run_local_schema_preflight_only
a7ls15_60fa4f8113958949,A7LS14_A,listing_age_like|regime_state|basis_premium_like,seed_smooth_mul,,,,,,numeric_smoke_not_run_local_schema_preflight_only
