variant,seed,lane_id,proposals,unique_candidate_ids,policy_local_first_visits,first_evaluations,exact_cache_hits,first_evaluation_rate,policy_local_unique_rate,within_lane_repeated_candidate_count,within_lane_duplicate_rate,duplicate_resample_attempts,duplicate_resample_exhaustion_count,numeric_aliases,strict_evaluator_calls,best_strict_feedback_sort_key,top_8_feedback_sort_keys,all_policy_local_first_visit_median_feedback_distance,blocked_rate,feasible_visit_count,producer,source_code_sha,data_role,lifecycle,status
baseline_cem_like,20260715,cem_like:seed=20260715,128,39,39,38,90,0.296875,0.3046875,89,0.6953125,0,0,17,38,"[1.0,0.0,6.0,-0.9473596032758261,-0.9473596032758261,-0.9473596032758261,6.3818545341051225,0.9999999999999998,3.948181079769983,5.922271619654973,0.46079704929070875,1.9472718936267763]","[[1.0,0.0,6.0,-0.9473596032758261,-0.9473596032758261,-0.9473596032758261,6.3818545341051225,0.9999999999999998,3.948181079769983,5.922271619654973,0.46079704929070875,1.9472718936267763],[1.0,0.0,6.0,-0.9473596032758261,-0.9473596032758261,-0.9473596032758261,6.3818545341051225,0.9999999999999998,3.948181079769983,5.922271619654973,0.46079704929070875,1.9472718936267763],[1.0,0.0,6.0,-1.0889746337256891,-1.0889746337256891,-1.0889746337256891,6.209453774426935,0.9999999999999998,3.849720963488373,5.774581445232559,0.6536190628834443,1.9747822099954149],[1.0,0.0,6.0,-1.0889746337256891,-1.0889746337256891,-1.0889746337256891,6.209453774426935,0.9999999999999998,3.849720963488373,5.774581445232559,0.6536190628834443,1.9747822099954149],[1.0,0.0,6.0,-1.4695279966324304,-1.4695279966324304,-1.4695279966324304,5.045617081400205,0.9999999999999998,3.7262011274489035,5.589301691173355,0.724675643999731,1.9770747363594676],[1.0,0.0,6.0,-1.5150668133449827,-1.5150668133449827,-1.5150668133449827,4.683386249547858,0.9999999999999998,3.553826991856371,5.3307404877845554,1.4257835533194652,1.9977074736359468],[1.0,0.0,6.0,-1.5150668133449827,-1.5150668133449827,-1.5150668133449827,4.683386249547858,0.9999999999999998,3.553826991856371,5.3307404877845554,1.4257835533194652,1.9977074736359468],[1.0,0.0,6.0,-1.600829966110939,-1.600829966110939,-1.600829966110939,5.03097978978379,0.9999999999999998,3.432925912778075,5.149388869167111,1.2825185700812058,1.995414947271893]]",-4.0,0.125,0,alphafactory_crypto.instrument_canary.cem_diversity_runner,5066c20234b6a4f778fa3644e09200a38a076114,DEVELOPMENT_TRAIN_ONLY,EXPERIMENTAL,CRYPTO_CEM_DIVERSITY_REPAIR_QUALIFIED
baseline_cem_like,20260716,cem_like:seed=20260716,128,66,66,58,70,0.453125,0.515625,62,0.484375,0,0,25,58,"[1.0,0.0,7.0,-0.980284273269143,0.44627040603887497,0.44627040603887497,8.895238096233633,4.333333333333333,3.6140484505759236,5.421072675863884,1.1132924138283573,-0.980284273269143]","[[1.0,0.0,7.0,-0.980284273269143,0.44627040603887497,0.44627040603887497,8.895238096233633,4.333333333333333,3.6140484505759236,5.421072675863884,1.1132924138283573,-0.980284273269143],[1.0,0.0,6.0,-0.13718357664065728,-0.13718357664065728,-0.13718357664065728,5.7172591284026195,2.666666666666666,3.9809425024613505,5.971413753692025,0.6993960190824722,1.5575424117377346],[1.0,0.0,6.0,-0.8024576611634947,-0.8024576611634947,-0.8024576611634947,5.1340854486486105,0.9999999999999998,3.935275330012351,5.902912995018526,2.536111259944702,1.4328358208955216],[1.0,0.0,6.0,-0.8024576611634947,-0.8024576611634947,-0.8024576611634947,5.1340854486486105,0.9999999999999998,3.935275330012351,5.902912995018526,2.536111259944702,1.4328358208955216],[1.0,0.0,6.0,-0.8066866849366979,-0.8066866849366979,-0.8066866849366979,5.1103653827224305,0.9999999999999998,3.935663318366744,5.903494977550114,2.5380294864497777,1.4328358208955216],[1.0,0.0,6.0,-0.8066866849366979,-0.8066866849366979,-0.8066866849366979,5.1103653827224305,0.9999999999999998,3.935663318366744,5.903494977550114,2.5380294864497777,1.4328358208955216],[1.0,0.0,6.0,-0.8722908564210042,-0.8722908564210042,-0.8722908564210042,5.250019158136276,0.9999999999999998,3.998167947600295,5.9972519214004425,2.7141346934276576,1.9472718936267763],[1.0,0.0,6.0,-0.8722908564210042,-0.8722908564210042,-0.8722908564210042,5.250019158136276,0.9999999999999998,3.998167947600295,5.9972519214004425,2.7141346934276576,1.9472718936267763]]",-3.08633204187777,0.0859375,0,alphafactory_crypto.instrument_canary.cem_diversity_runner,5066c20234b6a4f778fa3644e09200a38a076114,DEVELOPMENT_TRAIN_ONLY,EXPERIMENTAL,CRYPTO_CEM_DIVERSITY_REPAIR_QUALIFIED
challenger_cem_diversity_v2,20260715,cem_diversity_v2:seed=20260715,128,128,128,128,0,1.0,1.0,0,0.0,171,0,55,128,"[1.0,1.0,8.0,0.12277175105652967,0.12277175105652967,0.12277175105652967,9.885911792746567,4.333333333333333,3.996656732385756,5.994985098578633,2.1595598349381016,1.9999999999999996]","[[1.0,1.0,8.0,0.12277175105652967,0.12277175105652967,0.12277175105652967,9.885911792746567,4.333333333333333,3.996656732385756,5.994985098578633,2.1595598349381016,1.9999999999999996],[1.0,1.0,8.0,0.12277175105652967,0.12277175105652967,0.12277175105652967,9.885911792746567,4.333333333333333,3.996656732385756,5.994985098578633,2.1595598349381016,1.9999999999999996],[1.0,1.0,8.0,0.017549355859515565,0.017549355859515565,0.017549355859515565,9.835415260234331,4.333333333333333,3.9928546860156584,5.989282029023486,1.8181036459527633,1.9977074736359468],[1.0,1.0,8.0,0.017549355859515565,0.017549355859515565,0.017549355859515565,9.835415260234331,4.333333333333333,3.9928546860156584,5.989282029023486,1.8181036459527633,1.9977074736359468],[1.0,1.0,8.0,0.017549355859515565,0.017549355859515565,0.017549355859515565,9.835415260234331,4.333333333333333,3.9928546860156584,5.989282029023486,1.8181036459527633,1.9977074736359468],[1.0,1.0,8.0,0.01617267299897387,0.01617267299897387,0.01617267299897387,9.835415260234331,4.333333333333333,3.993390795180196,5.990086192770294,1.8178863653743216,1.9931224209078402],[1.0,1.0,8.0,0.01617267299897387,0.01617267299897387,0.01617267299897387,9.835415260234331,4.333333333333333,3.993390795180196,5.990086192770294,1.8178863653743216,1.9931224209078402],[1.0,1.0,8.0,0.01617267299897387,0.01617267299897387,0.01617267299897387,9.835415260234331,4.333333333333333,3.993390795180196,5.990086192770294,1.8178863653743216,1.9931224209078402]]",-3.513435566461316,0.3125,8,alphafactory_crypto.instrument_canary.cem_diversity_runner,5066c20234b6a4f778fa3644e09200a38a076114,DEVELOPMENT_TRAIN_ONLY,EXPERIMENTAL,CRYPTO_CEM_DIVERSITY_REPAIR_QUALIFIED
challenger_cem_diversity_v2,20260716,cem_diversity_v2:seed=20260716,128,128,128,128,0,1.0,1.0,0,0.0,82,0,39,128,"[1.0,1.0,8.0,0.12277175105652967,0.12277175105652967,0.12277175105652967,9.885911792746567,4.333333333333333,3.996656732385756,5.994985098578633,2.1595598349381016,1.9999999999999996]","[[1.0,1.0,8.0,0.12277175105652967,0.12277175105652967,0.12277175105652967,9.885911792746567,4.333333333333333,3.996656732385756,5.994985098578633,2.1595598349381016,1.9999999999999996],[1.0,1.0,8.0,0.12277175105652967,0.12277175105652967,0.12277175105652967,9.885911792746567,4.333333333333333,3.996656732385756,5.994985098578633,2.1595598349381016,1.9999999999999996],[1.0,1.0,8.0,0.017549355859515565,0.017549355859515565,0.017549355859515565,9.835415260234331,4.333333333333333,3.9928546860156584,5.989282029023486,1.8181036459527633,1.9977074736359468],[1.0,1.0,8.0,0.017549355859515565,0.017549355859515565,0.017549355859515565,9.835415260234331,4.333333333333333,3.9928546860156584,5.989282029023486,1.8181036459527633,1.9977074736359468],[1.0,1.0,8.0,0.017549355859515565,0.017549355859515565,0.017549355859515565,9.835415260234331,4.333333333333333,3.9928546860156584,5.989282029023486,1.8181036459527633,1.9977074736359468],[1.0,0.0,6.0,-0.0020283050310261146,-0.0020283050310261146,-0.0020283050310261146,9.835415260234331,4.333333333333333,3.9953144323691325,5.992971648553699,1.8189305140580707,1.9747822099954149],[1.0,0.0,6.0,-0.0020283050310261146,-0.0020283050310261146,-0.0020283050310261146,9.835415260234331,4.333333333333333,3.9953144323691325,5.992971648553699,1.8189305140580707,1.9747822099954149],[1.0,0.0,6.0,-0.0020283050310261146,-0.0020283050310261146,-0.0020283050310261146,9.835415260234331,4.333333333333333,3.9953144323691325,5.992971648553699,1.8189305140580707,1.9747822099954149]]",-4.0,0.25,5,alphafactory_crypto.instrument_canary.cem_diversity_runner,5066c20234b6a4f778fa3644e09200a38a076114,DEVELOPMENT_TRAIN_ONLY,EXPERIMENTAL,CRYPTO_CEM_DIVERSITY_REPAIR_QUALIFIED
