blueprint_id,accepted_horizon_count,accepted_horizons,expression
a7shadow2_c007,2,4|8,"SafeDiv(TSRank(open_interest_value_last,336),CSRank(ZScore(Mean(funding_rate_delta_state_24h,72))))"
a7shadow2_c002,1,24,"Mul(CSRank(Mean(open_interest_mean,8)),Sign(Mean(premium_close_bps,48)))"
a7shadow2_c006,1,24,"Mul(open_interest_last,Mean(premium_close_bps,504))"
