shard_id,start_row,end_row_exclusive,rows
a7v3s0_s000,0,1024,1024
a7v3s0_s001,1024,2048,1024
a7v3s0_s002,2048,3072,1024
a7v3s0_s003,3072,4096,1024
a7v3s0_s004,4096,5120,1024
a7v3s0_s005,5120,6144,1024
a7v3s0_s006,6144,7168,1024
a7v3s0_s007,7168,8192,1024
a7v3s0_s008,8192,9216,1024
a7v3s0_s009,9216,10240,1024
a7v3s0_s010,10240,11264,1024
a7v3s0_s011,11264,12288,1024
a7v3s0_s012,12288,13312,1024
a7v3s0_s013,13312,14336,1024
a7v3s0_s014,14336,15360,1024
a7v3s0_s015,15360,16384,1024
a7v3s0_s016,16384,17408,1024
a7v3s0_s017,17408,18432,1024
a7v3s0_s018,18432,19456,1024
a7v3s0_s019,19456,20480,1024
a7v3s0_s020,20480,21504,1024
a7v3s0_s021,21504,22528,1024
a7v3s0_s022,22528,23552,1024
a7v3s0_s023,23552,24576,1024
a7v3s0_s024,24576,25600,1024
a7v3s0_s025,25600,26624,1024
a7v3s0_s026,26624,27648,1024
a7v3s0_s027,27648,28672,1024
a7v3s0_s028,28672,29696,1024
a7v3s0_s029,29696,30720,1024
a7v3s0_s030,30720,31744,1024
a7v3s0_s031,31744,32768,1024
a7v3s0_s032,32768,33792,1024
a7v3s0_s033,33792,34816,1024
a7v3s0_s034,34816,35840,1024
a7v3s0_s035,35840,36864,1024
a7v3s0_s036,36864,37888,1024
a7v3s0_s037,37888,38912,1024
a7v3s0_s038,38912,39936,1024
a7v3s0_s039,39936,40960,1024
a7v3s0_s040,40960,41984,1024
a7v3s0_s041,41984,43008,1024
a7v3s0_s042,43008,44032,1024
a7v3s0_s043,44032,45056,1024
a7v3s0_s044,45056,46080,1024
a7v3s0_s045,46080,47104,1024
a7v3s0_s046,47104,48128,1024
a7v3s0_s047,48128,49152,1024
a7v3s0_s048,49152,50176,1024
a7v3s0_s049,50176,51200,1024
a7v3s0_s050,51200,52224,1024
a7v3s0_s051,52224,53248,1024
a7v3s0_s052,53248,54272,1024
a7v3s0_s053,54272,55296,1024
a7v3s0_s054,55296,56320,1024
a7v3s0_s055,56320,57344,1024
a7v3s0_s056,57344,58368,1024
a7v3s0_s057,58368,59392,1024
a7v3s0_s058,59392,60416,1024
a7v3s0_s059,60416,61440,1024
a7v3s0_s060,61440,62464,1024
a7v3s0_s061,62464,63488,1024
a7v3s0_s062,63488,64512,1024
a7v3s0_s063,64512,65536,1024
