field,usage_rows
open_interest_last,6449
open_interest_value_change_24h,6410
open_interest_value_last,6388
open_interest_value_mean,6358
open_interest_mean,6291
premium_abs_state,5049
premium_close_bps,5027
mark_trade_basis_bps,4991
mark_index_basis_bps,4967
funding_rate_state_last_ffill_8h,4327
funding_rate_delta_state_24h,4320
funding_rate_update_age_hours,4278
funding_state_x_basis_delta,4249
funding_rate_abs_state_168h_z,4216
funding_rate,4068
taker_buy_sell_volume_ratio_last,3681
kline_taker_buy_quote_share,3674
top_global_account_divergence,3643
taker_buy_sell_volume_ratio_mean,3625
global_long_short_account_ratio_last,3595
account_position_divergence,3583
top_long_short_position_ratio_last,3552
top_long_short_account_ratio_last,3528
trade_quote_volume,2292
quote_volume_z_168h,2278
log1p_listing_age_days,2084
active_universe_size,2062
liquidity_cycle_state,2060
stress_proxy_state,2022
listing_age_days,2020
market_breadth_state,2016
age_percentile_active_universe,2011
leverage_crowding_state,2001
basis_dislocation_state,1979
sqrt_listing_age_days,1978
