field,semantic,role,available_in_v3_or_computed,forbidden
mark_index_basis_bps,basis,signal_candidate,True,False
mark_trade_basis_bps,basis,signal_candidate,True,False
premium_close_bps,premium,coverage_gated_signal,True,False
premium_abs_state,premium,computed_derived,True,False
funding_rate,funding_sparse,coverage_gated_signal,True,False
funding_rate_state_last_ffill_8h,funding_dense,computed_dense_funding,True,False
funding_rate_update_age_hours,funding_dense,computed_dense_funding,True,False
funding_rate_abs_state_168h_z,funding_dense,computed_dense_funding,True,False
funding_rate_delta_state_24h,funding_dense,computed_dense_funding,True,False
funding_state_x_basis_delta,funding_basis,computed_dense_funding,True,False
open_interest_last,open_interest,signal_candidate,True,False
open_interest_mean,open_interest,signal_candidate,True,False
open_interest_value_last,open_interest,signal_candidate,True,False
open_interest_value_mean,open_interest,signal_candidate,True,False
open_interest_value_change_24h,open_interest,computed_derived,True,False
top_long_short_account_ratio_last,positioning,signal_candidate,True,False
top_long_short_position_ratio_last,positioning,signal_candidate,True,False
global_long_short_account_ratio_last,positioning,signal_candidate,True,False
account_position_divergence,positioning,computed_derived,True,False
top_global_account_divergence,positioning,computed_derived,True,False
taker_buy_sell_volume_ratio_last,taker_flow,signal_candidate,True,False
taker_buy_sell_volume_ratio_mean,taker_flow,signal_candidate,True,False
kline_taker_buy_quote_share,taker_flow,signal_candidate,True,False
trade_quote_volume,liquidity,risk_exposure_or_signal,True,False
quote_volume_z_168h,liquidity,computed_derived,True,False
listing_age_days,age,control_or_interaction,True,False
log1p_listing_age_days,age,control_or_interaction,True,False
sqrt_listing_age_days,age,control_or_interaction,True,False
age_percentile_active_universe,age,control_or_interaction,True,False
active_universe_size,universe_state,control_or_regime,True,False
market_breadth_state,regime,upper_alias,True,False
liquidity_cycle_state,regime,upper_alias,True,False
leverage_crowding_state,regime,upper_alias,True,False
basis_dislocation_state,regime,upper_alias,True,False
stress_proxy_state,regime,upper_alias,True,False
