cell_id,ordinal,hypothesis_family,feature_family_set,operator_motif,temporal_horizon_class,normalization_scope,residualization_target,regime_fold_target,expression,bucketed_expression,max_window,horizon_bucket
C0000,0,H11_regime_conditional_non_may,P0_price_return,ResidualizeVsCore4,spread_12_vs_48,same_symbol_zscore,FundingCore,F7_trend_reversal,"ResidualizeVsFundingCore(TSMean(ResidualizeVsCore4(Mul(Rank(TSMean(ret_3,3)),ZScore(TSMean(ret_24,5)))),3))","ResidualizeVsFundingCore(TSMean(ResidualizeVsCore4(Mul(Rank(TSMean(ret_3,H6)),ZScore(TSMean(ret_24,H6)))),H6))",5,H6
C0000,1,H11_regime_conditional_non_may,P0_price_return,ResidualizeVsCore4,spread_12_vs_48,same_symbol_zscore,FundingCore,F7_trend_reversal,"ResidualizeVsFundingCore(Rank(TSMean(ResidualizeVsCore4(Mul(Rank(TSMean(ret_6,4)),ZScore(TSMean(ret_12,12)))),4)))","ResidualizeVsFundingCore(Rank(TSMean(ResidualizeVsCore4(Mul(Rank(TSMean(ret_6,H6)),ZScore(TSMean(ret_12,H12)))),H6)))",12,H12
C0001,0,H00_low_turnover_robust,P0_price_return,SmoothInteraction,H24,cross_symbol_rank,FundingCore,F7_trend_reversal,"ResidualizeVsFundingCore(cross_symbol_rank(TSMean(Mul(ZScore(TSMean(ret_3,3)),Rank(TSMean(ret_24,5))),3)))","ResidualizeVsFundingCore(cross_symbol_rank(TSMean(Mul(ZScore(TSMean(ret_3,H6)),Rank(TSMean(ret_24,H6))),H6)))",5,H6
C0001,1,H00_low_turnover_robust,P0_price_return,SmoothInteraction,H24,cross_symbol_rank,FundingCore,F7_trend_reversal,"ResidualizeVsFundingCore(cross_symbol_rank(Rank(TSMean(Mul(ZScore(TSMean(ret_6,4)),Rank(TSMean(ret_12,12))),4))))","ResidualizeVsFundingCore(cross_symbol_rank(Rank(TSMean(Mul(ZScore(TSMean(ret_6,H6)),Rank(TSMean(ret_12,H12))),H6))))",12,H12
C0002,0,H14_open_ast_cem_diversity,P14_horizon_spread,TSRankMul,H12,cross_symbol_zscore,FundingCore_and_Core4,F6_cross_symbol_dispersion,"ResidualizeVsCore4(ResidualizeVsFundingCore(cross_symbol_zscore(TSMean(Mul(TSRank(ret_6,3),ZScore(TSMean(realized_vol_6,5))),3))))","ResidualizeVsCore4(ResidualizeVsFundingCore(cross_symbol_zscore(TSMean(Mul(TSRank(ret_6,H6),ZScore(TSMean(realized_vol_6,H6))),H6))))",5,H6
C0002,1,H14_open_ast_cem_diversity,P14_horizon_spread,TSRankMul,H12,cross_symbol_zscore,FundingCore_and_Core4,F6_cross_symbol_dispersion,"ResidualizeVsCore4(ResidualizeVsFundingCore(cross_symbol_zscore(Rank(TSMean(Mul(TSRank(ret_12,4),ZScore(TSMean(ret_6,12))),4)))))","ResidualizeVsCore4(ResidualizeVsFundingCore(cross_symbol_zscore(Rank(TSMean(Mul(TSRank(ret_12,H6),ZScore(TSMean(ret_6,H12))),H6)))))",12,H12
C0003,0,H13_symbol_tier_relative,P11_volatility_basis,Rank,spread_6_vs_24,same_symbol_zscore,Core4,F11_cross_symbol_crowding,"ResidualizeVsCore4(TSMean(Rank(TSMean(realized_vol_12,3)),3))","ResidualizeVsCore4(TSMean(Rank(TSMean(realized_vol_12,H6)),H6))",3,H6
C0003,1,H13_symbol_tier_relative,P11_volatility_basis,Rank,spread_6_vs_24,same_symbol_zscore,Core4,F11_cross_symbol_crowding,"ResidualizeVsCore4(Rank(TSMean(Rank(TSMean(realized_vol_24,4)),4)))","ResidualizeVsCore4(Rank(TSMean(Rank(TSMean(realized_vol_24,H6)),H6)))",4,H6
C0004,0,H14_open_ast_cem_diversity,P2_liquidity,TSRankMul,H72,same_symbol_rank,none,F2_low_liquidity,"TSMean(Mul(TSRank(quote_asset_volume,3),ZScore(TSMean(quote_volume_mean_12,5))),3)","TSMean(Mul(TSRank(quote_asset_volume,H6),ZScore(TSMean(quote_volume_mean_12,H6))),H6)",5,H6
C0004,1,H14_open_ast_cem_diversity,P2_liquidity,TSRankMul,H72,same_symbol_rank,none,F2_low_liquidity,"Rank(TSMean(Mul(TSRank(number_of_trades,4),ZScore(TSMean(quote_asset_volume,12))),4))","Rank(TSMean(Mul(TSRank(number_of_trades,H6),ZScore(TSMean(quote_asset_volume,H12))),H6))",12,H12
