symbol,abs_position_sum,signed_position_sum,abs_position_share
ADAUSDT,5678.333333333333,-2041.6666666666665,0.09777754818564818
BNBUSDT,5591.0,1875.0,0.0962737197368874
AVAXUSDT,5589.666666666666,935.0,0.09625076052392922
LINKUSDT,5382.666666666666,-2805.333333333333,0.0926863427121718
BCHUSDT,5382.0,1703.3333333333333,0.09267486310569273
DOGEUSDT,5198.0,-952.6666666666666,0.08950649171746392
SUIUSDT,5047.333333333333,-1524.6666666666665,0.08691210065318959
SOLUSDT,4827.333333333333,2251.333333333333,0.08312383051508992
XRPUSDT,4643.0,861.0,0.07994971932362158
ETHUSDT,3849.333333333333,269.3333333333333,0.06628324781026505
BTCUSDT,3526.0,248.0,0.060715638667906455
LTCUSDT,3359.333333333333,-818.6666666666666,0.05784573704813398
