candidate_id,family_id,objective_id,horizon_h,split,control_variant,book_return,book_cost,row_count,timestamp_count,gross_weight,net_book_return
a7ffcore33_000,F1b_taker_flow_market_panel,B1_cross_sectional_rank_book,8,recent_2026JanApr,original,-0.02501309,0.006999999850057065,693,7,13.999999,-0.03201308903004974
a7ffcore33_000,F1b_taker_flow_market_panel,B1_cross_sectional_rank_book,8,recent_2026JanApr,sign_flip,0.025635453,0.006999999850057065,693,7,14.0,0.018635453091003
a7ffcore33_000,F1b_taker_flow_market_panel,B1_cross_sectional_rank_book,8,recent_2026JanApr,stale,0.020255445,0.007999999828636646,792,8,16.0,0.0122554447427392
a7ffcore33_000,F1b_taker_flow_market_panel,B1_cross_sectional_rank_book,8,test_2025H2,original,-0.039419733,0.010000000034458936,878,10,20.0,-0.049419733022339644
a7ffcore33_000,F1b_taker_flow_market_panel,B1_cross_sectional_rank_book,8,test_2025H2,sign_flip,0.037269093,0.010000000034458936,878,10,20.0,0.02726909306179732
a7ffcore33_000,F1b_taker_flow_market_panel,B1_cross_sectional_rank_book,8,test_2025H2,stale,0.024908993,0.010000000034458936,878,10,20.0,0.014908993358723819
a7ffcore33_000,F1b_taker_flow_market_panel,B1_cross_sectional_rank_book,8,train_2024,original,-0.014882954,0.019000000312924384,817,19,38.000004,-0.03388295415043831
a7ffcore33_000,F1b_taker_flow_market_panel,B1_cross_sectional_rank_book,8,train_2024,sign_flip,0.020291235,0.019000000312924384,817,19,38.0,0.0012912349849939359
a7ffcore33_000,F1b_taker_flow_market_panel,B1_cross_sectional_rank_book,8,train_2024,stale,-0.048674937,0.019000000312924384,817,19,38.0,-0.06767493765056133
a7ffcore33_000,F1b_taker_flow_market_panel,B1_cross_sectional_rank_book,8,validation_2025H1,original,0.008676212,0.01000000014062971,648,10,20.0,-0.0013237878596410162
a7ffcore33_000,F1b_taker_flow_market_panel,B1_cross_sectional_rank_book,8,validation_2025H1,sign_flip,-0.011698191,0.01000000014062971,648,10,20.0,-0.021698191194795075
