stage,decision,input_blueprint_count,materialized_activity_ok_count,label_response_rows,non_l7_numeric_clue_rows,rank_label_diagnostic_clue_rows,portfolio_queue_count,selected_portfolio_queue_count,non_l7_clues_per_blueprint,rank_clues_per_blueprint,uses_may,authorizes_search
A7FF-8_64,PASS_A7FF8_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,64,64,1280,65,12,14,6,1.0156,0.1875,False,False
A7FF-9_96,PASS_A7FF9_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,96,96,1920,87,14,21,8,0.9062,0.1458,False,False
