bytes,checksum_status,error,etag,last_modified,month,status,symbol,url
1252990520,HTTP_200,,"""eb053d7e224e6041f31dcdd7c682cdf5-150""","Sun, 18 Feb 2024 02:19:25 GMT",2024-01,HTTP_200,ADAUSDT,https://data.binance.vision/data/futures/um/monthly/bookTicker/ADAUSDT/ADAUSDT-bookTicker-2024-01.zip
1143335242,HTTP_200,,"""e1bcba4eab2b72c8b07080adec48fa21-137""","Tue, 19 Mar 2024 12:43:58 GMT",2024-02,HTTP_200,ADAUSDT,https://data.binance.vision/data/futures/um/monthly/bookTicker/ADAUSDT/ADAUSDT-bookTicker-2024-02.zip
1901014808,HTTP_200,,"""20cf470010107a643055bbcbc5748134-227""","Thu, 18 Apr 2024 01:06:21 GMT",2024-03,HTTP_200,ADAUSDT,https://data.binance.vision/data/futures/um/monthly/bookTicker/ADAUSDT/ADAUSDT-bookTicker-2024-03.zip
12494323,HTTP_200,,"""272b5e866f48bd8b253ebb796b7654b1-2""","Thu, 16 May 2024 14:38:35 GMT",2024-04,HTTP_200,ADAUSDT,https://data.binance.vision/data/futures/um/monthly/bookTicker/ADAUSDT/ADAUSDT-bookTicker-2024-04.zip
-1,UNAVAILABLE,HTTPError:HTTP Error 404: Not Found,,,2024-05,UNAVAILABLE,ADAUSDT,https://data.binance.vision/data/futures/um/monthly/bookTicker/ADAUSDT/ADAUSDT-bookTicker-2024-05.zip
-1,UNAVAILABLE,HTTPError:HTTP Error 404: Not Found,,,2024-06,UNAVAILABLE,ADAUSDT,https://data.binance.vision/data/futures/um/monthly/bookTicker/ADAUSDT/ADAUSDT-bookTicker-2024-06.zip
-1,UNAVAILABLE,HTTPError:HTTP Error 404: Not Found,,,2024-07,UNAVAILABLE,ADAUSDT,https://data.binance.vision/data/futures/um/monthly/bookTicker/ADAUSDT/ADAUSDT-bookTicker-2024-07.zip
-1,UNAVAILABLE,HTTPError:HTTP Error 404: Not Found,,,2024-08,UNAVAILABLE,ADAUSDT,https://data.binance.vision/data/futures/um/monthly/bookTicker/ADAUSDT/ADAUSDT-bookTicker-2024-08.zip
-1,UNAVAILABLE,HTTPError:HTTP Error 404: Not Found,,,2024-09,UNAVAILABLE,ADAUSDT,https://data.binance.vision/data/futures/um/monthly/bookTicker/ADAUSDT/ADAUSDT-bookTicker-2024-09.zip
-1,UNAVAILABLE,HTTPError:HTTP Error 404: Not Found,,,2024-10,UNAVAILABLE,ADAUSDT,https://data.binance.vision/data/futures/um/monthly/bookTicker/ADAUSDT/ADAUSDT-bookTicker-2024-10.zip
-1,UNAVAILABLE,HTTPError:HTTP Error 404: Not Found,,,2024-11,UNAVAILABLE,ADAUSDT,https://data.binance.vision/data/futures/um/monthly/bookTicker/ADAUSDT/ADAUSDT-bookTicker-2024-11.zip
-1,UNAVAILABLE,HTTPError:HTTP Error 404: Not Found,,,2024-12,UNAVAILABLE,ADAUSDT,https://data.binance.vision/data/futures/um/monthly/bookTicker/ADAUSDT/ADAUSDT-bookTicker-2024-12.zip
1361073913,HTTP_200,,"""dc7b62a389510078cc1a07945bc0203e-163""","Sun, 18 Feb 2024 02:20:01 GMT",2024-01,HTTP_200,AVAXUSDT,https://data.binance.vision/data/futures/um/monthly/bookTicker/AVAXUSDT/AVAXUSDT-bookTicker-2024-01.zip
971232639,HTTP_200,,"""2e6992b539cb75a0a2f45e316cc396d5-116""","Tue, 19 Mar 2024 12:44:44 GMT",2024-02,HTTP_200,AVAXUSDT,https://data.binance.vision/data/futures/um/monthly/bookTicker/AVAXUSDT/AVAXUSDT-bookTicker-2024-02.zip
1828985831,HTTP_200,,"""c27adbc37c33ecc2e4ce972783b0172d-219""","Thu, 18 Apr 2024 01:08:35 GMT",2024-03,HTTP_200,AVAXUSDT,https://data.binance.vision/data/futures/um/monthly/bookTicker/AVAXUSDT/AVAXUSDT-bookTicker-2024-03.zip
12021030,HTTP_200,,"""f7db5ed9d5d2dc959873f45f4483f292-2""","Thu, 16 May 2024 14:38:36 GMT",2024-04,HTTP_200,AVAXUSDT,https://data.binance.vision/data/futures/um/monthly/bookTicker/AVAXUSDT/AVAXUSDT-bookTicker-2024-04.zip
-1,UNAVAILABLE,HTTPError:HTTP Error 404: Not Found,,,2024-05,UNAVAILABLE,AVAXUSDT,https://data.binance.vision/data/futures/um/monthly/bookTicker/AVAXUSDT/AVAXUSDT-bookTicker-2024-05.zip
-1,UNAVAILABLE,HTTPError:HTTP Error 404: Not Found,,,2024-06,UNAVAILABLE,AVAXUSDT,https://data.binance.vision/data/futures/um/monthly/bookTicker/AVAXUSDT/AVAXUSDT-bookTicker-2024-06.zip
-1,UNAVAILABLE,HTTPError:HTTP Error 404: Not Found,,,2024-07,UNAVAILABLE,AVAXUSDT,https://data.binance.vision/data/futures/um/monthly/bookTicker/AVAXUSDT/AVAXUSDT-bookTicker-2024-07.zip
-1,UNAVAILABLE,HTTPError:HTTP Error 404: Not Found,,,2024-08,UNAVAILABLE,AVAXUSDT,https://data.binance.vision/data/futures/um/monthly/bookTicker/AVAXUSDT/AVAXUSDT-bookTicker-2024-08.zip
-1,UNAVAILABLE,HTTPError:HTTP Error 404: Not Found,,,2024-09,UNAVAILABLE,AVAXUSDT,https://data.binance.vision/data/futures/um/monthly/bookTicker/AVAXUSDT/AVAXUSDT-bookTicker-2024-09.zip
-1,UNAVAILABLE,HTTPError:HTTP Error 404: Not Found,,,2024-10,UNAVAILABLE,AVAXUSDT,https://data.binance.vision/data/futures/um/monthly/bookTicker/AVAXUSDT/AVAXUSDT-bookTicker-2024-10.zip
