candidate_id,expression,fields,field_families,pattern_id,oi_field,price_field,oi_window,price_window,windows,skeleton_key,production_key,parent_seed_id,source,deterministic_order_key,selected_for_fast_replay,q_decision,q_reasons,q_warnings,q_label_t1_positive_premay_splits,q_label_t2_positive_premay_splits,q_one_bar_lag_positive_premay_splits,q_timevarying_latent_positive_premay_splits,q_net_10bps_positive_premay_splits,q_control_ratio_premay_max_by_split,q_recent_net_mean_spread_10bps,q_recent_turnover,q_recent_newey_west_tstat_lag24,q_selector_score_no_may,r_decision,r_reasons,r_warnings,r_label_t1_positive_premay_splits,r_label_t2_positive_premay_splits,r_one_bar_lag_positive_premay_splits,r_latent_positive_premay_splits,r_net_10bps_positive_premay_splits,r_control_ratio_premay_max,r_top_symbol_abs_contribution_share,r_top_month_abs_contribution_share,r_top_latent_abs_contribution_share,s_a7al2s_tier,s_allowed_as_seed_for_large_search,s_allowed_as_seed_for_company_full_qr_comparison,s_allowed_for_may_stress_failure_attribution,s_allowed_for_local_expansion_before_full_pool,s_premay_positive_split_count,s_pre_may_control_ratio_max,s_may_control_ratio_max,s_may_gate_max,t_entry_rows,t_failure_labels,t_may_sign_flip_rows,t_may_control_dominated_rows,t_may_min_spread,t_may_mean_spread,t_premay_mean_spread,t_eligible_for_expansion,in_a7al2q_generated,in_a7al2q_fast_replay,in_a7al2r_forensic,in_a7al2s_followup,in_a7al2t_may_attribution,shared_pool_stage,has_repaired_canonical_chain,is_control_dominated_premay,is_may_stress_failed,eligible_for_large_search,eligible_for_alpha_proof,selector_feature_replay_alignment_score,selector_feature_latency_survival_score,selector_feature_neutral_survival_score,selector_feature_cost_survival_score,selector_feature_robust_stat_score,selector_feature_spread_score,selector_feature_control_penalty,selector_feature_turnover_penalty,selector_feature_concentration_penalty,selector_hard_reject_reason,selector_score_no_may,selector_score_uses_may,selected_by_a7al2v
a7al2q_d6f7ebc0dbbdda7a,"Sub(Abs(ZScore(Mean(open_interest_value_last,48))),Abs(ZScore(Mean(index_close,12))))",index_close|open_interest_value_last,open_interest|price,abs_level_gap,open_interest_value_last,index_close,48,12,48|12,skeleton-834f1fb23958e23f,a7al2q_local_oi_price::abs_level_gap::open_interest_value_last|index_close::48|12,a7al2k_046e806368e99c76,seed_exact,13d8427a6de9f020,True,A7AL2Q_LOCAL_OI_PRICE_DIAGNOSTIC_CANDIDATE,,timevarying_latent_deferred_to_a7al2r|control_close|overlap_adjusted_recent_tstat_weak,3.0,3.0,3.0,,3.0,0.8138625769990896,0.0018480018389518,0.0032629735459489,,13.534139261952776,A7AL2R_LOCAL_FORENSIC_PASS,,control_close,3.0,3.0,3.0,3.0,3.0,0.8138625769990896,0.0450585090983562,0.2865316235260094,0.2046041151414527,watchlist_control_close__may_control_dominated,False,False,True,False,4.0,0.829293498674171,1.9656091495260264,HOLD_CONTROL_DOMINATED,2.0,MAY_SIGN_FLIP|MAY_CONTROL_DOMINATED|PREMAY_CONTROL_CLOSE,2.0,2.0,-0.001667950704125,-0.0016618385678215,0.0016764323895842,False,True,True,True,True,True,stress_attributed,True,False,True,False,False,1.0,1.0,0.5,1.0,0.0,0.7162328539364877,0.4069312884995448,0.003282840125685913,0.2865316235260094,,3.20143275,False,False
a7al2q_6671d1fac5e57efe,"Sub(Abs(ZScore(Mean(open_interest_value_last,168))),Abs(ZScore(Mean(index_close,336))))",index_close|open_interest_value_last,open_interest|price,abs_level_gap,open_interest_value_last,index_close,168,336,168|336,skeleton-834f1fb23958e23f,a7al2q_local_oi_price::abs_level_gap::open_interest_value_last|index_close::168|336,a7al2k_0a247ec03472983b,seed_exact,2fb22eef8827a158,True,A7AL2Q_LOCAL_OI_PRICE_DIAGNOSTIC_CANDIDATE,,timevarying_latent_deferred_to_a7al2r|control_close|overlap_adjusted_recent_tstat_weak,3.0,3.0,3.0,,3.0,0.8901761602600439,0.0018767100449652,0.0018987925154392,,13.486533884705215,A7AL2R_LOCAL_FORENSIC_PASS,,control_close,3.0,3.0,3.0,3.0,3.0,0.8901761602600439,0.0449654771741479,0.2787882254441636,0.2069863582303616,watchlist_control_close__may_control_dominated,False,False,True,False,4.0,0.979673889287454,1.1301620202730456,HOLD_CONTROL_DOMINATED,2.0,MAY_SIGN_FLIP|MAY_CONTROL_DOMINATED|PREMAY_CONTROL_CLOSE,2.0,2.0,-0.0017066665677292,-0.0016973671434801,0.0015652644347946,False,True,True,True,True,True,stress_attributed,True,False,True,False,False,1.0,1.0,0.5,1.0,0.0,0.7198102145203684,0.44508808013002193,0.001547624630680551,0.2787882254441636,,3.15481755,False,False
a7al2q_58ec268c498480a1,"Mul(Abs(ZScore(Delta(open_interest_last,12))),Abs(ZScore(Mean(trade_close,504))))",open_interest_last|trade_close,open_interest|price,oi_abs_delta_x_price_abs,open_interest_last,trade_close,12,504,12|504,skeleton-bb9ca3f57ba3a72b,a7al2q_local_oi_price::oi_abs_delta_x_price_abs::open_interest_last|trade_close::12|504,,local_mutation,0003b930b7fe5a22,True,HOLD_A7AL2Q_CONTROL_DOMINATED,label_t1_not_all_premay_positive|label_t2_not_all_premay_positive|one_bar_lag_fragile|control_dominated|cost_proxy_fragile|recent_10bps_negative,timevarying_latent_deferred_to_a7al2r|overlap_adjusted_recent_tstat_weak,0.0,0.0,0.0,,0.0,4.342875555582075,-0.0018342524504313,0.5003594801364182,,-4.177128006013386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,False,False,fast_replay_scored,True,True,False,False,False,0.0,0.0,0.0,0.0,0.0,0.2573831665503838,1.0,0.635581297190827,0.0,premay_control_dominated,-1.4551544,False,False
a7al2q_d7a6680d151b7968,"Mul(Abs(ZScore(Delta(open_interest_value_mean,8))),Abs(ZScore(Mean(trade_close,72))))",open_interest_value_mean|trade_close,open_interest|price,oi_abs_delta_x_price_abs,open_interest_value_mean,trade_close,8,72,8|72,skeleton-bb9ca3f57ba3a72b,a7al2q_local_oi_price::oi_abs_delta_x_price_abs::open_interest_value_mean|trade_close::8|72,,local_mutation,000715ebbb4990ef,True,HOLD_A7AL2Q_CONTROL_DOMINATED,control_dominated|cost_proxy_fragile,timevarying_latent_deferred_to_a7al2r|overlap_adjusted_recent_tstat_weak,3.0,3.0,3.0,,1.0,28.02020352133789,0.001066430292523,0.6091068301225919,,-15.453773228814844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,False,False,fast_replay_scored,True,True,False,False,False,0.5,0.5,0.0,0.16666666666666666,0.0,0.6188403786849184,1.0,0.7739061107724055,0.0,premay_control_dominated,-0.06862089,False,False
a7al2q_69233c377095f5a4,"Sub(ZScore(Delta(open_interest_value_mean,96)),ZScore(Delta(trade_close,720)))",open_interest_value_mean|trade_close,open_interest|price,delta_spread,open_interest_value_mean,trade_close,96,720,96|720,skeleton-b86d839c2c31ff74,a7al2q_local_oi_price::delta_spread::open_interest_value_mean|trade_close::96|720,,local_mutation,0013cc8c134c325f,True,HOLD_A7AL2Q_CONTROL_DOMINATED,label_t1_not_all_premay_positive|label_t2_not_all_premay_positive|one_bar_lag_fragile|control_dominated|cost_proxy_fragile,timevarying_latent_deferred_to_a7al2r|overlap_adjusted_recent_tstat_weak,2.0,2.0,2.0,,1.0,166.60227647372395,0.0005672844578171,0.1341137432021384,,-157.53499201590682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,False,False,fast_replay_scored,True,True,False,False,False,0.3333333333333333,0.3333333333333333,0.0,0.16666666666666666,0.0,0.5566412766633009,1.0,0.16972283449795997,0.0,premay_control_dominated,-0.24758616,False,False
a7al2q_5b4e7d3dc1984b26,"Add(ZScore(Delta(open_interest_value_last,168)),Neg(ZScore(Mean(trade_close,4))))",open_interest_value_last|trade_close,open_interest|price,oi_delta_plus_neg_price_level,open_interest_value_last,trade_close,168,4,168|4,skeleton-a31a62d6cd42777e,a7al2q_local_oi_price::oi_delta_plus_neg_price_level::open_interest_value_last|trade_close::168|4,,local_mutation,0019f7f1a4255473,True,HOLD_A7AL2Q_CONTROL_DOMINATED,label_t1_not_all_premay_positive|label_t2_not_all_premay_positive|one_bar_lag_fragile|control_dominated|cost_proxy_fragile|recent_10bps_negative,timevarying_latent_deferred_to_a7al2r|overlap_adjusted_recent_tstat_weak,0.0,0.0,0.0,,0.0,66.18104811281883,-0.002372240429855,0.109300396349894,,-66.55328854267391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,False,False,fast_replay_scored,True,True,False,False,False,0.0,0.0,0.0,0.0,0.0,0.19034390288850264,1.0,0.13816067157529435,0.0,premay_control_dominated,-1.3246327,False,False
a7al2q_bac72457ad9e4104,"Mul(ZScore(Mean(open_interest_last,72)),ZScore(Delta(index_close,8)))",index_close|open_interest_last,open_interest|price,oi_level_x_price_delta,open_interest_last,index_close,72,8,72|8,skeleton-34595505730d2c62,a7al2q_local_oi_price::oi_level_x_price_delta::open_interest_last|index_close::72|8,,local_mutation,001ba5e49990814c,True,HOLD_A7AL2Q_CONTROL_DOMINATED,label_t1_not_all_premay_positive|label_t2_not_all_premay_positive|one_bar_lag_fragile|control_dominated|cost_proxy_fragile|recent_10bps_negative,timevarying_latent_deferred_to_a7al2r|overlap_adjusted_recent_tstat_weak,1.0,1.0,1.0,,1.0,109.95222394564146,-0.0008010248540284,0.5301686791409346,,-105.25324879966988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,False,False,fast_replay_scored,True,True,False,False,False,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.38613477422047576,1.0,0.6734981006424987,0.0,premay_control_dominated,-0.88473673,False,False
a7al2q_f962751a6f713294,"Sub(ZScore(Delta(open_interest_last,8)),ZScore(Delta(mark_close,24)))",mark_close|open_interest_last,open_interest|price,delta_spread,open_interest_last,mark_close,8,24,8|24,skeleton-b86d839c2c31ff74,a7al2q_local_oi_price::delta_spread::open_interest_last|mark_close::8|24,,local_mutation,00205b3c3f51722d,True,HOLD_A7AL2Q_CONTROL_DOMINATED,label_t1_not_all_premay_positive|label_t2_not_all_premay_positive|one_bar_lag_fragile|control_dominated|cost_proxy_fragile|recent_10bps_negative,timevarying_latent_deferred_to_a7al2r|overlap_adjusted_recent_tstat_weak,1.0,1.0,1.0,,0.0,8.631318896313052,-0.0023853684246858,0.3949488432113558,,-6.016687320998908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,False,False,fast_replay_scored,True,True,False,False,False,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.1887080092617406,1.0,0.5015007269145992,0.0,premay_control_dominated,-1.10286505,False,False
a7al2q_1378ff7d2322adee,"Sub(Abs(ZScore(Mean(open_interest_value_last,24))),Abs(ZScore(Mean(trade_close,8))))",open_interest_value_last|trade_close,open_interest|price,abs_level_gap,open_interest_value_last,trade_close,24,8,24|8,skeleton-834f1fb23958e23f,a7al2q_local_oi_price::abs_level_gap::open_interest_value_last|trade_close::24|8,,local_mutation,0024b4ba9e3b7dd9,True,A7AL2Q_LOCAL_OI_PRICE_DIAGNOSTIC_CANDIDATE,,timevarying_latent_deferred_to_a7al2r|overlap_adjusted_recent_tstat_weak,3.0,3.0,3.0,,3.0,0.5977895485931952,0.0020192349055928,0.0049589823946907,,13.921445356999644,A7AL2R_LOCAL_FORENSIC_PASS,,,3.0,3.0,3.0,3.0,3.0,0.5977895485931952,0.0445498272264011,0.2897293591915247,0.2035102347394666,primary_clean_premay__may_control_dominated,False,False,True,False,4.0,0.8716560101906301,1.1844655797854338,HOLD_CONTROL_DOMINATED,2.0,MAY_SIGN_FLIP|MAY_CONTROL_DOMINATED,2.0,2.0,-0.0018621614500395,-0.0018518846569548,0.001755270810517,False,True,True,True,True,True,stress_attributed,True,False,True,False,False,1.0,1.0,0.5,1.0,0.0,0.7375703914674848,0.2988947742965976,0.005440135065422323,0.2897293591915247,,3.36419934,False,True
a7al2q_8e279dd3d23e1613,"Sub(Abs(ZScore(Delta(open_interest_last,336))),Abs(ZScore(Delta(trade_close,168))))",open_interest_last|trade_close,open_interest|price,abs_delta_gap,open_interest_last,trade_close,336,168,336|168,skeleton-65ce4cb2af0cf72a,a7al2q_local_oi_price::abs_delta_gap::open_interest_last|trade_close::336|168,,local_mutation,0027676a2169cd1a,True,HOLD_A7AL2Q_CONTROL_DOMINATED,control_dominated,timevarying_latent_deferred_to_a7al2r|overlap_adjusted_recent_tstat_weak,3.0,3.0,3.0,,3.0,1.8718382230555923,0.0004999618533164,0.217697483639045,,11.128123630260808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,False,False,fast_replay_scored,True,True,False,False,False,0.5,0.5,0.0,0.5,0.0,0.5482521341431248,0.9359191115277962,0.2760399568541012,0.0,premay_control_dominated,0.44946315,False,False
