candidate_id,cell_id,ordinal,hypothesis_family,feature_family_set,operator_motif,temporal_horizon_class,normalization_scope,residualization_target,turnover_class,regime_fold_target,source_fields,source_field_families,expression,expr_hash,horizon,object_type,signal_mode,static_score,may_used_for_generation,may_used_for_static_score,selection_status,execution_lag_1bar_raw_10bp__fresh_forward_2026May,execution_lag_1bar_raw_10bp__recent_oos_2025H2_2026Apr,execution_lag_1bar_raw_10bp__validation_2025H1,raw_10bp__fresh_forward_2026May,raw_10bp__recent_oos_2025H2_2026Apr,raw_10bp__validation_2025H1,raw_20bp__fresh_forward_2026May,raw_20bp__recent_oos_2025H2_2026Apr,raw_20bp__validation_2025H1,residual_vs_core4_10bp__fresh_forward_2026May,residual_vs_core4_10bp__recent_oos_2025H2_2026Apr,residual_vs_core4_10bp__validation_2025H1,residual_vs_funding_10bp__fresh_forward_2026May,residual_vs_funding_10bp__recent_oos_2025H2_2026Apr,residual_vs_funding_10bp__validation_2025H1,execution_lag_1bar_raw_10bp__fresh_forward_2026May__gross_exposure,execution_lag_1bar_raw_10bp__recent_oos_2025H2_2026Apr__gross_exposure,execution_lag_1bar_raw_10bp__validation_2025H1__gross_exposure,raw_10bp__fresh_forward_2026May__gross_exposure,raw_10bp__recent_oos_2025H2_2026Apr__gross_exposure,raw_10bp__validation_2025H1__gross_exposure,raw_20bp__fresh_forward_2026May__gross_exposure,raw_20bp__recent_oos_2025H2_2026Apr__gross_exposure,raw_20bp__validation_2025H1__gross_exposure,residual_vs_core4_10bp__fresh_forward_2026May__gross_exposure,residual_vs_core4_10bp__recent_oos_2025H2_2026Apr__gross_exposure,residual_vs_core4_10bp__validation_2025H1__gross_exposure,residual_vs_funding_10bp__fresh_forward_2026May__gross_exposure,residual_vs_funding_10bp__recent_oos_2025H2_2026Apr__gross_exposure,residual_vs_funding_10bp__validation_2025H1__gross_exposure,min_fold_component,positive_fold_rate,mean_turnover,mean_gross_exposure,pilot_rank_score,candidate_decision,reject_reasons,liquidity_volatility_flag,diversity_adjusted_rank_score,deep_selection_stage,deep_audit_status,deep_selection_policy,liquidity_volatility_deep_cap,liquidity_volatility_deep_forced_fill_count,return_corr_cluster
a7o_l1_C0321_0484,C0321,484,H00_low_turnover_robust,P10_price_liquidity,DecayZScore,mixed_6_24,cross_symbol_rank,FundingCore_and_Core4,medium_turnover,F3_high_liquidity_high_vol,quote_volume_mean_24;ret_6,liquidity;price,"TSMean(Clip(Clip(ResidualizeVsCore4(ResidualizeVsFundingCore(cross_symbol_rank(SafeDiv(Sub(ZScore(Decay(quote_volume_mean_24,60)),Rank(TSMean(quote_volume_mean_24,36))),Clip(Abs(TSRank(ret_6,72)),0.05,2.25))))),-4.0,4.0),-3.0,3.0),20)",3c97ae4ac1594096,72,generated_candidate,original,0.28140000000000004,False,False,selected_for_strict_replay,18.72342963630108,0.731535327842034,6.916904159014744,18.508221583405923,0.6766343430592637,6.805151175580431,18.39410400972577,0.5541065727073204,6.701878771115102,22.189803596937907,4.110208658712082,10.202321991811022,22.162356378762905,4.137799079057526,10.198753051348383,0.42812788203569324,0.4006259038410151,0.3339357871276443,0.42790324899049603,0.40039632780023293,0.33346044548702525,0.42790324899049603,0.40039632780023293,0.33346044548702525,0.42790324899049603,0.40039632780023293,0.33346044548702525,0.42790324899049603,0.40039632780023293,0.33346044548702525,-1.6117751350009824,0.9076923076923077,0.013010304323664195,0.37300861374093836,-0.7073354033895907,A7O_PILOT_RESEARCH_CANDIDATE,,False,-0.7073354033895907,cell_quota,selected_for_deep_audit,global_liquidity_volatility_cap_15pct,28,0,rc_004
a7o_l1_C0330_1454,C0330,1454,H03_basis_premium_residual,P9_price_basis,ZScore,H72,cross_symbol_zscore,none,medium_turnover,F5_funding_neutral,mark_index_ratio;ret_12,basis;price,"ResidualizeVsFundingCore(Clip(cross_symbol_zscore(Mul(SafeDiv(ZScore(TSMean(ret_12,24)),Clip(Abs(ZScore(TSMean(mark_index_ratio,48))),0.05,3.0)),ZScore(Decay(ret_12,36)))),-4.0,4.0))",d0d527592fa3e2ad,72,generated_candidate,original,0.2781,False,False,selected_for_strict_replay,5.875434762563176,1.819766218581389,3.41949975817557,6.130861885391645,1.7825500228106705,3.4261988293041923,5.7911557336516815,1.3336665652470585,3.0572107497539482,8.002253156701228,3.7347729693853022,5.390286552129611,8.261237341373286,3.7309942280224666,5.3109450924200114,0.33785276804050784,0.38628101212508936,0.3006695070593962,0.3373112079882201,0.3862601129310879,0.2989117724062512,0.3373112079882201,0.3862601129310879,0.2989117724062512,0.3373112079882201,0.3862601129310879,0.2989117724062512,0.3373112079882201,0.3862601129310879,0.2989117724062512,-0.10155417870720664,0.9846153846153847,0.047320719905545164,0.3500012354352663,0.8712310259317918,A7O_PILOT_RESEARCH_CANDIDATE,,False,0.8712310259317918,cell_quota,selected_for_deep_audit,global_liquidity_volatility_cap_15pct,28,0,rc_027
a7o_l1_C0342_0753,C0342,753,H14_open_ast_cem_diversity,P4_taker_flow,TSStdZScore,H48,same_symbol_zscore,none,lag_stable,F7_trend_reversal,taker_imbalance,flow,"SafeDiv(Decay(ResidualizeVsCore4(Sub(ZScore(TSStd(taker_imbalance,48)),ZScore(TSMean(taker_imbalance,24)))),24),Clip(Abs(TSMean(taker_imbalance,30)),0.05,4.0))",d725874cc4cfd7ac,48,generated_candidate,original,0.17659999999999998,False,False,selected_for_strict_replay,7.248039854413748,1.4939667084122394,1.9526045234533784,6.84171924310712,1.4886645457604584,1.9852546120081231,6.722392320030197,1.3572167385625744,1.8699078818781143,11.248682180902083,5.8154043729097245,6.300218990302317,11.252247506959034,5.824588520571966,6.295058062372631,0.4699519230769231,0.45909546823983616,0.39570460934366053,0.4699519230769231,0.45877463686719333,0.39484709130871465,0.4699519230769231,0.45877463686719333,0.39484709130871465,0.4699519230769231,0.45877463686719333,0.39484709130871465,0.4699519230769231,0.45877463686719333,0.39484709130871465,-1.670655914964606,0.8615384615384616,0.01408235735999071,0.4332075187904257,-0.8126380427661422,A7O_PILOT_RESEARCH_CANDIDATE,,False,-0.8126380427661422,cell_quota,selected_for_deep_audit,global_liquidity_volatility_cap_15pct,28,0,rc_055
a7o_l1_C0347_0180,C0347,180,H07_taker_flow_lag_stable,P5_basis_premium,TSRankMul,H6,same_symbol_zscore,FundingCore_and_Core4,low_turnover,F10_volatility_compression,cs_z_mark_index_ratio;cs_z_premium_index,basis,"Decay(Rank(TSMean(ResidualizeVsCore4(ResidualizeVsFundingCore(RegimeMaskNonMay(F3_high_liquidity_high_vol,Sub(Mul(TSRank(cs_z_mark_index_ratio,3),ZScore(TSMean(cs_z_premium_index,8))),Rank(TSMean(cs_z_mark_index_ratio,4)))))),4)),8)",6982a51c562e08ed,6,generated_candidate,original,0.2033,False,False,selected_for_strict_replay,1.119220378991468,0.7953191050327917,0.24216057866506874,1.119220378991468,0.8000366839735089,0.19464550992861485,1.119220378991468,0.6388887811037517,-0.07298717163563115,1.119220378991468,0.8000366839735089,0.19464550992861485,1.119220378991468,0.8000366839735089,0.19464550992861485,0.5,0.5,0.48358938547486036,0.5,0.5,0.48370577281191807,0.5,0.5,0.48370577281191807,0.5,0.5,0.48370577281191807,0.5,0.5,0.48370577281191807,-0.07298717163563115,0.9846153846153847,0.027875764986768366,0.49512229863326107,0.9046592717330614,A7O_PILOT_RESEARCH_CANDIDATE,,False,0.9046592717330614,cell_quota,selected_for_deep_audit,global_liquidity_volatility_cap_15pct,28,0,rc_068
a7o_l1_C0347_0373,C0347,373,H07_taker_flow_lag_stable,P5_basis_premium,TSRankMul,H6,same_symbol_zscore,FundingCore_and_Core4,low_turnover,F10_volatility_compression,cs_z_mark_index_ratio;mark_minus_index,basis,"Decay(Rank(TSMean(ResidualizeVsCore4(ResidualizeVsFundingCore(RegimeMaskNonMay(F5_funding_neutral,Add(Mul(TSRank(cs_z_mark_index_ratio,3),ZScore(TSMean(mark_minus_index,8))),ZScore(TSMean(mark_minus_index,60)))))),24)),30)",11dd8cf02f24ebf4,6,generated_candidate,original,0.2023,False,False,selected_for_strict_replay,2.079834132497109,0.19993413442806096,1.2922669928754038,2.079834132497109,0.21251302042469014,1.225775586498071,2.079834132497109,0.13566561424367468,1.1575548919254592,2.079834132497109,0.21251302042469014,1.225775586498071,2.079834132497109,0.21251302042469014,1.225775586498071,0.5,0.5,0.4566798684813927,0.5,0.5,0.45669765349079033,0.5,0.5,0.45669765349079033,0.5,0.5,0.45669765349079033,0.5,0.5,0.45669765349079033,-0.19421645526452164,0.8923076923076924,0.008716952836956901,0.4834336657247873,0.6959119988339314,A7O_PILOT_RESEARCH_CANDIDATE,,False,0.6959119988339314,cell_quota,selected_for_deep_audit,global_liquidity_volatility_cap_15pct,28,0,rc_069
a7o_l1_C0347_0757,C0347,757,H07_taker_flow_lag_stable,P5_basis_premium,TSRankMul,H6,same_symbol_zscore,FundingCore_and_Core4,low_turnover,F10_volatility_compression,mark_minus_index;premium_index,basis,"Decay(Rank(TSMean(ResidualizeVsCore4(ResidualizeVsFundingCore(RegimeMaskNonMay(F5_funding_neutral,Add(Mul(TSRank(mark_minus_index,3),ZScore(TSMean(premium_index,8))),ZScore(TSMean(premium_index,10)))))),16)),20)",dddb74214a6f2ec3,6,generated_candidate,original,0.1983,False,False,selected_for_strict_replay,1.6602246380349353,0.3673906130737248,0.9100250961393248,1.6602246380349353,0.39941994874167797,0.782410776543389,1.6602246380349353,0.2733217147460928,0.6522478342715086,1.6602246380349353,0.39941994874167797,0.782410776543389,1.6602246380349353,0.39941994874167797,0.782410776543389,0.5,0.5,0.4720670391061452,0.5,0.5,0.472183426443203,0.5,0.5,0.472183426443203,0.5,0.5,0.472183426443203,0.5,0.5,0.472183426443203,-0.2418343359997683,0.9230769230769231,0.014798086612515608,0.49013406983769886,0.6775430654240259,A7O_PILOT_RESEARCH_CANDIDATE,,False,0.6775430654240259,cell_quota,selected_for_deep_audit,global_liquidity_volatility_cap_15pct,28,0,rc_070
a7o_l1_C0355_0565,C0355,565,H07_taker_flow_lag_stable,P5_basis_premium,RollingMaxRank,H48,same_symbol_zscore,FundingCore_and_Core4,low_turnover,F3_high_liquidity_high_vol,cs_z_premium_index;mark_index_ratio,basis,"Decay(Rank(TSMean(ResidualizeVsCore4(ResidualizeVsFundingCore(RegimeMaskNonMay(F5_funding_neutral,Add(Rank(RollingMax(mark_index_ratio,30)),ZScore(TSMean(cs_z_premium_index,10)))))),6)),8)",a31f7611c7d42b40,48,generated_candidate,original,0.2038,False,False,selected_for_strict_replay,33.76497813908348,4.342351528859412,4.25232087119572,33.78399971166073,4.353159296329666,4.316506836014092,33.78399971166073,4.160059848699858,4.1625371894878,33.78399971166073,4.353159296329666,4.316506836014092,33.78399971166073,4.353159296329666,4.316506836014092,0.40526681656878166,0.4534549104801451,0.3530589581278577,0.4055437401945561,0.45322646455261967,0.35429629764628834,0.4055437401945561,0.45322646455261967,0.35429629764628834,0.4055437401945561,0.45322646455261967,0.35429629764628834,0.4055437401945561,0.45322646455261967,0.35429629764628834,1.221346627398473,1.0,0.020865290091622902,0.4136085273560543,2.2161303048755676,A7O_PILOT_RESEARCH_CANDIDATE,,False,2.2161303048755676,cell_quota,selected_for_deep_audit,global_liquidity_volatility_cap_15pct,28,0,rc_090
a7o_l1_C0358_0564,C0358,564,H04_basis_compression_expansion,P3_trade_size,RollingMaxRank,mixed_6_24,cross_symbol_rank,FundingCore,lag_stable,F11_cross_symbol_crowding,number_of_trades,liquidity,"HorizonSpread(Decay(ResidualizeVsFundingCore(cross_symbol_rank(RegimeMaskNonMay(F3_high_liquidity_high_vol,Sub(Rank(RollingMax(number_of_trades,60)),Rank(TSMean(number_of_trades,36)))))),20),20,3)",fc4f0ce0b0466a7b,72,generated_candidate,original,0.19970000000000002,False,False,selected_for_strict_replay,4.628369555266677,1.8828333268519462,3.2165553942285285,4.4351567607131495,1.8460752761948995,3.2077731711482484,4.4351567607131495,1.767373413199538,3.118442448937351,4.4351567607131495,1.8460752761948995,3.2077731711482484,4.4351567607131495,1.8460752761948995,3.2077731711482484,0.1750078743426859,0.18220906122308744,0.16170428127610303,0.1757546057587508,0.18239475109368306,0.16154331625312976,0.1757546057587508,0.18239475109368306,0.16154331625312976,0.1757546057587508,0.18239475109368306,0.16154331625312976,0.1757546057587508,0.18239475109368306,0.16154331625312976,-0.6534779491030019,0.9230769230769231,0.010368195563965465,0.17855663183885753,0.26700692508292984,A7O_PILOT_RESEARCH_CANDIDATE,,False,0.26700692508292984,cell_quota,selected_for_deep_audit,global_liquidity_volatility_cap_15pct,28,0,rc_096
a7o_l1_C0372_0387,C0372,387,H02_cross_symbol_dispersion_reversal,P11_volatility_basis,RegimeMaskNonMay,mixed_6_24,same_symbol_rank,FundingCore,lag_stable,F8_low_vol_high_liquidity,premium_index;realized_vol_12,basis;volatility,"Neg(CrossSymbolZScore(Decay(ResidualizeVsFundingCore(Clip(RegimeMaskNonMay(F8_low_vol_high_liquidity,Mul(Rank(TSMean(realized_vol_12,48)),ZScore(TSMean(premium_index,6)))),-4.0,4.0)),60)))",993d5df1b1a47a18,24,generated_candidate,original,0.3038,False,False,selected_for_strict_replay,0.5427666962195767,1.3259674126743797,0.21342157111815505,0.5427666962195767,1.2841006308215241,0.18046650102940046,0.5427666962195767,1.2631304865588688,0.17315970400891617,0.5427666962195767,1.2841006308215241,0.18046650102940046,0.5427666962195767,1.2841006308215241,0.18046650102940046,0.4987980769230769,0.49532648087429415,0.09241154562383613,0.4987980769230769,0.4953341131124408,0.09252793296089386,0.4987980769230769,0.4953341131124408,0.09252793296089386,0.4987980769230769,0.4953341131124408,0.09252793296089386,0.4987980769230769,0.4953341131124408,0.09252793296089386,-0.9253400763241922,0.9384615384615385,0.004303021602157266,0.3372670864770668,0.012045706736806902,A7O_PILOT_RESEARCH_CANDIDATE,,False,0.012045706736806902,cell_quota,selected_for_deep_audit,global_liquidity_volatility_cap_15pct,28,0,rc_129
a7o_l1_C0375_1163,C0375,1163,H03_basis_premium_residual,P7_cross_symbol_relative,HorizonSpread,H72,cross_symbol_rank,Core4,lag_stable,F0_calendar_blocks,cs_z_premium_index;cs_z_ret_6,basis;price,"ResidualizeVsFundingCore(Decay(ResidualizeVsCore4(cross_symbol_rank(WinsorZScore(Sub(Rank(TSMean(cs_z_premium_index,72)),Rank(TSMean(cs_z_premium_index,73))),3.0))),60))",dc7149a434e2499f,72,generated_candidate,original,0.2853,False,False,selected_for_strict_replay,25.187947088591528,1.9267254984177034,5.053525964296729,25.316852186629905,1.952739463793945,5.183902829855297,24.913844166748536,1.5817036530676478,4.88804740841116,24.228686617740877,1.2272183798264202,4.511612062568295,24.04169440006753,1.1821389261786,4.589958354854457,0.3993541523792962,0.41709989709996803,0.31586019868842147,0.3997048385794313,0.4170259431112585,0.31560370590804476,0.3997048385794313,0.4170259431112585,0.31560370590804476,0.3997048385794313,0.4170259431112585,0.31560370590804476,0.3997048385794313,0.4170259431112585,0.31560370590804476,-2.0,0.8461538461538461,0.03858239720626556,0.37477569616619316,-1.1634917531477202,A7O_PILOT_RESEARCH_CANDIDATE,,False,-1.1634917531477202,cell_quota,selected_for_deep_audit,global_liquidity_volatility_cap_15pct,28,0,rc_136
