shard,decision,label_family,count
00,A7FF19S00_NUMERIC_CLUE,L0_raw_forward_return,23
00,A7FF19S00_NUMERIC_CLUE,L1_cross_sectional_relative_return,26
00,A7FF19S00_NUMERIC_CLUE,L3_liquidity_tier_relative_return,29
00,A7FF19S00_NUMERIC_CLUE,L5_vol_adjusted_return,52
00,A7FF19S00_RANK_LABEL_DIAGNOSTIC_CLUE,L7_ranked_future_return,28
00,HOLD_A7FF19S00_CONTROL_DOMINATED,L0_raw_forward_return,31
00,HOLD_A7FF19S00_CONTROL_DOMINATED,L1_cross_sectional_relative_return,28
00,HOLD_A7FF19S00_CONTROL_DOMINATED,L3_liquidity_tier_relative_return,26
00,HOLD_A7FF19S00_CONTROL_DOMINATED,L5_vol_adjusted_return,18
00,HOLD_A7FF19S00_CONTROL_DOMINATED,L7_ranked_future_return,7
00,HOLD_A7FF19S00_COST2_PROXY_FRAGILE,L0_raw_forward_return,1
00,HOLD_A7FF19S00_COST2_PROXY_FRAGILE,L1_cross_sectional_relative_return,1
00,HOLD_A7FF19S00_COST2_PROXY_FRAGILE,L3_liquidity_tier_relative_return,1
00,HOLD_A7FF19S00_ONE_BAR_LAG_FRAGILE,L0_raw_forward_return,9
00,HOLD_A7FF19S00_ONE_BAR_LAG_FRAGILE,L1_cross_sectional_relative_return,9
00,HOLD_A7FF19S00_ONE_BAR_LAG_FRAGILE,L3_liquidity_tier_relative_return,11
00,HOLD_A7FF19S00_ONE_BAR_LAG_FRAGILE,L5_vol_adjusted_return,7
00,HOLD_A7FF19S00_ONE_BAR_LAG_FRAGILE,L7_ranked_future_return,35
00,HOLD_A7FF19S00_PRE_MAY_UNSTABLE,L0_raw_forward_return,48
00,HOLD_A7FF19S00_PRE_MAY_UNSTABLE,L1_cross_sectional_relative_return,48
00,HOLD_A7FF19S00_PRE_MAY_UNSTABLE,L3_liquidity_tier_relative_return,45
00,HOLD_A7FF19S00_PRE_MAY_UNSTABLE,L5_vol_adjusted_return,35
00,HOLD_A7FF19S00_PRE_MAY_UNSTABLE,L7_ranked_future_return,42
01,A7FF19S01_NUMERIC_CLUE,L0_raw_forward_return,36
01,A7FF19S01_NUMERIC_CLUE,L1_cross_sectional_relative_return,37
01,A7FF19S01_NUMERIC_CLUE,L3_liquidity_tier_relative_return,34
01,A7FF19S01_NUMERIC_CLUE,L5_vol_adjusted_return,39
01,A7FF19S01_RANK_LABEL_DIAGNOSTIC_CLUE,L7_ranked_future_return,28
01,HOLD_A7FF19S01_CONTROL_DOMINATED,L0_raw_forward_return,36
01,HOLD_A7FF19S01_CONTROL_DOMINATED,L1_cross_sectional_relative_return,35
01,HOLD_A7FF19S01_CONTROL_DOMINATED,L3_liquidity_tier_relative_return,29
01,HOLD_A7FF19S01_CONTROL_DOMINATED,L5_vol_adjusted_return,31
01,HOLD_A7FF19S01_CONTROL_DOMINATED,L7_ranked_future_return,11
01,HOLD_A7FF19S01_COST2_PROXY_FRAGILE,L3_liquidity_tier_relative_return,1
01,HOLD_A7FF19S01_ONE_BAR_LAG_FRAGILE,L3_liquidity_tier_relative_return,1
01,HOLD_A7FF19S01_ONE_BAR_LAG_FRAGILE,L5_vol_adjusted_return,10
01,HOLD_A7FF19S01_ONE_BAR_LAG_FRAGILE,L7_ranked_future_return,34
01,HOLD_A7FF19S01_PRE_MAY_UNSTABLE,L0_raw_forward_return,40
01,HOLD_A7FF19S01_PRE_MAY_UNSTABLE,L1_cross_sectional_relative_return,40
01,HOLD_A7FF19S01_PRE_MAY_UNSTABLE,L3_liquidity_tier_relative_return,47
01,HOLD_A7FF19S01_PRE_MAY_UNSTABLE,L5_vol_adjusted_return,32
01,HOLD_A7FF19S01_PRE_MAY_UNSTABLE,L7_ranked_future_return,39
