label_family,label_horizon_h,clue_rows,unique_blueprints,median_control_ratio,median_cost2,median_cost5,median_cost10
L0_raw_forward_return,1,43,43,0.3613474713378766,0.000767209898898,0.000167209898898,-0.0008327901011019
L0_raw_forward_return,4,11,11,0.7635230345576342,0.0023832950992356,0.0017832950992356,0.0007832950992356
L0_raw_forward_return,8,5,5,0.9919637812157572,0.0011044589824283,0.0005044589824283,-0.0004955410175716
L1_cross_sectional_relative_return,1,43,43,0.331962938090619,0.000767209898898,0.000167209898898,-0.0008327901011019
L1_cross_sectional_relative_return,4,15,15,0.7970956942658427,0.0024524519058166,0.0018524519058166,0.0008524519058166
L1_cross_sectional_relative_return,8,5,5,0.7844530643104193,0.0023295948758117,0.0017295948758117,0.0007295948758117
L3_liquidity_tier_relative_return,1,46,46,0.42794159926356967,0.0007994316598203,0.00019943165982029998,-0.0008005683401796
L3_liquidity_tier_relative_return,4,14,14,0.8776848355469702,0.0023871008495418497,0.0017871008495418499,0.0007871008495418501
L3_liquidity_tier_relative_return,8,3,3,0.9077218331289636,0.0020376021776064,0.0014376021776064,0.0004376021776064
L5_vol_adjusted_return,1,43,43,0.2811591983886808,0.1378070776346506,0.1372070776346506,0.1362070776346506
L5_vol_adjusted_return,4,25,25,0.6047327819239309,0.273123592361587,0.272523592361587,0.271523592361587
L5_vol_adjusted_return,8,23,23,0.6710938482212,0.3856807138308765,0.3850807138308765,0.3840807138308765
