shard,stage,decision,input_blueprint_count,queue_path,queue_offset,queue_limit,materialized_activity_ok_count,label_response_rows,non_l7_numeric_clue_rows,rank_label_diagnostic_clue_rows,portfolio_queue_count,selected_portfolio_queue_count,uses_may,authorizes_search
00,A7FF-19S00,PASS_A7FF19S00_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,28,D:\HermesWorker\GDrive\Project_V7_Rotation\alpha_pit_engine_crypto_20260519_remote\runtime\a7ff19_external_selector_confirmation_contract\a7ff19_execution_queue.csv,0,28,28,560,130,28,28,20,False,False
01,A7FF-19S01,PASS_A7FF19S01_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,28,D:\HermesWorker\GDrive\Project_V7_Rotation\alpha_pit_engine_crypto_20260519_remote\runtime\a7ff19_external_selector_confirmation_contract\a7ff19_execution_queue.csv,28,28,28,560,146,28,28,21,False,False
