candidate_id,original_validation_spread,original_test_spread,original_recent_spread,original_may_stress_spread,one_bar_lag_recent_spread,control_dominance_ratio_premay_max,sign_stable_pre_may,lag_ok,min_abs_premay_spread,decision,cell,family,field_families,fields,operators,windows,feature_role
a7al2k_0096829c83c908a8,-0.0005088611261122,-0.0014315039380366,-0.002246844898385,0.0001524539417823,-0.0021981841719038,1.0513697030572118,True,True,0.0005088611261122,A7AL2L_DERIVED_REPLAY_PREFLIGHT_CLUE,J4_upper_regime_interaction,derived_upper_regime_proxy,liquidity|open_interest,open_interest_value_mean|trade_volume,Mean|Mul|Rank,168|504,upper_regime_proxy
a7al2k_01bdc8d049fffe52,-0.0011203692525959,-0.0022476728573017,-0.0027401014520017,0.0011895039135197,-0.0026634168801677,1.2297659158106262,True,True,0.0011203692525959,A7AL2L_DERIVED_REPLAY_PREFLIGHT_CLUE,J4_upper_regime_interaction,derived_upper_regime_proxy,liquidity|open_interest,open_interest_value_last|trade_volume,Mean|Mul|Rank,48,upper_regime_proxy
a7al2k_01759e5da72c472c,-0.0012383812885329,-0.0030394639666952,-0.0019558814382863,-0.0033867774896891,-0.0019140511189446,0.9463423387869286,True,True,0.0012383812885329,A7AL2L_DERIVED_REPLAY_PREFLIGHT_CLUE,J4_upper_regime_interaction,derived_upper_regime_proxy,basis|liquidity,premium_close|trade_count,Abs|Mean|Mul|Rank|ZScore,720,upper_regime_proxy
