symbol,timestamp,a7_source_panel
0GUSDT,2026-05-26,main_v2
0GUSDT,2026-05-26,recent_patch_v1
1000000BOBUSDT,2026-05-26,main_v2
1000000BOBUSDT,2026-05-26,recent_patch_v1
1000000MOGUSDT,2026-05-26,main_v2
1000000MOGUSDT,2026-05-26,recent_patch_v1
1000BONKUSDT,2026-05-26,main_v2
1000BONKUSDT,2026-05-26,recent_patch_v1
1000CATUSDT,2026-05-26,main_v2
1000CATUSDT,2026-05-26,recent_patch_v1
1000CHEEMSUSDT,2026-05-26,main_v2
1000CHEEMSUSDT,2026-05-26,recent_patch_v1
1000FLOKIUSDT,2026-05-26,main_v2
1000FLOKIUSDT,2026-05-26,recent_patch_v1
1000LUNCUSDT,2026-05-26,main_v2
1000LUNCUSDT,2026-05-26,recent_patch_v1
1000PEPEUSDT,2026-05-26,main_v2
1000PEPEUSDT,2026-05-26,recent_patch_v1
1000RATSUSDT,2026-05-26,main_v2
1000RATSUSDT,2026-05-26,recent_patch_v1
1000SATSUSDT,2026-05-26,main_v2
1000SATSUSDT,2026-05-26,recent_patch_v1
1000SHIBUSDT,2026-05-26,main_v2
1000SHIBUSDT,2026-05-26,recent_patch_v1
1000XECUSDT,2026-05-26,main_v2
1000XECUSDT,2026-05-26,recent_patch_v1
1INCHUSDT,2026-05-26,main_v2
1INCHUSDT,2026-05-26,recent_patch_v1
1MBABYDOGEUSDT,2026-05-26,main_v2
1MBABYDOGEUSDT,2026-05-26,recent_patch_v1
2ZUSDT,2026-05-26,main_v2
2ZUSDT,2026-05-26,recent_patch_v1
4USDT,2026-05-26,main_v2
4USDT,2026-05-26,recent_patch_v1
AAVEUSDT,2026-05-26,main_v2
AAVEUSDT,2026-05-26,recent_patch_v1
ACEUSDT,2026-05-26,main_v2
ACEUSDT,2026-05-26,recent_patch_v1
ACHUSDT,2026-05-26,main_v2
ACHUSDT,2026-05-26,recent_patch_v1
ACTUSDT,2026-05-26,main_v2
ACTUSDT,2026-05-26,recent_patch_v1
ACUUSDT,2026-05-26,main_v2
ACUUSDT,2026-05-26,recent_patch_v1
ACXUSDT,2026-05-26,main_v2
ACXUSDT,2026-05-26,recent_patch_v1
ADAUSDT,2026-05-26,main_v2
ADAUSDT,2026-05-26,recent_patch_v1
AERGOUSDT,2026-05-26,main_v2
AERGOUSDT,2026-05-26,recent_patch_v1
AEROUSDT,2026-05-26,main_v2
AEROUSDT,2026-05-26,recent_patch_v1
AEVOUSDT,2026-05-26,main_v2
AEVOUSDT,2026-05-26,recent_patch_v1
AGLDUSDT,2026-05-26,main_v2
AGLDUSDT,2026-05-26,recent_patch_v1
AGTUSDT,2026-05-26,main_v2
AGTUSDT,2026-05-26,recent_patch_v1
AIAUSDT,2026-05-26,main_v2
AIAUSDT,2026-05-26,recent_patch_v1
AINUSDT,2026-05-26,main_v2
AINUSDT,2026-05-26,recent_patch_v1
AIOTUSDT,2026-05-26,main_v2
AIOTUSDT,2026-05-26,recent_patch_v1
AIOUSDT,2026-05-26,main_v2
AIOUSDT,2026-05-26,recent_patch_v1
AIXBTUSDT,2026-05-26,main_v2
AIXBTUSDT,2026-05-26,recent_patch_v1
AKEUSDT,2026-05-26,main_v2
AKEUSDT,2026-05-26,recent_patch_v1
AKTUSDT,2026-05-26,main_v2
AKTUSDT,2026-05-26,recent_patch_v1
ALCHUSDT,2026-05-26,main_v2
ALCHUSDT,2026-05-26,recent_patch_v1
ALGOUSDT,2026-05-26,main_v2
ALGOUSDT,2026-05-26,recent_patch_v1
ALICEUSDT,2026-05-26,main_v2
ALICEUSDT,2026-05-26,recent_patch_v1
ALLOUSDT,2026-05-26,main_v2
ALLOUSDT,2026-05-26,recent_patch_v1
ALLUSDT,2026-05-26,main_v2
ALLUSDT,2026-05-26,recent_patch_v1
ALPINEUSDT,2026-05-26,main_v2
ALPINEUSDT,2026-05-26,recent_patch_v1
ALTUSDT,2026-05-26,main_v2
ALTUSDT,2026-05-26,recent_patch_v1
ANIMEUSDT,2026-05-26,main_v2
ANIMEUSDT,2026-05-26,recent_patch_v1
ANKRUSDT,2026-05-26,main_v2
ANKRUSDT,2026-05-26,recent_patch_v1
APEUSDT,2026-05-26,main_v2
APEUSDT,2026-05-26,recent_patch_v1
API3USDT,2026-05-26,main_v2
API3USDT,2026-05-26,recent_patch_v1
APRUSDT,2026-05-26,main_v2
APRUSDT,2026-05-26,recent_patch_v1
APTUSDT,2026-05-26,main_v2
APTUSDT,2026-05-26,recent_patch_v1
ARBUSDT,2026-05-26,main_v2
ARBUSDT,2026-05-26,recent_patch_v1
ARCUSDT,2026-05-26,main_v2
ARCUSDT,2026-05-26,recent_patch_v1
ARIAUSDT,2026-05-26,main_v2
ARIAUSDT,2026-05-26,recent_patch_v1
ARKMUSDT,2026-05-26,main_v2
ARKMUSDT,2026-05-26,recent_patch_v1
ARKUSDT,2026-05-26,main_v2
ARKUSDT,2026-05-26,recent_patch_v1
ARPAUSDT,2026-05-26,main_v2
ARPAUSDT,2026-05-26,recent_patch_v1
ARUSDT,2026-05-26,main_v2
ARUSDT,2026-05-26,recent_patch_v1
ASRUSDT,2026-05-26,main_v2
ASRUSDT,2026-05-26,recent_patch_v1
ASTERUSDT,2026-05-26,main_v2
ASTERUSDT,2026-05-26,recent_patch_v1
ASTRUSDT,2026-05-26,main_v2
ASTRUSDT,2026-05-26,recent_patch_v1
ATHUSDT,2026-05-26,main_v2
ATHUSDT,2026-05-26,recent_patch_v1
ATOMUSDT,2026-05-26,main_v2
ATOMUSDT,2026-05-26,recent_patch_v1
ATUSDT,2026-05-26,main_v2
ATUSDT,2026-05-26,recent_patch_v1
AUCTIONUSDT,2026-05-26,main_v2
AUCTIONUSDT,2026-05-26,recent_patch_v1
AUSDT,2026-05-26,main_v2
AUSDT,2026-05-26,recent_patch_v1
AVAAIUSDT,2026-05-26,main_v2
AVAAIUSDT,2026-05-26,recent_patch_v1
AVAUSDT,2026-05-26,main_v2
AVAUSDT,2026-05-26,recent_patch_v1
AVAXUSDT,2026-05-26,main_v2
AVAXUSDT,2026-05-26,recent_patch_v1
AVNTUSDT,2026-05-26,main_v2
AVNTUSDT,2026-05-26,recent_patch_v1
AWEUSDT,2026-05-26,main_v2
AWEUSDT,2026-05-26,recent_patch_v1
AXLUSDT,2026-05-26,main_v2
AXLUSDT,2026-05-26,recent_patch_v1
AXSUSDT,2026-05-26,main_v2
AXSUSDT,2026-05-26,recent_patch_v1
B2USDT,2026-05-26,main_v2
B2USDT,2026-05-26,recent_patch_v1
BABYUSDT,2026-05-26,main_v2
BABYUSDT,2026-05-26,recent_patch_v1
BANANAS31USDT,2026-05-26,main_v2
BANANAS31USDT,2026-05-26,recent_patch_v1
BANANAUSDT,2026-05-26,main_v2
BANANAUSDT,2026-05-26,recent_patch_v1
BANDUSDT,2026-05-26,main_v2
BANDUSDT,2026-05-26,recent_patch_v1
BANKUSDT,2026-05-26,main_v2
BANKUSDT,2026-05-26,recent_patch_v1
BANUSDT,2026-05-26,main_v2
BANUSDT,2026-05-26,recent_patch_v1
BARDUSDT,2026-05-26,main_v2
BARDUSDT,2026-05-26,recent_patch_v1
BASUSDT,2026-05-26,main_v2
BASUSDT,2026-05-26,recent_patch_v1
BATUSDT,2026-05-26,main_v2
BATUSDT,2026-05-26,recent_patch_v1
BBUSDT,2026-05-26,main_v2
BBUSDT,2026-05-26,recent_patch_v1
BCHUSDT,2026-05-26,main_v2
BCHUSDT,2026-05-26,recent_patch_v1
BEAMXUSDT,2026-05-26,main_v2
BEAMXUSDT,2026-05-26,recent_patch_v1
BEATUSDT,2026-05-26,main_v2
BEATUSDT,2026-05-26,recent_patch_v1
BELUSDT,2026-05-26,main_v2
BELUSDT,2026-05-26,recent_patch_v1
BERAUSDT,2026-05-26,main_v2
BERAUSDT,2026-05-26,recent_patch_v1
BICOUSDT,2026-05-26,main_v2
BICOUSDT,2026-05-26,recent_patch_v1
BIGTIMEUSDT,2026-05-26,main_v2
BIGTIMEUSDT,2026-05-26,recent_patch_v1
BIOUSDT,2026-05-26,main_v2
BIOUSDT,2026-05-26,recent_patch_v1
BLESSUSDT,2026-05-26,main_v2
BLESSUSDT,2026-05-26,recent_patch_v1
BLUAIUSDT,2026-05-26,main_v2
BLUAIUSDT,2026-05-26,recent_patch_v1
BLURUSDT,2026-05-26,main_v2
BLURUSDT,2026-05-26,recent_patch_v1
BMTUSDT,2026-05-26,main_v2
BMTUSDT,2026-05-26,recent_patch_v1
BNBUSDT,2026-05-26,main_v2
BNBUSDT,2026-05-26,recent_patch_v1
BNTUSDT,2026-05-26,main_v2
BNTUSDT,2026-05-26,recent_patch_v1
BOMEUSDT,2026-05-26,main_v2
BOMEUSDT,2026-05-26,recent_patch_v1
BRETTUSDT,2026-05-26,main_v2
BRETTUSDT,2026-05-26,recent_patch_v1
BREVUSDT,2026-05-26,main_v2
BREVUSDT,2026-05-26,recent_patch_v1
BROCCOLI714USDT,2026-05-26,main_v2
BROCCOLI714USDT,2026-05-26,recent_patch_v1
BROCCOLIF3BUSDT,2026-05-26,main_v2
BROCCOLIF3BUSDT,2026-05-26,recent_patch_v1
BRUSDT,2026-05-26,main_v2
BRUSDT,2026-05-26,recent_patch_v1
BSVUSDT,2026-05-26,main_v2
BSVUSDT,2026-05-26,recent_patch_v1
BTCUSDT,2026-05-26,main_v2
BTCUSDT,2026-05-26,recent_patch_v1
BTRUSDT,2026-05-26,main_v2
BTRUSDT,2026-05-26,recent_patch_v1
BULLAUSDT,2026-05-26,main_v2
BULLAUSDT,2026-05-26,recent_patch_v1
BUSDT,2026-05-26,main_v2
BUSDT,2026-05-26,recent_patch_v1
C98USDT,2026-05-26,main_v2
C98USDT,2026-05-26,recent_patch_v1
CAKEUSDT,2026-05-26,main_v2
CAKEUSDT,2026-05-26,recent_patch_v1
CARVUSDT,2026-05-26,main_v2
CARVUSDT,2026-05-26,recent_patch_v1
CATIUSDT,2026-05-26,main_v2
CATIUSDT,2026-05-26,recent_patch_v1
CCUSDT,2026-05-26,main_v2
CCUSDT,2026-05-26,recent_patch_v1
CELOUSDT,2026-05-26,main_v2
CELOUSDT,2026-05-26,recent_patch_v1
CELRUSDT,2026-05-26,main_v2
CELRUSDT,2026-05-26,recent_patch_v1
CETUSUSDT,2026-05-26,main_v2
CETUSUSDT,2026-05-26,recent_patch_v1
CFXUSDT,2026-05-26,main_v2
CFXUSDT,2026-05-26,recent_patch_v1
CGPTUSDT,2026-05-26,main_v2
CGPTUSDT,2026-05-26,recent_patch_v1
CHILLGUYUSDT,2026-05-26,main_v2
CHILLGUYUSDT,2026-05-26,recent_patch_v1
CHRUSDT,2026-05-26,main_v2
CHRUSDT,2026-05-26,recent_patch_v1
CHZUSDT,2026-05-26,main_v2
CHZUSDT,2026-05-26,recent_patch_v1
CKBUSDT,2026-05-26,main_v2
CKBUSDT,2026-05-26,recent_patch_v1
CLANKERUSDT,2026-05-26,main_v2
CLANKERUSDT,2026-05-26,recent_patch_v1
CLOUSDT,2026-05-26,main_v2
CLOUSDT,2026-05-26,recent_patch_v1
COAIUSDT,2026-05-26,main_v2
COAIUSDT,2026-05-26,recent_patch_v1
COLLECTUSDT,2026-05-26,main_v2
COLLECTUSDT,2026-05-26,recent_patch_v1
COMPUSDT,2026-05-26,main_v2
COMPUSDT,2026-05-26,recent_patch_v1
COOKIEUSDT,2026-05-26,main_v2
COOKIEUSDT,2026-05-26,recent_patch_v1
COSUSDT,2026-05-26,main_v2
COSUSDT,2026-05-26,recent_patch_v1
COTIUSDT,2026-05-26,main_v2
COTIUSDT,2026-05-26,recent_patch_v1
COWUSDT,2026-05-26,main_v2
COWUSDT,2026-05-26,recent_patch_v1
CROSSUSDT,2026-05-26,main_v2
CROSSUSDT,2026-05-26,recent_patch_v1
CRVUSDT,2026-05-26,main_v2
CRVUSDT,2026-05-26,recent_patch_v1
CTKUSDT,2026-05-26,main_v2
CTKUSDT,2026-05-26,recent_patch_v1
CTSIUSDT,2026-05-26,main_v2
CTSIUSDT,2026-05-26,recent_patch_v1
CUSDT,2026-05-26,main_v2
CUSDT,2026-05-26,recent_patch_v1
CVCUSDT,2026-05-26,main_v2
CVCUSDT,2026-05-26,recent_patch_v1
CVXUSDT,2026-05-26,main_v2
CVXUSDT,2026-05-26,recent_patch_v1
CYBERUSDT,2026-05-26,main_v2
CYBERUSDT,2026-05-26,recent_patch_v1
CYSUSDT,2026-05-26,main_v2
CYSUSDT,2026-05-26,recent_patch_v1
DASHUSDT,2026-05-26,main_v2
DASHUSDT,2026-05-26,recent_patch_v1
DEEPUSDT,2026-05-26,main_v2
DEEPUSDT,2026-05-26,recent_patch_v1
DEXEUSDT,2026-05-26,main_v2
DEXEUSDT,2026-05-26,recent_patch_v1
DIAUSDT,2026-05-26,main_v2
DIAUSDT,2026-05-26,recent_patch_v1
DODOXUSDT,2026-05-26,main_v2
DODOXUSDT,2026-05-26,recent_patch_v1
DOGEUSDT,2026-05-26,main_v2
DOGEUSDT,2026-05-26,recent_patch_v1
DOGSUSDT,2026-05-26,main_v2
DOGSUSDT,2026-05-26,recent_patch_v1
DOLOUSDT,2026-05-26,main_v2
DOLOUSDT,2026-05-26,recent_patch_v1
DOODUSDT,2026-05-26,main_v2
DOODUSDT,2026-05-26,recent_patch_v1
DOTUSDT,2026-05-26,main_v2
DOTUSDT,2026-05-26,recent_patch_v1
DRIFTUSDT,2026-05-26,main_v2
DRIFTUSDT,2026-05-26,recent_patch_v1
DUSDT,2026-05-26,main_v2
DUSDT,2026-05-26,recent_patch_v1
DUSKUSDT,2026-05-26,main_v2
DUSKUSDT,2026-05-26,recent_patch_v1
DYDXUSDT,2026-05-26,main_v2
DYDXUSDT,2026-05-26,recent_patch_v1
DYMUSDT,2026-05-26,main_v2
DYMUSDT,2026-05-26,recent_patch_v1
EDENUSDT,2026-05-26,main_v2
EDENUSDT,2026-05-26,recent_patch_v1
EDUUSDT,2026-05-26,main_v2
EDUUSDT,2026-05-26,recent_patch_v1
EGLDUSDT,2026-05-26,main_v2
EGLDUSDT,2026-05-26,recent_patch_v1
EIGENUSDT,2026-05-26,main_v2
EIGENUSDT,2026-05-26,recent_patch_v1
ELSAUSDT,2026-05-26,main_v2
ELSAUSDT,2026-05-26,recent_patch_v1
ENAUSDT,2026-05-26,main_v2
ENAUSDT,2026-05-26,recent_patch_v1
ENJUSDT,2026-05-26,main_v2
ENJUSDT,2026-05-26,recent_patch_v1
ENSOUSDT,2026-05-26,main_v2
ENSOUSDT,2026-05-26,recent_patch_v1
ENSUSDT,2026-05-26,main_v2
ENSUSDT,2026-05-26,recent_patch_v1
EPICUSDT,2026-05-26,main_v2
EPICUSDT,2026-05-26,recent_patch_v1
ERAUSDT,2026-05-26,main_v2
ERAUSDT,2026-05-26,recent_patch_v1
ESPORTSUSDT,2026-05-26,main_v2
ESPORTSUSDT,2026-05-26,recent_patch_v1
ETCUSDT,2026-05-26,main_v2
ETCUSDT,2026-05-26,recent_patch_v1
ETHFIUSDT,2026-05-26,main_v2
ETHFIUSDT,2026-05-26,recent_patch_v1
