symbol,status,rows,main_rows,patch_rows,overlap_rows_dropped,timestamp_min,timestamp_max,duplicate_after_merge,inf_cells,premium_close_bps_na,funding_rate_na,age_days_min,age_days_max,output_path
0GUSDT,ok,6417,6010,408,1,2025-09-17 15:00:00,2026-06-11 23:00:00,0,0,0,3305,0.0,267.3333333333333,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v3_patch_age_20260613\symbol=0GUSDT\part.parquet
1000000BOBUSDT,ok,8920,8513,408,1,2025-06-05 08:00:00,2026-06-11 23:00:00,0,0,0,6534,0.0,371.625,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v3_patch_age_20260613\symbol=1000000BOBUSDT\part.parquet
1000000MOGUSDT,ok,13956,13549,408,1,2024-11-07 12:00:00,2026-06-11 23:00:00,0,0,0,10312,0.0,581.4583333333334,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v3_patch_age_20260613\symbol=1000000MOGUSDT\part.parquet
1000BONKUSDT,ok,21432,21025,408,1,2024-01-01 00:00:00,2026-06-11 23:00:00,0,0,0,15918,39.416666666666664,932.375,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v3_patch_age_20260613\symbol=1000BONKUSDT\part.parquet
1000CATUSDT,ok,14364,13957,408,1,2024-10-21 12:00:00,2026-06-11 23:00:00,0,0,0,10618,0.0,598.4583333333334,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v3_patch_age_20260613\symbol=1000CATUSDT\part.parquet
1000CHEEMSUSDT,ok,13525,13118,408,1,2024-11-25 11:00:00,2026-06-11 23:00:00,0,0,0,9988,0.0,563.5,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v3_patch_age_20260613\symbol=1000CHEEMSUSDT\part.parquet
1000FLOKIUSDT,ok,21432,21025,408,1,2024-01-01 00:00:00,2026-06-11 23:00:00,0,0,0,18471,184.0,1076.9583333333333,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v3_patch_age_20260613\symbol=1000FLOKIUSDT\part.parquet
1000LUNCUSDT,ok,21432,21025,408,1,2024-01-01 00:00:00,2026-06-11 23:00:00,0,0,0,18471,184.0,1076.9583333333333,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v3_patch_age_20260613\symbol=1000LUNCUSDT\part.parquet
1000PEPEUSDT,ok,21432,21025,408,1,2024-01-01 00:00:00,2026-06-11 23:00:00,0,0,0,18471,184.0,1076.9583333333333,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v3_patch_age_20260613\symbol=1000PEPEUSDT\part.parquet
1000RATSUSDT,ok,21432,21025,408,1,2024-01-01 00:00:00,2026-06-11 23:00:00,0,0,0,15918,16.416666666666668,909.375,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v3_patch_age_20260613\symbol=1000RATSUSDT\part.parquet
