symbol,rows,premium_close_bps_coverage,mark_index_basis_bps_coverage,funding_rate_coverage,open_interest_last_coverage,recent_patch_rows,main_rows_kept
0GUSDT,6417,1.0,0.982078853046595,0.48496182016518624,1.0,408,6009
1000000BOBUSDT,8920,1.0,1.0,0.26748878923766817,1.0,408,8512
1000000MOGUSDT,13956,1.0,1.0,0.2611063341931786,1.0,408,13548
1000BONKUSDT,21432,1.0,1.0,0.25727883538633817,0.9995334079880552,408,21024
1000CATUSDT,14364,1.0,1.0,0.26079086605402396,1.0,408,13956
1000CHEEMSUSDT,13525,1.0,1.0,0.2615157116451017,1.0,408,13117
1000FLOKIUSDT,21432,1.0,1.0,0.13815789473684212,0.9995334079880552,408,21024
1000LUNCUSDT,21432,1.0,1.0,0.13815789473684212,0.9995334079880552,408,21024
1000PEPEUSDT,21432,1.0,1.0,0.13815789473684212,0.9995334079880552,408,21024
1000RATSUSDT,21432,1.0,1.0,0.25727883538633817,0.9995334079880552,408,21024
1000SATSUSDT,21432,1.0,1.0,0.25727883538633817,0.9995334079880552,408,21024
1000SHIBUSDT,21432,1.0,1.0,0.13815789473684212,0.9995334079880552,408,21024
1000XECUSDT,21432,1.0,1.0,0.13815789473684212,0.9995334079880552,408,21024
1INCHUSDT,21432,1.0,1.0,0.13815789473684212,0.9995334079880552,408,21024
1MBABYDOGEUSDT,15205,1.0,1.0,0.26024334100624796,1.0,408,14797
2ZUSDT,6060,1.0,1.0,0.27574257425742577,1.0,408,5652
4USDT,5917,1.0,1.0,0.27632246070643907,1.0,408,5509
AAVEUSDT,21432,1.0,1.0,0.13815789473684212,0.9995334079880552,408,21024
ACEUSDT,21432,1.0,1.0,0.2669372900335946,0.9995334079880552,408,21024
ACHUSDT,21432,1.0,1.0,0.13815789473684212,0.9995334079880552,408,21024
ACTUSDT,13860,1.0,1.0,0.2611832611832612,1.0,408,13452
ACUUSDT,3396,1.0,1.0,0.2956419316843345,1.0,408,2988
ACXUSDT,13257,1.0,1.0,0.2617485102210153,1.0,408,12849
ADAUSDT,21432,1.0,1.0,0.13815789473684212,0.9995334079880552,408,21024
AERGOUSDT,10477,1.0,1.0,0.2699245967357068,0.9656390188030924,408,10069
AEROUSDT,13306,1.0,1.0,0.2616864572373365,1.0,408,12898
AEVOUSDT,19691,1.0,1.0,0.2578843126301356,1.0,408,19283
AGLDUSDT,21432,1.0,1.0,0.13815789473684212,0.9995334079880552,408,21024
AGTUSDT,9302,1.0,1.0,0.2667168350892281,1.0,408,8894
AIAUSDT,3877,0.8823832860459118,1.0,0.2607686355429456,0.8823832860459118,408,3469
AINUSDT,8078,1.0,1.0,0.2692498143104729,1.0,408,7670
AIOTUSDT,9780,1.0,1.0,0.2658486707566462,1.0,408,9372
AIOUSDT,7261,1.0,1.0,0.2714502134692191,1.0,408,6853
AIXBTUSDT,12918,1.0,1.0,0.2620374671001703,1.0,408,12510
AKEUSDT,6204,1.0,1.0,0.2751450676982592,1.0,408,5796
AKTUSDT,13693,1.0,1.0,0.2613744248886292,1.0,408,13285
ALCHUSDT,12493,1.0,1.0,0.2624669815096454,1.0,408,12085
ALGOUSDT,21432,1.0,1.0,0.13815789473684212,0.9995334079880552,408,21024
ALICEUSDT,21432,1.0,1.0,0.1496360582306831,0.9995334079880552,408,21024
ALLOUSDT,5098,1.0,1.0,0.28050215770890546,1.0,408,4690
ALLUSDT,7431,1.0,1.0,0.16283138204817657,1.0,408,7023
ALPINEUSDT,9639,1.0,1.0,0.2661064425770308,1.0,408,9231
ALTUSDT,20842,1.0,1.0,0.25746089626715285,0.9995201995969677,408,20434
ANIMEUSDT,12103,1.0,1.0,0.2859621581426093,1.0,408,11695
ANKRUSDT,21432,1.0,1.0,0.14576334453154163,0.9995334079880552,408,21024
APEUSDT,21432,1.0,1.0,0.13815789473684212,0.9995334079880552,408,21024
API3USDT,21432,1.0,1.0,0.28476110488988426,0.9995334079880552,408,21024
APRUSDT,5558,1.0,1.0,0.27797768981648074,1.0,408,5150
APTUSDT,21432,1.0,1.0,0.13815789473684212,0.9995334079880552,408,21024
ARBUSDT,21432,1.0,1.0,0.13815789473684212,0.9995334079880552,408,21024
ARCUSDT,12251,1.0,1.0,0.2626724349032732,1.0,408,11843
ARIAUSDT,6757,1.0,1.0,0.29006955749593016,1.0,408,6349
ARKMUSDT,21432,1.0,1.0,0.13815789473684212,0.9995334079880552,408,21024
ARKUSDT,21432,1.0,1.0,0.20002799552071668,0.9995334079880552,408,21024
ARPAUSDT,21432,1.0,1.0,0.13815789473684212,0.9995334079880552,408,21024
ARUSDT,21432,1.0,1.0,0.13815789473684212,0.9995334079880552,408,21024
ASRUSDT,9639,1.0,1.0,0.2661064425770308,1.0,408,9231
ASTERUSDT,6372,1.0,1.0,0.2744821092278719,1.0,408,5964
ASTRUSDT,21432,1.0,1.0,0.13815789473684212,0.9995334079880552,408,21024
ATHUSDT,10449,1.0,1.0,0.264905732605991,1.0,408,10041
ATOMUSDT,21432,1.0,1.0,0.13815789473684212,0.9995334079880552,408,21024
ATUSDT,5413,1.0,1.0,0.27877332348050987,1.0,408,5005
AUCTIONUSDT,21432,1.0,1.0,0.2601717058603957,0.9995334079880552,408,21024
AUSDT,9112,1.0,1.0,0.2671202809482002,1.0,408,8704
AVAAIUSDT,12251,1.0,1.0,0.2626724349032732,1.0,408,11843
AVAUSDT,13091,1.0,1.0,0.2618592926438011,1.0,408,12683
AVAXUSDT,21432,1.0,1.0,0.13815789473684212,0.9995334079880552,408,21024
AVNTUSDT,6609,1.0,1.0,0.2735663489181419,1.0,408,6201
AWEUSDT,9280,1.0,1.0,0.2668103448275862,1.0,408,8872
AXLUSDT,19977,1.0,1.0,0.2923361866146068,1.0,408,19569
AXSUSDT,21432,1.0,1.0,0.1599010824934677,0.9995334079880552,408,21024
B2USDT,9635,1.0,1.0,0.26611312921639857,1.0,408,9227
BABYUSDT,10379,1.0,0.9887272376914924,0.26495808844782737,1.0,408,9971
BANANAS31USDT,10719,1.0,1.0,0.26448362720403024,1.0,408,10311
BANANAUSDT,15982,1.0,1.0,0.26930296583656615,1.0,408,15574
BANDUSDT,21432,1.0,1.0,0.13815789473684212,0.9995334079880552,408,21024
BANKUSDT,10062,1.0,1.0,0.2654541840588352,1.0,408,9654
BANUSDT,13693,1.0,1.0,0.2628350251953553,1.0,408,13285
