semantic_pair,blocker_family,rows
basis_premium|positioning_flow,control_dominated,140
volatility_like|liquidity_rank_active_universe,control_dominated,132
volatility_like|volume_volatility_ratio_168h,control_dominated,123
open_interest_like|liquidity_rank_active_universe,pre_may_unstable,119
open_interest_like|age_x_liquidity,pre_may_unstable,112
basis_premium|basis_premium,control_dominated,105
basis_premium_like|age_x_volatility,control_dominated,98
open_interest_like|age_x_liquidity,control_dominated,87
open_interest_like|liquidity_rank_active_universe,control_dominated,79
listing_lifecycle|basis_premium,control_dominated,74
listing_lifecycle|basis_premium,pre_may_unstable,64
listing_age_like|regime_state,control_dominated,61
basis_premium|basis_premium,numeric_clue,59
basis_premium_like|age_x_volatility,numeric_clue,50
volatility_like|volume_volatility_ratio_168h,numeric_clue,45
basis_premium_like|age_x_volatility,rank_label_diagnostic_clue,44
basis_premium_like|age_x_volatility,pre_may_unstable,40
volatility_like|volume_volatility_ratio_168h,pre_may_unstable,38
basis_premium|positioning_flow,pre_may_unstable,35
basis_premium|positioning_flow,numeric_clue,32
basis_premium|positioning_flow,rank_label_diagnostic_clue,29
volatility_like,control_dominated,29
basis_premium|basis_premium,rank_label_diagnostic_clue,24
volatility_like|volume_volatility_ratio_168h,rank_label_diagnostic_clue,23
volatility_like,pre_may_unstable,20
volatility_like,numeric_clue,20
listing_age_like|regime_state,numeric_clue,15
listing_age_like|regime_state,rank_label_diagnostic_clue,14
volatility_like|liquidity_rank_active_universe,numeric_clue,14
open_interest_like|positioning_like,control_dominated,12
basis_premium|basis_premium,cost_fragile,12
volatility_like|volume_volatility_ratio_168h,cost_fragile,11
volatility_like|liquidity_rank_active_universe,rank_label_diagnostic_clue,10
listing_age_like|regime_state,pre_may_unstable,10
volatility_like,rank_label_diagnostic_clue,8
basis_premium_like|age_x_volatility,cost_fragile,8
basis_premium_like,control_dominated,7
basis_premium_like,pre_may_unstable,7
basis_premium_like,lag_fragile,6
volatility_like|trade_volume,numeric_clue,6
volatility_like|trade_volume,control_dominated,5
volatility_like|trade_volume,rank_label_diagnostic_clue,4
volatility_like|liquidity_rank_active_universe,pre_may_unstable,4
open_interest_like|positioning_like,pre_may_unstable,4
basis_premium|positioning_flow,cost_fragile,3
volatility_like|trade_volume,cost_fragile,3
open_interest_like|positioning_like,rank_label_diagnostic_clue,3
volatility_like,cost_fragile,3
listing_lifecycle|basis_premium,rank_label_diagnostic_clue,2
volatility_like|trade_volume,pre_may_unstable,2
basis_premium|positioning_flow,lag_fragile,1
open_interest_like|liquidity_rank_active_universe,rank_label_diagnostic_clue,1
open_interest_like|positioning_like,numeric_clue,1
open_interest_like|age_x_liquidity,numeric_clue,1
open_interest_like|liquidity_rank_active_universe,numeric_clue,1
