next_wave_family,blocker_family,rows
raw_multi_axis_probe,control_dominated,319
vol_liquidity_interaction,control_dominated,260
positioning_context_interaction,pre_may_unstable,231
positioning_context_interaction,control_dominated,166
raw_multi_axis_probe,pre_may_unstable,99
basis_context_interaction,control_dominated,98
raw_multi_axis_probe,numeric_clue,91
vol_liquidity_interaction,numeric_clue,65
listing_state_interaction,control_dominated,61
raw_multi_axis_probe,rank_label_diagnostic_clue,55
basis_context_interaction,numeric_clue,50
vol_liquidity_interaction,pre_may_unstable,44
basis_context_interaction,rank_label_diagnostic_clue,44
basis_context_interaction,pre_may_unstable,40
vol_liquidity_interaction,rank_label_diagnostic_clue,37
vol_liquidity_deep,control_dominated,29
vol_liquidity_deep,pre_may_unstable,20
vol_liquidity_deep,numeric_clue,20
raw_multi_axis_probe,cost_fragile,15
listing_state_interaction,numeric_clue,15
listing_state_interaction,rank_label_diagnostic_clue,14
vol_liquidity_interaction,cost_fragile,14
positioning_flow_recovery,control_dominated,12
listing_state_interaction,pre_may_unstable,10
basis_context_interaction,cost_fragile,8
vol_liquidity_deep,rank_label_diagnostic_clue,8
basis_crowding_deep,pre_may_unstable,7
basis_crowding_deep,control_dominated,7
basis_crowding_deep,lag_fragile,6
positioning_flow_recovery,pre_may_unstable,4
vol_liquidity_deep,cost_fragile,3
positioning_flow_recovery,rank_label_diagnostic_clue,3
positioning_context_interaction,numeric_clue,2
positioning_context_interaction,rank_label_diagnostic_clue,1
positioning_flow_recovery,numeric_clue,1
raw_multi_axis_probe,lag_fragile,1
