shard,manifest_path,decision,blockers,missing_numeric_fields,input_blueprint_count,hours_per_split,materialized_activity_ok_count,label_response_rows,non_l7_numeric_clue_rows,rank_label_diagnostic_clue_rows,portfolio_queue_count,selected_portfolio_queue_count,generated_at
s000,G:\AlphaFactory_CryptoData\research_runtime\a7ls12_company_deep_audit\shard_000\a7ls12_s000_manifest.json,PASS_A7LS12S000_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,,24,0,24,480,76,60,21,9,2026-06-06T02:09:25Z
s001,G:\AlphaFactory_CryptoData\research_runtime\a7ls12_company_deep_audit\shard_001\a7ls12_s001_manifest.json,PASS_A7LS12S001_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,,24,0,24,480,64,32,17,13,2026-06-06T02:09:39Z
s002,G:\AlphaFactory_CryptoData\research_runtime\a7ls12_company_deep_audit\shard_002\a7ls12_s002_manifest.json,PASS_A7LS12S002_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,,24,0,24,480,41,28,14,9,2026-06-06T02:20:39Z
s003,G:\AlphaFactory_CryptoData\research_runtime\a7ls12_company_deep_audit\shard_003\a7ls12_s003_manifest.json,PASS_A7LS12S003_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,,21,0,21,420,63,42,16,10,2026-06-06T02:19:18Z
