decision,count
HOLD_A7LS3HRS000_PORTFOLIO_QUEUE_TOO_SMALL,1
HOLD_A7LS3HRS001_NO_NON_L7_NUMERIC_CLUES,1
HOLD_A7LS3HRS002_PORTFOLIO_QUEUE_TOO_SMALL,1
HOLD_A7LS3HRS003_PORTFOLIO_QUEUE_TOO_SMALL,1
HOLD_A7LS3HRS004_NO_NON_L7_NUMERIC_CLUES,1
PASS_A7LS3HRS005_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,1
PASS_A7LS3HRS006_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,1
HOLD_A7LS3HRS007_MISSING_FIELDS,1
HOLD_A7LS3HRS008_PORTFOLIO_QUEUE_TOO_SMALL,1
PASS_A7LS3HRS009_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,1
PASS_A7LS3HRS010_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,1
PASS_A7LS3HRS011_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,1
PASS_A7LS3HRS012_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,1
HOLD_A7LS3HRS013_MISSING_FIELDS,1
HOLD_A7LS3HRS014_MISSING_FIELDS,1
HOLD_A7LS3HRS015_NO_NON_L7_NUMERIC_CLUES,1
