shard,shard_dir,missing_reason
s000,G:\AlphaFactory_CryptoData\research_runtime\a7ls3hr_company_numeric\shard_000,missing_manifest_or_shard_dir
s001,G:\AlphaFactory_CryptoData\research_runtime\a7ls3hr_company_numeric\shard_001,missing_manifest_or_shard_dir
s002,G:\AlphaFactory_CryptoData\research_runtime\a7ls3hr_company_numeric\shard_002,missing_manifest_or_shard_dir
s003,G:\AlphaFactory_CryptoData\research_runtime\a7ls3hr_company_numeric\shard_003,missing_manifest_or_shard_dir
s004,G:\AlphaFactory_CryptoData\research_runtime\a7ls3hr_company_numeric\shard_004,missing_manifest_or_shard_dir
s005,G:\AlphaFactory_CryptoData\research_runtime\a7ls3hr_company_numeric\shard_005,missing_manifest_or_shard_dir
s006,G:\AlphaFactory_CryptoData\research_runtime\a7ls3hr_company_numeric\shard_006,missing_manifest_or_shard_dir
s007,G:\AlphaFactory_CryptoData\research_runtime\a7ls3hr_company_numeric\shard_007,missing_manifest_or_shard_dir
s008,G:\AlphaFactory_CryptoData\research_runtime\a7ls3hr_company_numeric\shard_008,missing_manifest_or_shard_dir
s009,G:\AlphaFactory_CryptoData\research_runtime\a7ls3hr_company_numeric\shard_009,missing_manifest_or_shard_dir
s010,G:\AlphaFactory_CryptoData\research_runtime\a7ls3hr_company_numeric\shard_010,missing_manifest_or_shard_dir
s011,G:\AlphaFactory_CryptoData\research_runtime\a7ls3hr_company_numeric\shard_011,missing_manifest_or_shard_dir
s012,G:\AlphaFactory_CryptoData\research_runtime\a7ls3hr_company_numeric\shard_012,missing_manifest_or_shard_dir
s013,G:\AlphaFactory_CryptoData\research_runtime\a7ls3hr_company_numeric\shard_013,missing_manifest_or_shard_dir
s014,G:\AlphaFactory_CryptoData\research_runtime\a7ls3hr_company_numeric\shard_014,missing_manifest_or_shard_dir
s015,G:\AlphaFactory_CryptoData\research_runtime\a7ls3hr_company_numeric\shard_015,missing_manifest_or_shard_dir
