shard,manifest_path,decision,blockers,label_response_rows,clue_count,portfolio_candidate_count,materialized_activity_ok_count,eval_failure_count,generated_at
s000,G:\AlphaFactory_CryptoData\research_runtime\a7ls3hr_company_numeric\shard_000\a7ls3hr_s000_manifest.json,HOLD_A7LS3HRS000_PORTFOLIO_QUEUE_TOO_SMALL,portfolio_selected_lt_4,1280,,,64,,2026-06-05T08:08:20Z
s001,G:\AlphaFactory_CryptoData\research_runtime\a7ls3hr_company_numeric\shard_001\a7ls3hr_s001_manifest.json,HOLD_A7LS3HRS001_NO_NON_L7_NUMERIC_CLUES,no_non_l7_numeric_clues,1280,,,64,,2026-06-05T08:08:21Z
s002,G:\AlphaFactory_CryptoData\research_runtime\a7ls3hr_company_numeric\shard_002\a7ls3hr_s002_manifest.json,HOLD_A7LS3HRS002_PORTFOLIO_QUEUE_TOO_SMALL,portfolio_selected_lt_4,1280,,,64,,2026-06-05T08:08:21Z
s003,G:\AlphaFactory_CryptoData\research_runtime\a7ls3hr_company_numeric\shard_003\a7ls3hr_s003_manifest.json,HOLD_A7LS3HRS003_PORTFOLIO_QUEUE_TOO_SMALL,portfolio_selected_lt_4,1280,,,64,,2026-06-05T08:08:21Z
s004,G:\AlphaFactory_CryptoData\research_runtime\a7ls3hr_company_numeric\shard_004\a7ls3hr_s004_manifest.json,HOLD_A7LS3HRS004_NO_NON_L7_NUMERIC_CLUES,no_non_l7_numeric_clues,1280,,,64,,2026-06-05T08:08:14Z
s005,G:\AlphaFactory_CryptoData\research_runtime\a7ls3hr_company_numeric\shard_005\a7ls3hr_s005_manifest.json,PASS_A7LS3HRS005_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,1280,,,64,,2026-06-05T08:08:15Z
s006,G:\AlphaFactory_CryptoData\research_runtime\a7ls3hr_company_numeric\shard_006\a7ls3hr_s006_manifest.json,PASS_A7LS3HRS006_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,1280,,,64,,2026-06-05T08:08:17Z
s007,G:\AlphaFactory_CryptoData\research_runtime\a7ls3hr_company_numeric\shard_007\a7ls3hr_s007_manifest.json,HOLD_A7LS3HRS007_MISSING_FIELDS,missing_numeric_fields,0,,,0,,2026-06-05T08:00:49Z
s008,G:\AlphaFactory_CryptoData\research_runtime\a7ls3hr_company_numeric\shard_008\a7ls3hr_s008_manifest.json,HOLD_A7LS3HRS008_PORTFOLIO_QUEUE_TOO_SMALL,portfolio_selected_lt_4,1280,,,64,,2026-06-05T08:08:29Z
s009,G:\AlphaFactory_CryptoData\research_runtime\a7ls3hr_company_numeric\shard_009\a7ls3hr_s009_manifest.json,PASS_A7LS3HRS009_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,1280,,,64,,2026-06-05T08:14:01Z
s010,G:\AlphaFactory_CryptoData\research_runtime\a7ls3hr_company_numeric\shard_010\a7ls3hr_s010_manifest.json,PASS_A7LS3HRS010_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,1280,,,64,,2026-06-05T08:14:08Z
s011,G:\AlphaFactory_CryptoData\research_runtime\a7ls3hr_company_numeric\shard_011\a7ls3hr_s011_manifest.json,PASS_A7LS3HRS011_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,1280,,,64,,2026-06-05T08:14:07Z
s012,G:\AlphaFactory_CryptoData\research_runtime\a7ls3hr_company_numeric\shard_012\a7ls3hr_s012_manifest.json,PASS_A7LS3HRS012_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,1280,,,64,,2026-06-05T08:14:12Z
s013,G:\AlphaFactory_CryptoData\research_runtime\a7ls3hr_company_numeric\shard_013\a7ls3hr_s013_manifest.json,HOLD_A7LS3HRS013_MISSING_FIELDS,missing_numeric_fields,0,,,0,,2026-06-05T08:08:35Z
s014,G:\AlphaFactory_CryptoData\research_runtime\a7ls3hr_company_numeric\shard_014\a7ls3hr_s014_manifest.json,HOLD_A7LS3HRS014_MISSING_FIELDS,missing_numeric_fields,0,,,0,,2026-06-05T08:08:35Z
s015,G:\AlphaFactory_CryptoData\research_runtime\a7ls3hr_company_numeric\shard_015\a7ls3hr_s015_manifest.json,HOLD_A7LS3HRS015_NO_NON_L7_NUMERIC_CLUES,no_non_l7_numeric_clues,1280,,,64,,2026-06-05T08:14:11Z
