cap_name,top_value,top_count,top_share,cap,status
top_formula_family_share,positioning_reversal,6,0.1875,0.25,PASS
top_skeleton_share,skeleton-746e1c41665c2005,3,0.09375,0.15,PASS
top_production_key_share,crypto_formula_gen_v2_adapter::positioning_reversal::positioning|price::96,1,0.03125,0.2,PASS
top_field_family_share,price,16,0.25,0.25,PASS
