scope,candidates,skeleton_count,top_skeleton,top_skeleton_share,required_skeleton_count,status
all_generated,1000,31,skeleton-7762e3f46e546cc2,0.077,,
a7ar2_evaled,96,31,skeleton-ded8d0d5aade90e2,0.083333,,
eligible_prediversity,90,30,skeleton-ded8d0d5aade90e2,0.088889,,
selected,32,29,skeleton-746e1c41665c2005,0.09375,20,PASS
