candidate_id,selected_for_pre_replay,selector_reason,reject_reason,selection_score,family,field_families,fields,operators,windows,wrapper_tags,expression,eval_status,active_ratio_0bar,active_ratio_field_native_lag1,inf_rows_0bar,inf_rows_field_native_lag1,expression_key,skeleton_key,production_key,operator_signature,horizon_signature
crypto_fg2_e2783db59b40fe22,False,eligible_not_selected_by_caps_or_budget,eligible_prediversity,1.44634485,positioning_reversal,positioning|price,global_long_short_account_ratio_last|mark_close,Sub|ZScore|Mean|ZScore|Mean,8|96,oi_positioning_wrapper_risk,"Sub(ZScore(Mean(global_long_short_account_ratio_last,96)),ZScore(Mean(global_long_short_account_ratio_last,8)))",pass,0.996947,0.99687,0.0,0.0,expr-c431ef666e79934a,skeleton-7762e3f46e546cc2,crypto_formula_gen_v2_adapter::positioning_reversal::positioning|price::8|96,Mean|Sub|ZScore,8|96
crypto_fg2_6ade79221e568fb2,False,eligible_not_selected_by_caps_or_budget,eligible_prediversity,1.72683275,liquidity_volatility_guarded,liquidity|volatility,trade_low|trade_volume,Mul|ZScore|Delta|Rank|Mean,168|504,none,"Mul(ZScore(Delta(trade_volume,504)),Rank(Mean(trade_low,168)))",pass,0.961527,0.961451,0.0,0.0,expr-a983ea87f408979b,skeleton-6f032847c2252b83,crypto_formula_gen_v2_adapter::liquidity_volatility_guarded::liquidity|volatility::168|504,Delta|Mean|Mul|Rank|ZScore,168|504
crypto_fg2_9aab35756cff77af,False,eligible_not_selected_by_caps_or_budget,eligible_prediversity,1.51243067,positioning_reversal,positioning|price,top_long_short_account_ratio_last|trade_close,Mul|ZScore|Mean|Neg|ZScore|Delta,96|168,oi_positioning_wrapper_risk,"Mul(ZScore(Mean(top_long_short_account_ratio_last,168)),Neg(ZScore(Delta(trade_close,96))))",pass,0.992672,0.992596,0.0,0.0,expr-00e8d5e9ad874361,skeleton-68fcd98ee78740fa,crypto_formula_gen_v2_adapter::positioning_reversal::positioning|price::96|168,Delta|Mean|Mul|Neg|ZScore,96|168
crypto_fg2_1d8d3d74ee3dd701,False,eligible_not_selected_by_caps_or_budget,eligible_prediversity,0.46690985,basis_funding_crowding,basis|funding,funding_rate|mark_index_basis_bps,Sub|ZScore|Mean|ZScore|Mean,12|168,funding_wrapper_risk|basis_premium_wrapper_risk,"Sub(ZScore(Mean(mark_index_basis_bps,12)),ZScore(Mean(funding_rate,168)))",pass,0.153347,0.153335,0.0,0.0,expr-0e3e2e8afaf2dfdc,skeleton-7762e3f46e546cc2,crypto_formula_gen_v2_adapter::basis_funding_crowding::basis|funding::12|168,Mean|Sub|ZScore,12|168
crypto_fg2_422f3aa826219ad4,False,low_activity_0bar,low_activity_0bar,0.0,basis_funding_crowding,basis|funding,funding_rate|mark_trade_basis_bps,Sub|ZScore|Mean|ZScore|Mean,8|72,funding_wrapper_risk|basis_premium_wrapper_risk,"Sub(ZScore(Mean(mark_trade_basis_bps,72)),ZScore(Mean(funding_rate,8)))",pass,0.0,0.0,0.0,0.0,expr-27965dd308992a28,skeleton-7762e3f46e546cc2,crypto_formula_gen_v2_adapter::basis_funding_crowding::basis|funding::8|72,Mean|Sub|ZScore,8|72
crypto_fg2_ba4851c6a8fe7516,False,eligible_not_selected_by_caps_or_budget,eligible_prediversity,1.4467271,taker_flow_state,liquidity|taker_ratio,taker_buy_quote_volume|taker_buy_sell_volume_ratio_last,Sub|ZScore|Mean|ZScore|Mean,4|72,taker_flow_wrapper_risk,"Sub(ZScore(Mean(taker_buy_sell_volume_ratio_last,72)),ZScore(Mean(taker_buy_sell_volume_ratio_last,4)))",pass,0.997252,0.997176,0.0,0.0,expr-21ed253fea45ab27,skeleton-7762e3f46e546cc2,crypto_formula_gen_v2_adapter::taker_flow_state::liquidity|taker_ratio::4|72,Mean|Sub|ZScore,4|72
crypto_fg2_76ca30746eef69f6,False,eligible_not_selected_by_caps_or_budget,eligible_prediversity,1.5089611,basis_funding_crowding,basis|funding,funding_rate|mark_index_basis_bps,Sub|ZScore|Mean|ZScore|Mean,504|720,funding_wrapper_risk|basis_premium_wrapper_risk,"Sub(ZScore(Mean(mark_index_basis_bps,720)),ZScore(Mean(funding_rate,504)))",pass,0.98704,0.986963,0.0,0.0,expr-78ec62648e5c7250,skeleton-7762e3f46e546cc2,crypto_formula_gen_v2_adapter::basis_funding_crowding::basis|funding::504|720,Mean|Sub|ZScore,504|720
crypto_fg2_078e43864d10c5b9,False,eligible_not_selected_by_caps_or_budget,eligible_prediversity,1.63682104,taker_flow_state,liquidity|taker_ratio,taker_buy_sell_volume_ratio_mean|trade_volume,Mul|ZScore|Mean|Rank|Mean,8|720,taker_flow_wrapper_risk,"Mul(ZScore(Mean(taker_buy_sell_volume_ratio_mean,8)),Rank(Mean(trade_volume,720)))",pass,0.996947,0.99687,0.0,0.0,expr-7607292e6733faa1,skeleton-4b7c966f0b1870e8,crypto_formula_gen_v2_adapter::taker_flow_state::liquidity|taker_ratio::8|720,Mean|Mul|Rank|ZScore,8|720
crypto_fg2_703f43f2c8825405,False,eligible_not_selected_by_caps_or_budget,eligible_prediversity,1.47149567,positioning_reversal,positioning|price,global_long_short_account_ratio_last|index_close,Mul|ZScore|Mean|Neg|ZScore|Delta,12|504,oi_positioning_wrapper_risk,"Mul(ZScore(Mean(global_long_short_account_ratio_last,12)),Neg(ZScore(Delta(index_close,504))))",pass,0.959924,0.959848,0.0,0.0,expr-3a6f68055ced9f4f,skeleton-68fcd98ee78740fa,crypto_formula_gen_v2_adapter::positioning_reversal::positioning|price::12|504,Delta|Mean|Mul|Neg|ZScore,12|504
crypto_fg2_b5f8363810d09921,False,eligible_not_selected_by_caps_or_budget,eligible_prediversity,1.59193604,price_volatility_structure,price|volatility,trade_close|trade_low,Sub|ZScore|Delta|ZScore|Delta,24|720,none,"Sub(ZScore(Delta(trade_close,24)),ZScore(Delta(trade_low,720)))",pass,0.945039,0.944962,0.0,0.0,expr-b823d9e6d6ddc83b,skeleton-7bb80280bed53044,crypto_formula_gen_v2_adapter::price_volatility_structure::price|volatility::24|720,Delta|Sub|ZScore,24|720
crypto_fg2_4046312acdd0dd68,True,selected_diversity_capped,eligible_prediversity,1.5089611,basis_funding_crowding,basis|funding,funding_rate|mark_trade_basis_bps,Sub|ZScore|Mean|ZScore|Mean,8|336,funding_wrapper_risk|basis_premium_wrapper_risk,"Sub(ZScore(Mean(mark_trade_basis_bps,8)),ZScore(Mean(funding_rate,336)))",pass,0.98704,0.986963,0.0,0.0,expr-3f91130e10b2d8f0,skeleton-7762e3f46e546cc2,crypto_formula_gen_v2_adapter::basis_funding_crowding::basis|funding::8|336,Mean|Sub|ZScore,8|336
crypto_fg2_e7bf44eeb42e2fa2,False,eligible_not_selected_by_caps_or_budget,eligible_prediversity,1.4414371,taker_flow_state,liquidity|taker_ratio,taker_buy_sell_volume_ratio_last|trade_count,Sub|ZScore|Mean|ZScore|Mean,96|336,taker_flow_wrapper_risk,"Sub(ZScore(Mean(taker_buy_sell_volume_ratio_last,96)),ZScore(Mean(taker_buy_sell_volume_ratio_last,336)))",pass,0.99302,0.992944,0.0,0.0,expr-fc8294999580a072,skeleton-7762e3f46e546cc2,crypto_formula_gen_v2_adapter::taker_flow_state::liquidity|taker_ratio::96|336,Mean|Sub|ZScore,96|336
crypto_fg2_a74f56e06e4d3d29,False,eligible_not_selected_by_caps_or_budget,eligible_prediversity,1.48799106,liquidity_volatility_guarded,liquidity|volatility,mark_high|trade_count,Mul|Rank|Mean|ZScore|Delta,8|48,none,"Mul(Rank(Mean(trade_count,8)),ZScore(Delta(mark_high,48)))",pass,0.996336,0.99626,0.0,0.0,expr-fd85119403b4b483,skeleton-ded8d0d5aade90e2,crypto_formula_gen_v2_adapter::liquidity_volatility_guarded::liquidity|volatility::8|48,Delta|Mean|Mul|Rank|ZScore,8|48
crypto_fg2_7dd16d5802666585,False,eligible_not_selected_by_caps_or_budget,eligible_prediversity,1.61254704,price_volatility_structure,price|volatility,mark_close|trade_high,Sub|ZScore|Delta|ZScore|Delta,72|504,none,"Sub(ZScore(Delta(mark_close,72)),ZScore(Delta(trade_high,504)))",pass,0.961527,0.961451,0.0,0.0,expr-8ecdf05372ebeaf0,skeleton-7bb80280bed53044,crypto_formula_gen_v2_adapter::price_volatility_structure::price|volatility::72|504,Delta|Sub|ZScore,72|504
crypto_fg2_ab3c0513cb663d2b,False,eligible_not_selected_by_caps_or_budget,eligible_prediversity,1.47028106,oi_price_interaction,open_interest|price,open_interest_last|trade_close,Mul|Rank|Mean|ZScore|Delta,24|168,oi_positioning_wrapper_risk,"Mul(Rank(Mean(open_interest_last,168)),ZScore(Delta(trade_close,24)))",pass,0.998168,0.998092,0.0,0.0,expr-f02ea8f49e65490c,skeleton-ded8d0d5aade90e2,crypto_formula_gen_v2_adapter::oi_price_interaction::open_interest|price::24|168,Delta|Mean|Mul|Rank|ZScore,24|168
crypto_fg2_29952a812ea3b58b,True,selected_diversity_capped,eligible_prediversity,1.64460729,price_volatility_structure,price|volatility,mark_low|trade_close,Sub|ZScore|Delta|ZScore|Delta,72|168,none,"Sub(ZScore(Delta(trade_close,72)),ZScore(Delta(mark_low,168)))",pass,0.987176,0.987099,0.0,0.0,expr-9297e5a9716ba7dc,skeleton-7bb80280bed53044,crypto_formula_gen_v2_adapter::price_volatility_structure::price|volatility::72|168,Delta|Sub|ZScore,72|168
crypto_fg2_05390a2435132d37,False,eligible_not_selected_by_caps_or_budget,eligible_prediversity,0.46690985,basis_funding_crowding,basis|funding,funding_rate|mark_trade_basis_bps,Sub|ZScore|Mean|ZScore|Mean,8|96,funding_wrapper_risk|basis_premium_wrapper_risk,"Sub(ZScore(Mean(mark_trade_basis_bps,8)),ZScore(Mean(funding_rate,96)))",pass,0.153347,0.153335,0.0,0.0,expr-8d17886efeae2b26,skeleton-7762e3f46e546cc2,crypto_formula_gen_v2_adapter::basis_funding_crowding::basis|funding::8|96,Mean|Sub|ZScore,8|96
