field_name,L0_raw_forward_return|1|cs_rank,L0_raw_forward_return|1|delta_24h,L0_raw_forward_return|1|level,L0_raw_forward_return|24|cs_rank,L0_raw_forward_return|24|delta_24h,L0_raw_forward_return|24|level,L0_raw_forward_return|4|cs_rank,L0_raw_forward_return|4|delta_24h,L0_raw_forward_return|4|level,L1_cross_sectional_relative_return|1|cs_rank,L1_cross_sectional_relative_return|1|delta_24h,L1_cross_sectional_relative_return|1|level,L1_cross_sectional_relative_return|24|cs_rank,L1_cross_sectional_relative_return|24|delta_24h,L1_cross_sectional_relative_return|24|level,L1_cross_sectional_relative_return|4|cs_rank,L1_cross_sectional_relative_return|4|delta_24h,L1_cross_sectional_relative_return|4|level,L7_ranked_future_return|1|cs_rank,L7_ranked_future_return|1|delta_24h,L7_ranked_future_return|1|level,L7_ranked_future_return|24|cs_rank,L7_ranked_future_return|24|delta_24h,L7_ranked_future_return|24|level,L7_ranked_future_return|4|cs_rank,L7_ranked_future_return|4|delta_24h,L7_ranked_future_return|4|level,semantic_type,compiler_role
basis_abs_168h,1.0179100543590285,1.1060809414043973,1.0179100543590285,1.5642858316938144,1.7807433450288854,1.5642858316938144,1.5090232649279234,1.6305733788205732,1.5090232649279234,1.0179100543590285,1.106080941404397,1.0179100543590285,1.5642858316938144,1.7807433450288854,1.5642858316938144,1.5090232649279234,1.6305733788205732,1.5090232649279234,2.0417012187043984,0.3012751427601948,2.0417012187043984,1.9038732789640607,0.9945600772844024,1.9038732789640607,1.0052385207122323,0.5434363570899657,1.0052385207122323,basis_premium_like,forbidden_or_unlicensed
funding_rate,1.5038212213330935,1.706623443465142,1.5038212213330935,1.6260193757232482,1.0566776351719969,1.6260193757232482,1.6945466457175529,1.0528730062368474,1.6945466457175529,1.5038212213330935,1.706623443465142,1.5038212213330935,1.6260193757232482,1.0566776351719969,1.6260193757232482,1.6945466457175529,1.0528730062368474,1.6945466457175529,0.5894188936045957,0.11540572985508821,0.5894188936045957,0.6553415040883258,1.5075931985627835,0.6553415040883258,0.062205227154028965,0.6446472089625231,0.062205227154028965,rate_like,forbidden_or_unlicensed
funding_rate_abs_168h,1.0071895525674335,1.106930086308922,1.0071895525674335,1.5652346456089141,1.3641720588870514,1.5652346456089141,1.0276145996748296,1.2131335465345265,1.0276145996748296,1.0071895525674335,1.106930086308922,1.0071895525674335,1.5652346456089141,1.3641720588870514,1.5652346456089141,1.0276145996748294,1.2131335465345265,1.0276145996748294,0.8600477635386349,0.12750859975656384,0.8600477635386349,0.6793301381203605,0.47723438780121336,0.6793301381203605,0.810836029258773,0.41090561635866507,0.810836029258773,rate_like,forbidden_or_unlicensed
funding_rate_mean_168h,1.0740268299789986,1.5563798663806028,1.0740268299789986,1.1906154335626196,1.5534552990812942,1.1906154335626196,1.0719699140162684,1.5905350733240486,1.0719699140162684,1.0740268299789986,1.5563798663806028,1.0740268299789986,1.1906154335626196,1.5534552990812942,1.1906154335626196,1.0719699140162684,1.5905350733240486,1.0719699140162684,1.0997252440218175,0.7673871142793383,1.0997252440218175,0.627008851954915,0.6594326713307,0.627008851954915,0.9021228766858803,0.6587776490700827,0.9021228766858803,rate_like,forbidden_or_unlicensed
global_long_short_account_ratio_last,1.1773145627076325,2.080137547224932,1.1773145627076325,1.0784853054888761,1.663866614609456,1.0784853054888761,1.0640088374818564,2.513785914544456,1.0640088374818564,1.1773145627076325,2.080137547224932,1.1773145627076325,1.0784853054888761,1.663866614609456,1.0784853054888761,1.0640088374818564,2.513785914544456,1.0640088374818564,1.7455717906639439,1.867217583885993,1.7455717906639439,0.04542281058431512,0.7001431170634477,0.04542281058431512,1.657472845218953,1.711095615303682,1.657472845218953,positioning_like,risk_exposure_or_neutralizer
kline_taker_buy_quote_share,2.1264583432711075,1.0001937261006433,2.1264583432711075,1.4568159198363273,1.5266371817637432,1.4568159198363273,1.064782692710836,1.10749827645293,1.064782692710836,2.1264583432711075,1.0001937261006433,2.1264583432711075,1.4568159198363273,1.5266371817637432,1.4568159198363273,1.064782692710836,1.10749827645293,1.064782692710836,1.8368080155824011,1.7015449929372575,1.8368080155824011,0.4730609435864056,0.47526148342336566,0.4730609435864056,1.2887159033835318,1.3139216832808116,1.2887159033835318,categorical_state,regime_or_diagnostic_input
liquidity_rank_active_universe,1.2475810589593337,1.6942923220169588,1.2475810589593337,1.3172392405811246,1.8262330641038056,1.3172392405811246,1.2762346594823586,1.717801249498391,1.2762346594823586,1.2475810589593335,1.6942923220169588,1.2475810589593335,1.3172392405811246,1.8262330641038056,1.3172392405811246,1.2762346594823584,1.717801249498391,1.2762346594823584,0.03805741488457074,2.4180753372928048,0.03805741488457074,0.2375007937694822,1.4619805322894972,0.2375007937694822,0.15663393677122395,2.435800495656642,0.15663393677122395,liquidity_like,forbidden_or_unlicensed
mark_index_basis_bps,2.9401305990405904,4.533858109908921,2.9401305990405904,1.2729328757378462,1.4654696469413675,1.2729328757378462,2.9366151153949054,3.033036871530141,2.9366151153949054,2.94013059904059,4.533858109908921,2.94013059904059,1.2729328757378462,1.4654696469413673,1.2729328757378462,2.9366151153949054,3.033036871530141,2.9366151153949054,3.2668635241623765,2.630353189964445,3.2668635241623765,0.7453387715187896,0.6094170737319389,0.7453387715187896,0.8330415580203382,1.8583874847177744,0.8330415580203382,basis_premium_like,signal_seed_candidate
mark_trade_basis_bps,4.575350559569774,3.580794596014467,4.575350559569774,2.3313612394788543,1.9513858026124187,2.3313612394788543,2.555084449243213,2.7217144739286954,2.555084449243213,4.575350559569774,3.580794596014467,4.575350559569774,2.331361239478854,1.9513858026124185,2.331361239478854,2.555084449243213,2.7217144739286954,2.555084449243213,3.88462812764236,3.0,3.8922251037978306,0.38079812501888566,0.49225064289762505,0.38079812501888566,2.75241248268775,1.723434561835027,2.75241248268775,basis_premium_like,regime_or_diagnostic_input
oi_x_price_move_24h,1.561060538359712,1.589737271521931,1.561060538359712,1.490361506781825,1.4301455311746123,1.490361506781825,1.5162378904228366,1.0312660275895091,1.5162378904228366,1.5610605383597123,1.5897372715219307,1.5610605383597123,1.490361506781825,1.4301455311746123,1.490361506781825,1.5162378904228369,1.0312660275895091,1.5162378904228369,1.713867017167891,1.5839537897377356,1.713867017167891,2.0114755621564355,1.8412075595753876,2.0114755621564355,1.8045556287817748,1.5940305719557788,1.8045556287817748,positioning_like,risk_exposure_or_neutralizer
