replay_contract_rank,candidate_id,family_id,primary_seed_field,source_fields,skeleton_key,production_key,motif,expression,eval_success,finite_share,nonzero_share,activity_ok,min_value,max_value,std_value,error,label_family,horizon_h,orientation_from_train,premay_all_positive,one_bar_lag_ok,control_ratio_premay_max,oriented_validation_spread,oriented_test_spread,oriented_recent_spread,decision
18,a7ab3_4092255ee6888704,G0_price_return_reversal,trade_return_1h,trade_return_1h,skeleton_e52f279333afdc9d,prod_8bb33185279cfaf6,zscore_self_interaction,"ZScore(Mul(Mul(TSRank(trade_return_1h,168),ZScore(Mean(trade_return_1h,168))),Rank(Clip(ZScore(trade_return_1h),-3,3))))",True,0.993896484375,1.0,True,-9.62804987046198,9.69346690587493,0.9947780321927768,,L7_ranked_future_return,4,-1.0,True,True,0.7422230314641165,0.0283688476360438,0.0204192692168425,0.0447428486447341,A7AB6_SMALL_REPLAY_PREFLIGHT_CLUE
19,a7ab3_ced6188c184ada50,G0_price_return_reversal,trade_return_1h,trade_return_1h,skeleton_e52f279333afdc9d,prod_8bb33185279cfaf6,zscore_self_interaction,"ZScore(Mul(Mul(TSRank(trade_return_1h,72),ZScore(Mean(trade_return_1h,168))),Rank(Clip(ZScore(trade_return_1h),-3,3))))",True,0.993896484375,1.0,True,-9.60897039497996,9.692337386359256,0.9947780321927768,,L7_ranked_future_return,4,-1.0,True,True,0.981989858366847,0.0275100060780053,0.0198761283105731,0.0454216131284916,A7AB6_SMALL_REPLAY_PREFLIGHT_CLUE
34,a7ab3_2af478d1ff284e21,G1_volatility_state_reversal,realized_vol_168h,realized_vol_168h,skeleton_05854e1690e1ce55,prod_25e7ec8d2c4bd8cb,winsor_atom,"Winsor(Rank(Clip(ZScore(realized_vol_168h),-3,3)),3)",True,0.853271484375,1.0,True,0.0104166666666666,1.0,0.2886594478938672,,L7_ranked_future_return,1,-1.0,True,True,0.9489624799404038,0.0245258493020141,0.0289143389738834,0.03615368889404,A7AB6_SMALL_REPLAY_PREFLIGHT_CLUE
35,a7ab3_3edc6f38cc9be3f3,G1_volatility_state_reversal,realized_vol_168h,realized_vol_168h,skeleton_9f0d66272a0406f6,prod_f09350f10eef3530,single_atom,Rank(realized_vol_168h),True,0.853271484375,1.0,True,0.0104166666666666,1.0,0.288659472541545,,L7_ranked_future_return,1,-1.0,True,True,0.9489624799404038,0.0245258493020141,0.0289143389738834,0.03615368889404,A7AB6_SMALL_REPLAY_PREFLIGHT_CLUE
36,a7ab3_6e301587da1c1fa3,G1_volatility_state_reversal,realized_vol_24h,realized_vol_24h,skeleton_0f915c45eabbea19,prod_ff9649f4b0b5dcc7,rank_atom,Rank(ZScore(realized_vol_24h)),True,0.853271484375,1.0,True,0.0104166666666666,1.0,0.2886594725415449,,L7_ranked_future_return,1,-1.0,True,True,0.8825573169255974,0.0204831330809251,0.0265493805697213,0.0345866816051099,A7AB6_SMALL_REPLAY_PREFLIGHT_CLUE
36,a7ab3_6e301587da1c1fa3,G1_volatility_state_reversal,realized_vol_24h,realized_vol_24h,skeleton_0f915c45eabbea19,prod_ff9649f4b0b5dcc7,rank_atom,Rank(ZScore(realized_vol_24h)),True,0.853271484375,1.0,True,0.0104166666666666,1.0,0.2886594725415449,,L7_ranked_future_return,4,-1.0,True,True,0.9633075807159004,0.0290777596730808,0.0446459400217256,0.0598930044744465,A7AB6_SMALL_REPLAY_PREFLIGHT_CLUE
37,a7ab3_da7270f10c2caee8,G1_volatility_state_reversal,realized_vol_168h,realized_vol_168h,skeleton_d4e122deedc31056,prod_839fdfc3451c6c85,winsor_atom,"Winsor(Clip(ZScore(realized_vol_168h),-3,3),3)",True,0.853271484375,1.0,True,-2.313017356934958,5.0,0.9377339954732924,,L7_ranked_future_return,1,-1.0,True,True,0.9489624799404038,0.0245258493020141,0.0289143389738834,0.03615368889404,A7AB6_SMALL_REPLAY_PREFLIGHT_CLUE
39,a7ab3_d4939ee84cb32793,G1_volatility_state_reversal,realized_vol_24h,realized_vol_24h,skeleton_5190274b100e392b,prod_f61390d4371ecad5,clip_atom,"Clip(Decay(realized_vol_24h,4),-3,3)",True,0.8525390625,1.0,True,0.0007323938637792,0.1457992967612001,0.0056736995831093,,L7_ranked_future_return,1,-1.0,True,True,0.9751233547536498,0.0195696021995569,0.0246782922526142,0.0324775118477309,A7AB6_SMALL_REPLAY_PREFLIGHT_CLUE
40,a7ab3_165c7d8966b27a17,G1_volatility_state_reversal,realized_vol_168h,realized_vol_168h,skeleton_631f433b0ee241f4,prod_7b7185ad43eef39c,winsor_atom,"Winsor(ZScore(Decay(Delta(realized_vol_168h,1),4)),3)",True,0.852294921875,1.0,True,-5.0,5.0,0.8570901702369699,,L7_ranked_future_return,4,-1.0,True,True,0.6126478081923302,0.0168662224549968,0.0371154368404717,0.0381559719635836,A7AB6_SMALL_REPLAY_PREFLIGHT_CLUE
48,a7ab3_6eb23cd8ce4aeef1,G1_volatility_state_reversal,realized_vol_168h,realized_vol_168h,skeleton_1bfeeed2faa0c752,prod_5cff96a37f793b14,winsor_atom,"Winsor(Sub(Decay(realized_vol_168h,12),Decay(realized_vol_168h,4)),3)",True,0.8505859375,1.0,True,-0.0174722485841776,0.0132331751020181,0.000267659977225,,L7_ranked_future_return,1,1.0,True,True,0.935474085143198,0.0071636113686704,0.0224838864420748,0.0249090493483748,A7AB6_SMALL_REPLAY_PREFLIGHT_CLUE
55,a7ab3_f0f4c568b02b1b72,G1_volatility_state_reversal,realized_vol_168h,realized_vol_168h,skeleton_80be2e39216c5bd2,prod_05ef2fe8f8a41b76,single_atom,"ZScore(Sub(Decay(realized_vol_168h,4),Decay(realized_vol_168h,12)))",True,0.8505859375,1.0,True,-9.66097423681151,9.674085973917856,0.9947780321927768,,L7_ranked_future_return,1,-1.0,True,True,0.8774384826360727,0.0083342991809612,0.0218926267192087,0.0216955938031216,A7AB6_SMALL_REPLAY_PREFLIGHT_CLUE
57,a7ab3_0bc78809db3a1428,G1_volatility_state_reversal,realized_vol_168h,realized_vol_168h,skeleton_631f433b0ee241f4,prod_7b7185ad43eef39c,winsor_atom,"Winsor(ZScore(Decay(Delta(realized_vol_168h,1),12)),3)",True,0.850341796875,1.0,True,-5.0,5.0,0.8564174897478769,,L7_ranked_future_return,4,-1.0,True,True,0.8282358214464629,0.0170234261845644,0.0306543231429753,0.0455930419770329,A7AB6_SMALL_REPLAY_PREFLIGHT_CLUE
69,a7ab3_87c3ee594944936f,G2_basis_premium_dislocation,premium_close_bps,premium_close_bps,skeleton_6574be5f6db7bce2,prod_b591949fd3b4092b,rank_atom,"Rank(Sub(ZScore(Mean(premium_close_bps,4)),ZScore(premium_close_bps)))",True,0.9990234375,1.0,True,0.0104166666666666,1.0,0.2883480805310776,,L7_ranked_future_return,1,1.0,True,True,0.7812134869928389,0.0365459816134581,0.0232496157804746,0.0188252872476838,A7AB6_SMALL_REPLAY_PREFLIGHT_CLUE
75,a7ab3_12f53c28ae64a7c9,G2_basis_premium_dislocation,premium_close_bps,premium_close_bps,skeleton_0d0b63c5ed3bddab,prod_27561277934afe9f,rank_atom,"Rank(Sub(Rank(Decay(premium_close_bps,4)),Rank(Decay(premium_close_bps,12))))",True,0.9970703125,1.0,True,0.0104166666666666,1.0,0.2885405180389337,,L7_ranked_future_return,1,-1.0,True,True,0.6488493375046525,0.0174611732912106,0.0260325514796785,0.0141260904566059,A7AB6_SMALL_REPLAY_PREFLIGHT_CLUE
85,a7ab3_db425196e6b15b0a,G2_basis_premium_dislocation,premium_close_bps,premium_close_bps,skeleton_0d0b63c5ed3bddab,prod_27561277934afe9f,rank_atom,"Rank(Sub(Rank(Decay(premium_close_bps,12)),Rank(Decay(premium_close_bps,4))))",True,0.9970703125,1.0,True,0.0104166666666666,1.0,0.2885405180389337,,L7_ranked_future_return,1,1.0,True,True,0.6614931767069742,0.0189145562895997,0.0230662267084381,0.0152592236253354,A7AB6_SMALL_REPLAY_PREFLIGHT_CLUE
88,a7ab3_0b7b3deaa9bdd1bc,G2_basis_premium_dislocation,premium_close_bps,premium_close_bps,skeleton_0d0b63c5ed3bddab,prod_27561277934afe9f,rank_atom,"Rank(Sub(Rank(Decay(premium_close_bps,4)),Rank(Decay(premium_close_bps,24))))",True,0.994140625,1.0,True,0.0104166666666666,1.0,0.2885983669754531,,L7_ranked_future_return,1,-1.0,True,True,0.7500914007120499,0.0213144791095938,0.0314139690981441,0.0237996654216012,A7AB6_SMALL_REPLAY_PREFLIGHT_CLUE
