ordinal,token_id,field_id,token_kind,context_id,family,expression,base_dependencies,feature_available_lag_bars,alignment_shift_bars,execution_semantics,authority_ref,finite_ratio,finite_rows,variance,nonzero_ratio_of_finite,minimum,maximum,input_gradient_mean_abs,first_layer_weight_update_mean_abs,ablation_prediction_change_mean_abs,check_materialized,check_finite_adequacy,check_value_variation,check_gradient_reachable,check_parameter_updated,check_prediction_sensitive,consumption_pass
1,FIELD:top_global_account_divergence,top_global_account_divergence,BASE,BROAD_PANEL_BASELINE,account_position_divergence,top_global_account_divergence,['top_global_account_divergence'],1,0,RAW_PANEL_ALIGNED_BASE_FIELD,CRYPTO_18M_COMPOSITIONAL_FIELD_REGISTRY,0.9980904636139186,1484432,0.12017205805402412,0.9999966317082898,-4.885745525360107,2.729769468307495,0.0154944509267807,0.034576863050460815,0.011879371479153633,True,True,True,True,True,True,True
2,FIELD:mark_trade_basis_bps,mark_trade_basis_bps,BASE,BROAD_PANEL_BASELINE,basis_premium,mark_trade_basis_bps,['mark_trade_basis_bps'],1,0,RAW_PANEL_ALIGNED_BASE_FIELD,CRYPTO_18M_COMPOSITIONAL_FIELD_REGISTRY,0.9995158921838103,1486552,22.987011339718187,0.7210834198870945,-819.3118896484375,1438.72900390625,0.006531229242682457,0.03279143199324608,0.005474083591252565,True,True,True,True,True,True,True
3,FIELD:trade_quote_volume,trade_quote_volume,BASE,BROAD_PANEL_BASELINE,quote_volume_activity,trade_quote_volume,['trade_quote_volume'],1,0,RAW_PANEL_ALIGNED_BASE_FIELD,CRYPTO_18M_COMPOSITIONAL_FIELD_REGISTRY,1.0,1487272,5749988733530120.0,1.0,1728.0850830078125,14348726272.0,0.003350759856402874,0.030290372669696808,0.0025766007602214813,True,True,True,True,True,True,True
4,FIELD:account_position_divergence,account_position_divergence,BASE,BROAD_PANEL_BASELINE,account_position_divergence,account_position_divergence,['account_position_divergence'],1,0,RAW_PANEL_ALIGNED_BASE_FIELD,CRYPTO_18M_COMPOSITIONAL_FIELD_REGISTRY,0.9980904636139186,1484432,0.9423425685861986,1.0,-12.60622787475586,3.1125500202178955,0.017137935385107994,0.043074604123830795,0.012189752422273159,True,True,True,True,True,True,True
5,FIELD:global_long_short_account_ratio_last,global_long_short_account_ratio_last,BASE,BROAD_PANEL_BASELINE,account_crowding,global_long_short_account_ratio_last,['global_long_short_account_ratio_last'],1,0,RAW_PANEL_ALIGNED_BASE_FIELD,CRYPTO_18M_COMPOSITIONAL_FIELD_REGISTRY,0.9980904636139186,1484432,1.1900732148643025,1.0,0.18748605251312256,17.970081329345703,0.010676027275621891,0.037315547466278076,0.008102569729089737,True,True,True,True,True,True,True
6,FIELD:open_interest_value_last,open_interest_value_last,BASE,BROAD_PANEL_BASELINE,open_interest_value,open_interest_value_last,['open_interest_value_last'],1,0,RAW_PANEL_ALIGNED_BASE_FIELD,CRYPTO_18M_COMPOSITIONAL_FIELD_REGISTRY,0.9980904636139186,1484432,1.1836382086015749e+17,0.9997123478879464,0.0,6205993472.0,0.003320416435599327,0.03695831820368767,0.0034724718425422907,True,True,True,True,True,True,True
7,FIELD:open_interest_value_mean,open_interest_value_mean,BASE,BROAD_PANEL_BASELINE,open_interest_value,open_interest_value_mean,['open_interest_value_mean'],1,0,RAW_PANEL_ALIGNED_BASE_FIELD,CRYPTO_18M_COMPOSITIONAL_FIELD_REGISTRY,0.9980904636139186,1484432,1.1837045021723635e+17,1.0,578671.0625,6162523648.0,0.006620061118155718,0.03697213530540466,0.007644833065569401,True,True,True,True,True,True,True
8,FIELD:top_long_short_account_ratio_last,top_long_short_account_ratio_last,BASE,BROAD_PANEL_BASELINE,account_crowding,top_long_short_account_ratio_last,['top_long_short_account_ratio_last'],1,0,RAW_PANEL_ALIGNED_BASE_FIELD,CRYPTO_18M_COMPOSITIONAL_FIELD_REGISTRY,0.9980904636139186,1484432,1.1398362284655228,1.0,0.16249389946460724,14.51958179473877,0.00821297150105238,0.03777194395661354,0.005746529437601566,True,True,True,True,True,True,True
9,FIELD:trade_close,trade_close,BASE,BROAD_PANEL_BASELINE,price_level,trade_close,['trade_close'],1,0,RAW_PANEL_ALIGNED_BASE_FIELD,CRYPTO_18M_COMPOSITIONAL_FIELD_REGISTRY,1.0,1487272,14026223.903625699,1.0,0.00016080000204965472,73644.6015625,0.0065248580649495125,0.01998128741979599,0.003413597820326686,True,True,True,True,True,True,True
10,FIELD:top_long_short_position_ratio_last,top_long_short_position_ratio_last,BASE,BROAD_PANEL_BASELINE,position_crowding,top_long_short_position_ratio_last,['top_long_short_position_ratio_last'],1,0,RAW_PANEL_ALIGNED_BASE_FIELD,CRYPTO_18M_COMPOSITIONAL_FIELD_REGISTRY,0.9980904636139186,1484432,0.2977730591571077,1.0,0.4063189923763275,7.295567989349365,0.004150953609496355,0.02350297011435032,0.0038043782114982605,True,True,True,True,True,True,True
11,FIELD:global_long_short_account_ratio_mean,global_long_short_account_ratio_mean,BASE,BROAD_PANEL_BASELINE,account_crowding,global_long_short_account_ratio_mean,['global_long_short_account_ratio_mean'],1,0,RAW_PANEL_ALIGNED_BASE_FIELD,CRYPTO_18M_COMPOSITIONAL_FIELD_REGISTRY,0.9980904636139186,1484432,1.186642638567902,1.0,0.20198175311088562,17.580631256103516,0.006035542581230402,0.037405699491500854,0.004959288984537125,True,True,True,True,True,True,True
12,FIELD:agg_notional_100_1k,agg_notional_100_1k,BASE,CORE3_MICROSTRUCTURE_PILOT,activity_liquidity,agg_notional_100_1k,['agg_notional_100_1k'],1,0,CORE3_AGGTRADES_BASE_FIELD,aggtrades_base_feature_registry_94.csv,1.0,13104,66027116163676.516,1.0,627600.0,166785056.0,0.0038714557886123657,0.03473414480686188,0.0023726308718323708,True,True,True,True,True,True,True
13,FIELD:premium_high,premium_high,BASE,BROAD_PANEL_BASELINE,basis_premium,premium_high,['premium_high'],1,0,RAW_PANEL_ALIGNED_BASE_FIELD,CRYPTO_18M_COMPOSITIONAL_FIELD_REGISTRY,1.0,1487272,4.226959367106915e-06,0.9092681096665572,-0.1744832992553711,0.32505670189857483,0.007417895831167698,0.02413790300488472,0.006399208679795265,True,True,True,True,True,True,True
14,FIELD:active_universe_size,active_universe_size,BASE,BROAD_PANEL_BASELINE,cross_asset_market_state,active_universe_size,['active_universe_size'],1,0,RAW_PANEL_ALIGNED_BASE_FIELD,CRYPTO_18M_COMPOSITIONAL_FIELD_REGISTRY,1.0,1487272,5725.498397181397,1.0,1.0,176.0,0.006296245381236076,0.0,0.0,True,True,True,True,False,False,False
15,FIELD:agg_universe_notional,agg_universe_notional,BASE,CORE3_MICROSTRUCTURE_PILOT,cross_symbol,agg_universe_notional,['agg_universe_notional'],1,0,CORE3_AGGTRADES_BASE_FIELD,aggtrades_base_feature_registry_94.csv,1.0,13104,1.5125506723327153e+18,1.0,98198232.0,20306585600.0,0.005799189209938049,0.03721858561038971,0.004824939649552107,True,True,True,True,True,True,True
16,FIELD:agg_buy_quantity,agg_buy_quantity,BASE,CORE3_MICROSTRUCTURE_PILOT,flow,agg_buy_quantity,['agg_buy_quantity'],1,0,CORE3_AGGTRADES_BASE_FIELD,aggtrades_base_feature_registry_94.csv,1.0,13104,92826175634.55437,1.0,301.5369873046875,6525324.0,0.003116401145234704,0.029547030106186867,0.001950928010046482,True,True,True,True,True,True,True
17,FIELD:agg_large_notional_ratio_100k_plus,agg_large_notional_ratio_100k_plus,BASE,CORE3_MICROSTRUCTURE_PILOT,large_trade,agg_large_notional_ratio_100k_plus,['agg_large_notional_ratio_100k_plus'],1,0,CORE3_AGGTRADES_BASE_FIELD,aggtrades_base_feature_registry_94.csv,1.0,13104,0.02187702011099688,0.9996947496947497,0.0,0.664526641368866,0.005572334863245487,0.030867349356412888,0.0041300272569060326,True,True,True,True,True,True,True
