candidate_id,seed_lane,label_family,label_horizon_h,pass_both_splits,pass_spread_splits,pass_control_splits,min_spread,mean_spread,max_control_ratio,min_sample_rows
core25e_S0_positioning_price_basis_02109c6eb2431e,S0_positioning_price_basis,L1_cross_sectional_relative_return,24,0,1,0,-0.0005270713689558,-0.00016942912487839999,27.55881968691044,46987
core25e_S0_positioning_price_basis_02cae377e8913e,S0_positioning_price_basis,L0_raw_forward_return,24,0,0,1,-0.0029780166409389,-0.001903606261462967,3.0664330661837877,47063
core25e_S0_positioning_price_basis_035f0dcad1dc7f,S0_positioning_price_basis,L1_cross_sectional_relative_return,24,0,0,0,-0.0026360704971955,-0.0017738315475910732,5.827479988901133,46988
core25e_S0_positioning_price_basis_0365ea250da17e,S0_positioning_price_basis,L0_raw_forward_return,24,1,1,2,-0.0032354518696523,-0.0005429355235941335,2.5927681397883706,46986
core25e_S0_positioning_price_basis_0922438f201b00,S0_positioning_price_basis,L3_liquidity_tier_relative_return,24,2,2,2,-0.0007772211283117,0.0020567373719473335,5.211625128666377,47000
core25e_S0_positioning_price_basis_0d648d12b4fb87,S0_positioning_price_basis,L0_raw_forward_return,24,0,1,0,-0.0024895095819976,-0.0004956240758682666,3.3394334140794304,46917
core25e_S0_positioning_price_basis_0e91dd5544b500,S0_positioning_price_basis,L1_cross_sectional_relative_return,24,1,2,1,-0.0005048625029797,0.0011935678172713667,20.209214003669423,46924
core25e_S0_positioning_price_basis_1033b2773adfd7,S0_positioning_price_basis,L0_raw_forward_return,8,0,3,0,5.220356525117872e-05,0.0011984130857881595,4.556945615683134,46988
core25e_S0_positioning_price_basis_10f4bfd9c46a1a,S0_positioning_price_basis,L0_raw_forward_return,24,0,0,1,-0.002935128061806,-0.0019215595955014333,3.0202162908647665,46988
core25e_S0_positioning_price_basis_11abce46cc87ac,S0_positioning_price_basis,L0_raw_forward_return,8,1,2,1,-0.0003222894851604,0.001020588481235,17.296406940774585,46987
core25e_S0_positioning_price_basis_11cf2485175f17,S0_positioning_price_basis,L3_liquidity_tier_relative_return,24,0,2,0,-0.0002642942532036,0.0012570337210513,14.176809323297276,46924
core25e_S0_positioning_price_basis_120c9c4978407e,S0_positioning_price_basis,L0_raw_forward_return,24,0,0,0,-0.0051953016615669,-0.0020519650163265666,18.98678007345051,47000
core25e_S0_positioning_price_basis_138a7fe0fae8db,S0_positioning_price_basis,L0_raw_forward_return,8,1,2,1,-0.0022127185733544,0.0017588257596165332,1.722825438272022,47001
core25e_S0_positioning_price_basis_1572b807bf8d0c,S0_positioning_price_basis,L1_cross_sectional_relative_return,24,1,1,1,-0.0017176332875105,-0.0005233889647431334,15.487724459619692,46987
core25e_S0_positioning_price_basis_15ef99f2490cf1,S0_positioning_price_basis,L0_raw_forward_return,8,1,3,1,0.0009868157628473,0.0015794151229176665,1.5752220586888472,46924
core25e_S0_positioning_price_basis_1676250de911f4,S0_positioning_price_basis,L1_cross_sectional_relative_return,24,1,1,1,-0.0009674861797025,-0.00021953148542776666,106.150718943756,46917
core25e_S0_positioning_price_basis_19ee89b0b1e749,S0_positioning_price_basis,L1_cross_sectional_relative_return,24,0,1,1,-0.0026018078519852,-0.0011611412774071665,1.938018369126076,46986
core25e_S0_positioning_price_basis_1a36e00a52d233,S0_positioning_price_basis,L0_raw_forward_return,8,0,0,0,-0.0018958416774253,-0.0017155428449004333,2.863642804377452,47003
core25e_S0_positioning_price_basis_1a58942cd0b619,S0_positioning_price_basis,L0_raw_forward_return,8,0,2,0,-0.0019394714665672,-0.0002169243659891852,4.843960914630844,47063
core25e_S0_positioning_price_basis_1ad3c1f78c3aba,S0_positioning_price_basis,L3_liquidity_tier_relative_return,24,0,3,0,0.0005849124870896,0.0012102937641111668,2.0635078159068097,46987
core25e_S0_positioning_price_basis_1b59128d4f2d43,S0_positioning_price_basis,L0_raw_forward_return,8,0,1,1,-0.0028941859700545,-0.0013822440904312332,2.3792538870893227,46917
core25e_S0_positioning_price_basis_1c17ac2db9991f,S0_positioning_price_basis,L1_cross_sectional_relative_return,24,1,2,1,-0.0005982065747431,0.003925548385853899,17.432925840237765,47064
core25e_S0_positioning_price_basis_1df8e2b2ad0aa7,S0_positioning_price_basis,L3_liquidity_tier_relative_return,24,0,0,0,-0.0018186295408476,-0.0012933955870737333,15.081849970412764,47001
core25e_S0_positioning_price_basis_20759c6efa7dfa,S0_positioning_price_basis,L3_liquidity_tier_relative_return,24,0,0,0,-0.0025627933097082,-0.0023426514911396,2.3090757046996973,46988
core25e_S0_positioning_price_basis_258f9f694fd415,S0_positioning_price_basis,L3_liquidity_tier_relative_return,24,0,1,0,-0.0027687167823738,-0.0016664503804304,3.3834724518031742,46988
core25e_S0_positioning_price_basis_26a21410ee3a6b,S0_positioning_price_basis,L0_raw_forward_return,8,0,2,0,-0.0002639959771325,0.0009915949185597,5.590542899226293,47063
core25e_S0_positioning_price_basis_287dccc7c00486,S0_positioning_price_basis,L3_liquidity_tier_relative_return,24,2,2,2,-0.0012670872255457,0.00044832974344413326,2.022859855831159,47064
core25e_S0_positioning_price_basis_2b31e9b9f7ee41,S0_positioning_price_basis,L0_raw_forward_return,24,1,1,1,-0.0014031031764194,0.0009348527971742333,3.997860387703248,47063
core25e_S0_positioning_price_basis_2c35b6de0f905d,S0_positioning_price_basis,L0_raw_forward_return,24,1,1,1,-0.005437427726194,-0.0006636531001291333,88.35938700030869,46998
