shard,decision,label_family,count
00,A7FF10S00_NUMERIC_CLUE,L0_raw_forward_return,24
00,A7FF10S00_NUMERIC_CLUE,L1_cross_sectional_relative_return,25
00,A7FF10S00_NUMERIC_CLUE,L3_liquidity_tier_relative_return,20
00,A7FF10S00_NUMERIC_CLUE,L5_vol_adjusted_return,18
00,A7FF10S00_RANK_LABEL_DIAGNOSTIC_CLUE,L7_ranked_future_return,14
00,HOLD_A7FF10S00_CONTROL_DOMINATED,L0_raw_forward_return,86
00,HOLD_A7FF10S00_CONTROL_DOMINATED,L1_cross_sectional_relative_return,85
00,HOLD_A7FF10S00_CONTROL_DOMINATED,L3_liquidity_tier_relative_return,71
00,HOLD_A7FF10S00_CONTROL_DOMINATED,L5_vol_adjusted_return,87
00,HOLD_A7FF10S00_CONTROL_DOMINATED,L7_ranked_future_return,56
00,HOLD_A7FF10S00_COST2_PROXY_FRAGILE,L3_liquidity_tier_relative_return,3
00,HOLD_A7FF10S00_ONE_BAR_LAG_FRAGILE,L0_raw_forward_return,10
00,HOLD_A7FF10S00_ONE_BAR_LAG_FRAGILE,L1_cross_sectional_relative_return,10
00,HOLD_A7FF10S00_ONE_BAR_LAG_FRAGILE,L3_liquidity_tier_relative_return,10
00,HOLD_A7FF10S00_ONE_BAR_LAG_FRAGILE,L5_vol_adjusted_return,28
00,HOLD_A7FF10S00_ONE_BAR_LAG_FRAGILE,L7_ranked_future_return,50
00,HOLD_A7FF10S00_PRE_MAY_UNSTABLE,L0_raw_forward_return,264
00,HOLD_A7FF10S00_PRE_MAY_UNSTABLE,L1_cross_sectional_relative_return,264
00,HOLD_A7FF10S00_PRE_MAY_UNSTABLE,L3_liquidity_tier_relative_return,280
00,HOLD_A7FF10S00_PRE_MAY_UNSTABLE,L5_vol_adjusted_return,251
00,HOLD_A7FF10S00_PRE_MAY_UNSTABLE,L7_ranked_future_return,264
01,A7FF10S01_NUMERIC_CLUE,L0_raw_forward_return,26
01,A7FF10S01_NUMERIC_CLUE,L1_cross_sectional_relative_return,25
01,A7FF10S01_NUMERIC_CLUE,L3_liquidity_tier_relative_return,32
01,A7FF10S01_NUMERIC_CLUE,L5_vol_adjusted_return,29
01,A7FF10S01_RANK_LABEL_DIAGNOSTIC_CLUE,L7_ranked_future_return,23
01,HOLD_A7FF10S01_CONTROL_DOMINATED,L0_raw_forward_return,128
01,HOLD_A7FF10S01_CONTROL_DOMINATED,L1_cross_sectional_relative_return,128
01,HOLD_A7FF10S01_CONTROL_DOMINATED,L3_liquidity_tier_relative_return,113
01,HOLD_A7FF10S01_CONTROL_DOMINATED,L5_vol_adjusted_return,101
01,HOLD_A7FF10S01_CONTROL_DOMINATED,L7_ranked_future_return,117
01,HOLD_A7FF10S01_COST2_PROXY_FRAGILE,L0_raw_forward_return,3
01,HOLD_A7FF10S01_COST2_PROXY_FRAGILE,L1_cross_sectional_relative_return,4
01,HOLD_A7FF10S01_COST2_PROXY_FRAGILE,L3_liquidity_tier_relative_return,3
01,HOLD_A7FF10S01_ONE_BAR_LAG_FRAGILE,L0_raw_forward_return,7
01,HOLD_A7FF10S01_ONE_BAR_LAG_FRAGILE,L1_cross_sectional_relative_return,7
01,HOLD_A7FF10S01_ONE_BAR_LAG_FRAGILE,L3_liquidity_tier_relative_return,6
01,HOLD_A7FF10S01_ONE_BAR_LAG_FRAGILE,L5_vol_adjusted_return,25
01,HOLD_A7FF10S01_ONE_BAR_LAG_FRAGILE,L7_ranked_future_return,61
01,HOLD_A7FF10S01_PRE_MAY_UNSTABLE,L0_raw_forward_return,220
01,HOLD_A7FF10S01_PRE_MAY_UNSTABLE,L1_cross_sectional_relative_return,220
01,HOLD_A7FF10S01_PRE_MAY_UNSTABLE,L3_liquidity_tier_relative_return,230
01,HOLD_A7FF10S01_PRE_MAY_UNSTABLE,L5_vol_adjusted_return,229
01,HOLD_A7FF10S01_PRE_MAY_UNSTABLE,L7_ranked_future_return,183
02,A7FF10S02_NUMERIC_CLUE,L0_raw_forward_return,3
02,A7FF10S02_NUMERIC_CLUE,L1_cross_sectional_relative_return,6
02,A7FF10S02_NUMERIC_CLUE,L3_liquidity_tier_relative_return,5
02,A7FF10S02_NUMERIC_CLUE,L5_vol_adjusted_return,5
02,A7FF10S02_RANK_LABEL_DIAGNOSTIC_CLUE,L7_ranked_future_return,3
02,HOLD_A7FF10S02_CONTROL_DOMINATED,L0_raw_forward_return,48
02,HOLD_A7FF10S02_CONTROL_DOMINATED,L1_cross_sectional_relative_return,44
02,HOLD_A7FF10S02_CONTROL_DOMINATED,L3_liquidity_tier_relative_return,42
02,HOLD_A7FF10S02_CONTROL_DOMINATED,L5_vol_adjusted_return,50
02,HOLD_A7FF10S02_CONTROL_DOMINATED,L7_ranked_future_return,42
02,HOLD_A7FF10S02_NONOVERLAP_WEAK,L5_vol_adjusted_return,1
02,HOLD_A7FF10S02_ONE_BAR_LAG_FRAGILE,L0_raw_forward_return,2
02,HOLD_A7FF10S02_ONE_BAR_LAG_FRAGILE,L1_cross_sectional_relative_return,3
02,HOLD_A7FF10S02_ONE_BAR_LAG_FRAGILE,L3_liquidity_tier_relative_return,3
02,HOLD_A7FF10S02_ONE_BAR_LAG_FRAGILE,L5_vol_adjusted_return,5
02,HOLD_A7FF10S02_ONE_BAR_LAG_FRAGILE,L7_ranked_future_return,17
02,HOLD_A7FF10S02_PRE_MAY_UNSTABLE,L0_raw_forward_return,331
02,HOLD_A7FF10S02_PRE_MAY_UNSTABLE,L1_cross_sectional_relative_return,331
02,HOLD_A7FF10S02_PRE_MAY_UNSTABLE,L3_liquidity_tier_relative_return,334
02,HOLD_A7FF10S02_PRE_MAY_UNSTABLE,L5_vol_adjusted_return,323
02,HOLD_A7FF10S02_PRE_MAY_UNSTABLE,L7_ranked_future_return,322
03,A7FF10S03_NUMERIC_CLUE,L0_raw_forward_return,4
03,A7FF10S03_NUMERIC_CLUE,L1_cross_sectional_relative_return,4
03,A7FF10S03_NUMERIC_CLUE,L3_liquidity_tier_relative_return,4
03,A7FF10S03_NUMERIC_CLUE,L5_vol_adjusted_return,7
03,A7FF10S03_RANK_LABEL_DIAGNOSTIC_CLUE,L7_ranked_future_return,26
03,HOLD_A7FF10S03_CONTROL_DOMINATED,L0_raw_forward_return,74
03,HOLD_A7FF10S03_CONTROL_DOMINATED,L1_cross_sectional_relative_return,74
03,HOLD_A7FF10S03_CONTROL_DOMINATED,L3_liquidity_tier_relative_return,78
03,HOLD_A7FF10S03_CONTROL_DOMINATED,L5_vol_adjusted_return,72
03,HOLD_A7FF10S03_CONTROL_DOMINATED,L7_ranked_future_return,198
03,HOLD_A7FF10S03_COST2_PROXY_FRAGILE,L0_raw_forward_return,1
03,HOLD_A7FF10S03_COST2_PROXY_FRAGILE,L1_cross_sectional_relative_return,1
03,HOLD_A7FF10S03_COST2_PROXY_FRAGILE,L3_liquidity_tier_relative_return,1
03,HOLD_A7FF10S03_ONE_BAR_LAG_FRAGILE,L0_raw_forward_return,3
03,HOLD_A7FF10S03_ONE_BAR_LAG_FRAGILE,L1_cross_sectional_relative_return,3
03,HOLD_A7FF10S03_ONE_BAR_LAG_FRAGILE,L3_liquidity_tier_relative_return,4
03,HOLD_A7FF10S03_ONE_BAR_LAG_FRAGILE,L5_vol_adjusted_return,7
03,HOLD_A7FF10S03_ONE_BAR_LAG_FRAGILE,L7_ranked_future_return,15
03,HOLD_A7FF10S03_PRE_MAY_UNSTABLE,L0_raw_forward_return,302
03,HOLD_A7FF10S03_PRE_MAY_UNSTABLE,L1_cross_sectional_relative_return,302
03,HOLD_A7FF10S03_PRE_MAY_UNSTABLE,L3_liquidity_tier_relative_return,297
03,HOLD_A7FF10S03_PRE_MAY_UNSTABLE,L5_vol_adjusted_return,298
03,HOLD_A7FF10S03_PRE_MAY_UNSTABLE,L7_ranked_future_return,145
