symbol,tier,score,metrics_2024_01,metrics_2025_01,metrics_2026_01,binance_klines,binance_premium,okx_oi,okx_orderbook,bybit_ticker,bybit_orderbook,ready_source_checks,non_ok_source_checks
ALGOUSDT,core48_candidate,11,ok,ok,ok,ok,ok,ok,ok,ok,ok,9,0
CELOUSDT,core48_candidate,11,ok,ok,ok,ok,ok,ok,ok,ok,ok,9,0
ACHUSDT,core48_candidate,10,ok,ok,ok,ok,hold_418,ok,ok,ok,ok,8,1
APEUSDT,core48_candidate,10,ok,ok,ok,ok,hold_418,ok,ok,ok,ok,8,1
ARUSDT,core48_candidate,10,ok,ok,ok,ok,hold_418,ok,ok,ok,ok,8,1
ATOMUSDT,core48_candidate,10,ok,ok,ok,ok,hold_418,ok,ok,ok,ok,8,1
CHZUSDT,core48_candidate,10,ok,ok,ok,ok,hold_418,ok,ok,ok,ok,8,1
DASHUSDT,core48_candidate,10,ok,ok,ok,ok,hold_418,ok,ok,ok,ok,8,1
GMXUSDT,core48_candidate,10,ok,ok,ok,ok,hold_418,ok,ok,ok,ok,8,1
LRCUSDT,core48_candidate,10,ok,ok,ok,ok,hold_418,ok,ok,ok,ok,8,1
MAGICUSDT,core48_candidate,10,ok,ok,ok,ok,hold_418,ok,ok,ok,ok,8,1
MASKUSDT,core48_candidate,10,ok,ok,ok,ok,hold_418,ok,ok,ok,ok,8,1
NEARUSDT,core48_candidate,10,ok,ok,ok,ok,hold_418,ok,ok,ok,ok,8,1
SEIUSDT,core48_candidate,10,ok,ok,ok,ok,hold_418,ok,ok,ok,ok,8,1
UNIUSDT,core48_candidate,10,ok,ok,ok,ok,hold_418,ok,ok,ok,ok,8,1
YFIUSDT,core48_candidate,10,ok,ok,ok,ok,hold_418,ok,ok,ok,ok,8,1
ZECUSDT,core48_candidate,10,ok,ok,ok,ok,hold_418,ok,ok,ok,ok,8,1
BLURUSDT,midcap_candidate,9,ok,ok,ok,hold_418,ok,ok,ok,ok,ok,8,1
BOMEUSDT,midcap_candidate,9,hold_404,ok,ok,ok,ok,ok,ok,ok,ok,8,1
ETCUSDT,midcap_candidate,9,ok,ok,ok,hold_418,ok,ok,ok,ok,ok,8,1
HBARUSDT,midcap_candidate,9,ok,ok,ok,hold_418,ok,ok,ok,ok,ok,8,1
KNCUSDT,midcap_candidate,9,ok,ok,ok,ok,ok,hold_200,hold_200,ok,ok,7,2
MANAUSDT,midcap_candidate,9,ok,ok,ok,hold_418,ok,ok,ok,ok,ok,8,1
PENDLEUSDT,midcap_candidate,9,ok,ok,ok,hold_418,ok,ok,ok,ok,ok,8,1
WLDUSDT,midcap_candidate,9,ok,ok,ok,hold_418,ok,ok,ok,ok,ok,8,1
1000BONKUSDT,midcap_candidate,8,ok,ok,ok,hold_418,hold_418,ok,ok,ok,ok,7,2
1000FLOKIUSDT,midcap_candidate,8,ok,ok,ok,hold_418,hold_418,ok,ok,ok,ok,7,2
1INCHUSDT,midcap_candidate,8,ok,ok,ok,hold_418,hold_418,ok,ok,ok,ok,7,2
AAVEUSDT,midcap_candidate,8,ok,ok,ok,hold_418,hold_418,ok,ok,ok,ok,7,2
ACEUSDT,midcap_candidate,8,ok,ok,ok,ok,hold_418,hold_200,hold_200,ok,ok,6,3
API3USDT,midcap_candidate,8,ok,ok,ok,hold_418,hold_418,ok,ok,ok,ok,7,2
APTUSDT,midcap_candidate,8,ok,ok,ok,hold_418,hold_418,ok,ok,ok,ok,7,2
ARBUSDT,midcap_candidate,8,ok,ok,ok,hold_418,hold_418,ok,ok,ok,ok,7,2
AXSUSDT,midcap_candidate,8,ok,ok,ok,hold_418,hold_418,ok,ok,ok,ok,7,2
BANDUSDT,midcap_candidate,8,ok,ok,ok,hold_418,hold_418,ok,ok,ok,ok,7,2
BATUSDT,midcap_candidate,8,ok,ok,ok,hold_418,hold_418,ok,ok,ok,ok,7,2
