shard,rows
s039,30
s016,29
s001,23
s027,19
s002,19
s019,17
s003,16
s013,16
s033,15
s023,13
s020,13
s038,11
s024,11
s028,10
s029,10
s004,8
s037,8
s009,7
s010,7
s032,7
s031,7
s034,6
s025,6
s014,5
s026,5
s022,4
s012,4
s021,3
s011,2
s018,2
s030,2
s015,1
s017,1
s008,1
s006,1
