shard,manifest_path,decision,blockers,missing_numeric_fields,input_blueprint_count,hours_per_split,materialized_activity_ok_count,label_response_rows,non_l7_numeric_clue_rows,rank_label_diagnostic_clue_rows,portfolio_queue_count,selected_portfolio_queue_count,generated_at
s000,G:\AlphaFactory_CryptoData\research_runtime\a7ls10_company_numeric\shard_000\a7ls10_s000_manifest.json,HOLD_A7LS10S000_NO_NON_L7_NUMERIC_CLUES,no_non_l7_numeric_clues,,64,2160,61,1220,0,3,2,2,2026-06-05T15:02:01Z
s001,G:\AlphaFactory_CryptoData\research_runtime\a7ls10_company_numeric\shard_001\a7ls10_s001_manifest.json,PASS_A7LS10S001_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,,64,2160,61,1220,23,19,7,6,2026-06-05T15:13:33Z
s002,G:\AlphaFactory_CryptoData\research_runtime\a7ls10_company_numeric\shard_002\a7ls10_s002_manifest.json,PASS_A7LS10S002_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,,64,2160,60,1200,19,26,10,8,2026-06-05T15:24:55Z
s003,G:\AlphaFactory_CryptoData\research_runtime\a7ls10_company_numeric\shard_003\a7ls10_s003_manifest.json,PASS_A7LS10S003_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,,64,2160,61,1220,16,17,8,6,2026-06-05T15:36:19Z
s004,G:\AlphaFactory_CryptoData\research_runtime\a7ls10_company_numeric\shard_004\a7ls10_s004_manifest.json,PASS_A7LS10S004_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,,64,2160,62,1240,8,11,4,4,2026-06-05T15:48:03Z
s005,G:\AlphaFactory_CryptoData\research_runtime\a7ls10_company_numeric\shard_005\a7ls10_s005_manifest.json,HOLD_A7LS10S005_NO_NON_L7_NUMERIC_CLUES,no_non_l7_numeric_clues,,64,2160,64,1280,0,39,18,14,2026-06-05T16:00:11Z
s006,G:\AlphaFactory_CryptoData\research_runtime\a7ls10_company_numeric\shard_006\a7ls10_s006_manifest.json,PASS_A7LS10S006_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,,64,2160,64,1280,1,26,15,11,2026-06-05T16:12:10Z
s007,G:\AlphaFactory_CryptoData\research_runtime\a7ls10_company_numeric\shard_007\a7ls10_s007_manifest.json,HOLD_A7LS10S007_NO_NON_L7_NUMERIC_CLUES,no_non_l7_numeric_clues,,64,2160,64,1280,0,25,9,6,2026-06-05T16:22:18Z
s008,G:\AlphaFactory_CryptoData\research_runtime\a7ls10_company_numeric\shard_008\a7ls10_s008_manifest.json,PASS_A7LS10S008_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,,64,2160,63,1260,1,28,9,7,2026-06-05T16:32:26Z
s009,G:\AlphaFactory_CryptoData\research_runtime\a7ls10_company_numeric\shard_009\a7ls10_s009_manifest.json,PASS_A7LS10S009_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,,64,2160,64,1280,7,38,16,14,2026-06-05T16:43:15Z
s010,G:\AlphaFactory_CryptoData\research_runtime\a7ls10_company_numeric\shard_010\a7ls10_s010_manifest.json,PASS_A7LS10S010_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,,64,2160,64,1280,7,14,9,9,2026-06-05T16:54:07Z
s011,G:\AlphaFactory_CryptoData\research_runtime\a7ls10_company_numeric\shard_011\a7ls10_s011_manifest.json,PASS_A7LS10S011_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,,64,2160,64,1280,2,29,11,10,2026-06-05T17:05:17Z
s012,G:\AlphaFactory_CryptoData\research_runtime\a7ls10_company_numeric\shard_012\a7ls10_s012_manifest.json,PASS_A7LS10S012_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,,64,2160,64,1280,4,34,12,11,2026-06-05T17:16:44Z
