next_wave_family,blocker_family,rows
raw_multi_axis_probe,pre_may_unstable,6932
listing_state_interaction,pre_may_unstable,5776
positioning_context_interaction,pre_may_unstable,5150
basis_context_interaction,pre_may_unstable,4249
vol_liquidity_interaction,pre_may_unstable,3126
raw_multi_axis_probe,control_dominated,2936
positioning_context_interaction,control_dominated,2408
listing_lifecycle_deep,pre_may_unstable,1978
vol_liquidity_interaction,control_dominated,1711
vol_liquidity_deep,control_dominated,1704
positioning_flow_recovery,pre_may_unstable,1684
basis_context_interaction,control_dominated,1677
listing_state_interaction,control_dominated,1675
basis_crowding_deep,pre_may_unstable,1505
vol_liquidity_deep,pre_may_unstable,1357
basis_crowding_deep,control_dominated,908
positioning_flow_recovery,control_dominated,578
raw_multi_axis_probe,rank_label_diagnostic_clue,251
listing_lifecycle_deep,control_dominated,236
basis_crowding_deep,lag_fragile,215
vol_liquidity_deep,rank_label_diagnostic_clue,211
vol_liquidity_interaction,rank_label_diagnostic_clue,201
listing_state_interaction,rank_label_diagnostic_clue,179
raw_multi_axis_probe,numeric_clue,80
basis_context_interaction,rank_label_diagnostic_clue,76
basis_crowding_deep,rank_label_diagnostic_clue,69
vol_liquidity_interaction,numeric_clue,66
basis_context_interaction,numeric_clue,66
positioning_context_interaction,numeric_clue,64
listing_lifecycle_deep,rank_label_diagnostic_clue,45
positioning_context_interaction,rank_label_diagnostic_clue,44
listing_state_interaction,numeric_clue,40
raw_multi_axis_probe,lag_fragile,38
vol_liquidity_deep,numeric_clue,18
vol_liquidity_interaction,cost_fragile,16
basis_context_interaction,lag_fragile,16
basis_context_interaction,cost_fragile,16
positioning_flow_recovery,rank_label_diagnostic_clue,14
positioning_context_interaction,cost_fragile,14
vol_liquidity_deep,cost_fragile,10
listing_state_interaction,cost_fragile,10
raw_multi_axis_probe,cost_fragile,3
positioning_flow_recovery,numeric_clue,3
basis_crowding_deep,cost_fragile,2
basis_crowding_deep,numeric_clue,1
listing_lifecycle_deep,numeric_clue,1
positioning_flow_recovery,cost_fragile,1
