semantic_pair,label_family,rows
basis_premium_like|age_x_volatility,L0_raw_forward_return,22
basis_premium_like|age_x_volatility,L1_cross_sectional_relative_return,19
listing_age_like|regime_state,L0_raw_forward_return,17
volatility_like|volume_volatility_ratio_168h,L0_raw_forward_return,17
listing_age_like|regime_state,L1_cross_sectional_relative_return,17
basis_premium_like|age_x_volatility,L3_liquidity_tier_relative_return,16
volatility_like|volume_volatility_ratio_168h,L1_cross_sectional_relative_return,16
basis_premium|positioning_flow,L1_cross_sectional_relative_return,15
basis_premium|positioning_flow,L0_raw_forward_return,14
volatility_like,L1_cross_sectional_relative_return,10
open_interest_like|liquidity_rank_active_universe,L1_cross_sectional_relative_return,10
open_interest_like|age_x_liquidity,L3_liquidity_tier_relative_return,9
open_interest_like|liquidity_rank_active_universe,L3_liquidity_tier_relative_return,9
basis_premium|basis_premium,L0_raw_forward_return,8
open_interest_like|age_x_liquidity,L5_vol_adjusted_return,8
listing_lifecycle|basis_premium,L1_cross_sectional_relative_return,8
volatility_like,L0_raw_forward_return,8
basis_premium|positioning_flow,L3_liquidity_tier_relative_return,8
basis_premium|basis_premium,L1_cross_sectional_relative_return,8
listing_lifecycle|basis_premium,L0_raw_forward_return,7
open_interest_like|age_x_liquidity,L0_raw_forward_return,7
open_interest_like|age_x_liquidity,L1_cross_sectional_relative_return,7
volatility_like|liquidity_rank_active_universe,L3_liquidity_tier_relative_return,6
volatility_like|trade_volume,L1_cross_sectional_relative_return,6
open_interest_like|liquidity_rank_active_universe,L5_vol_adjusted_return,6
volatility_like|liquidity_rank_active_universe,L0_raw_forward_return,6
volatility_like|liquidity_rank_active_universe,L1_cross_sectional_relative_return,5
basis_premium_like|open_interest_value_last,L0_raw_forward_return,5
volatility_like|trade_volume,L0_raw_forward_return,5
open_interest_like|liquidity_rank_active_universe,L0_raw_forward_return,5
listing_age_like|regime_state,L3_liquidity_tier_relative_return,5
listing_lifecycle|basis_premium,L3_liquidity_tier_relative_return,4
volatility_like|volume_volatility_ratio_168h,L3_liquidity_tier_relative_return,4
open_interest_like|positioning_like,L3_liquidity_tier_relative_return,3
basis_premium_like|open_interest_value_last,L1_cross_sectional_relative_return,3
basis_premium|basis_premium,L3_liquidity_tier_relative_return,3
basis_premium|basis_premium,L5_vol_adjusted_return,2
open_interest_like|basis_abs_168h,L1_cross_sectional_relative_return,2
listing_lifecycle|basis_premium,L5_vol_adjusted_return,2
basis_premium_like|age_x_volatility,L5_vol_adjusted_return,1
basis_premium_like,L5_vol_adjusted_return,1
listing_age_like|regime_state,L5_vol_adjusted_return,1
open_interest_like|basis_abs_168h,L0_raw_forward_return,1
listing_age_like,L3_liquidity_tier_relative_return,1
basis_premium|positioning_flow,L5_vol_adjusted_return,1
volatility_like|trade_volume,L3_liquidity_tier_relative_return,1
