blueprint_id,expression,semantic_pair,motif,label_family,label_horizon_h,orientation_from_train,premay_positive_split_count,premay_all_positive,control_ratio_premay_max,one_bar_lag_recent_oriented,lag_ok,robust_median_tstat_floor,robust_min_tstat_floor,robust_ok,cost2_recent_oriented,cost5_recent_oriented,cost10_recent_oriented,avg_n_obs_recent,decision,train_2024_n,train_2024_mean_spread,train_2024_tstat,train_2024_nonoverlap_median_tstat,train_2024_nonoverlap_min_tstat,train_2024_positive_rate,validation_2025H1_n,validation_2025H1_mean_spread,validation_2025H1_tstat,validation_2025H1_nonoverlap_median_tstat,validation_2025H1_nonoverlap_min_tstat,validation_2025H1_positive_rate,test_2025H2_n,test_2025H2_mean_spread,test_2025H2_tstat,test_2025H2_nonoverlap_median_tstat,test_2025H2_nonoverlap_min_tstat,test_2025H2_positive_rate,recent_oos_2026JanApr_n,recent_oos_2026JanApr_mean_spread,recent_oos_2026JanApr_tstat,recent_oos_2026JanApr_nonoverlap_median_tstat,recent_oos_2026JanApr_nonoverlap_min_tstat,recent_oos_2026JanApr_positive_rate,source_file,shard,next_wave_family,a7ls_arm,source_seed_id,source_info_axis,source_stability_tier,source_info_axis_score,skeleton_key,production_key,company_numeric_shard,blocker_family,deep_followup_score
a7ls9_e73ed4dc26d8b1fa,"Mul(ZScore(Mean(premium_close_bps,72)),Sign(ZScore(Mean(basis_abs_168h,72))))",basis_premium|basis_premium,raw_gate,L1_cross_sectional_relative_return,24,1.0,3,True,0.5778463300496812,0.0044391743478691,True,0.9338585546406748,0.331607564641247,True,0.0042811615629817,0.0036811615629817,0.0026811615629817,94.93333333333334,A7LS10S024_NUMERIC_CLUE,2113,0.0002769107606307,0.5715926319240585,0.0859070567838829,-0.4843112941857461,0.4685281590156176,2136,0.0018994636891221,4.552533350689428,0.9338585546406748,0.331607564641247,0.5126404494382022,2136,0.0074093561189968,14.632049254138678,3.0398316392717444,2.0174522955207017,0.6189138576779026,2136,0.0046811615629817,7.042355570335135,1.4708605168236255,0.9082871817879714,0.5856741573033708,G:\AlphaFactory_CryptoData\research_runtime\a7ls10_company_numeric\shard_024\a7ls10_s024_label_response_metrics.csv,s024,raw_multi_axis_probe,A7LS9_R,a7ls9_reserved_raw,raw_multi_axis,RESERVE,0.0,skel_400b87127c6c2138,prod_51b1c464caeda257,a7ls10_s024,numeric_clue,49.66731047052392
a7ls9_1920f31cd91f269e,"Mul(Delta(realized_vol_168h,336),ZScore(Mean(liquidity_rank_active_universe,336)))",volatility_like|liquidity_rank_active_universe,typed_interaction,L3_liquidity_tier_relative_return,4,1.0,3,True,0.5355580075716084,0.0009526435894711,True,0.8927956572170668,0.6084450650791483,True,0.0006358829827448,3.588298274481401e-05,-0.0009641170172551,95.82222222222222,A7LS10S033_NUMERIC_CLUE,1820,0.000313916049677,1.511444588200424,0.7591793870407826,0.5597628994812981,0.5203296703296704,2156,0.0002423105628697,1.6912266961682334,0.8927956572170668,0.6084450650791483,0.5217996289424861,2156,0.0009276717936479,4.594740359950298,2.262679798475455,2.157253328913396,0.5394248608534323,2156,0.0010358829827448,4.825777977748719,2.394263678628486,2.3520355608313928,0.5435992578849722,G:\AlphaFactory_CryptoData\research_runtime\a7ls10_company_numeric\shard_033\a7ls10_s033_label_response_metrics.csv,s033,vol_liquidity_interaction,A7LS9_B,a7ls8_c72b33b209156410,vol_liquidity_x_basis,S0_strong_tradeable_probe,237.6255535887337,skel_80f4102c9447249d,prod_d42183609b7bc5f4,a7ls10_s033,numeric_clue,48.0052878973894
a7ls9_a5baef25254e750a,"Mul(ZScore(Mean(basis_abs_168h,24)),ZScore(Mean(premium_abs_168h,24)))",basis_premium|basis_premium,raw_typed_mul,L0_raw_forward_return,8,-1.0,3,True,0.55736199056123,0.0017010357664996,True,1.4326797690935245,1.5189759393956952,True,0.0012793708254179,0.0006793708254179,-0.000320629174582,95.64444444444445,A7LS10S023_NUMERIC_CLUE,2129,-0.0001012830082929,-0.4002156850212325,-0.1611279393661757,-0.2664778569991521,0.4950681070925317,2152,-0.0011023595851478,-4.462215183263771,-1.5778884324617062,-1.7910089146609764,0.4716542750929368,2152,-0.0013662284140528,-3.962917173370025,-1.4326797690935245,-1.5189759393956952,0.4609665427509293,2152,-0.0016793708254179,-5.641969003472096,-1.991398211395191,-2.1488776509188963,0.4191449814126394,G:\AlphaFactory_CryptoData\research_runtime\a7ls10_company_numeric\shard_023\a7ls10_s023_label_response_metrics.csv,s023,raw_multi_axis_probe,A7LS9_R,a7ls9_reserved_raw,raw_multi_axis,RESERVE,0.0,skel_8cb0abec7e5d45e7,prod_85dd1a672ca1c4d5,a7ls10_s023,numeric_clue,47.48381264977229
a7ls9_4525cb3eb4395f66,"Mul(Abs(ZScore(Mean(basis_abs_168h,24))),ZScore(Mean(taker_buy_sell_volume_ratio_last,24)))",basis_premium|positioning_flow,raw_abs_state,L3_liquidity_tier_relative_return,24,1.0,3,True,0.6011284309494203,0.0042079395799845,True,1.3992797673556734,0.8004545117249385,True,0.0040000448483266,0.0034000448483266,0.0024000448483266,94.93333333333334,A7LS10S025_NUMERIC_CLUE,2113,0.0005452367623636,1.4151595011057974,0.4133617151647266,-1.3552252275231669,0.518220539517274,2136,0.0026184191359835,6.730667508790961,1.3992797673556734,0.8004545117249385,0.5580524344569289,2136,0.0045274195657026,10.755682959119698,2.303695601325256,0.9861754805297268,0.5786516853932584,2136,0.0044000448483266,8.63757502957846,1.8168400392579485,1.1163093927845904,0.6015917602996255,G:\AlphaFactory_CryptoData\research_runtime\a7ls10_company_numeric\shard_025\a7ls10_s025_label_response_metrics.csv,s025,raw_multi_axis_probe,A7LS9_R,a7ls9_reserved_raw,raw_multi_axis,RESERVE,0.0,skel_236de345d469127b,prod_b9ea561068bbd504,a7ls10_s025,numeric_clue,47.29559584509401
a7ls9_d7a773685af27a8b,"Mul(Abs(ZScore(Mean(premium_abs_168h,72))),ZScore(Mean(taker_buy_sell_volume_ratio_last,72)))",basis_premium|positioning_flow,raw_abs_state,L1_cross_sectional_relative_return,8,1.0,3,True,0.5432727732696983,0.0011197658604291,True,0.8894811650623283,0.4984639901268677,True,0.0007403657241136,0.0001403657241136,-0.0008596342758863,95.64444444444445,A7LS10S027_NUMERIC_CLUE,2129,0.0001983900140019,0.7889167606635709,0.3284844181812011,0.0403580334684289,0.5091592296852983,2152,0.0005849530711928,2.6729465019697938,0.8894811650623283,0.4984639901268677,0.520910780669145,2152,0.0010936859236251,3.90585169879797,1.4054742582025694,1.0617079180890168,0.5385687732342007,2152,0.0011403657241136,3.51722580752942,1.2160384269646392,1.1127915121921934,0.5343866171003717,G:\AlphaFactory_CryptoData\research_runtime\a7ls10_company_numeric\shard_027\a7ls10_s027_label_response_metrics.csv,s027,raw_multi_axis_probe,A7LS9_R,a7ls9_reserved_raw,raw_multi_axis,RESERVE,0.0,skel_ef7cc2ad85d60bf9,prod_bf1926105090e0f0,a7ls10_s027,numeric_clue,47.290952523586135
a7ls9_1d98ff9117e75a6f,"Mul(Abs(ZScore(Mean(trade_return_24h,504))),ZScore(Mean(volume_volatility_ratio_168h,504)))",volatility_like|volume_volatility_ratio_168h,abs_state_interaction,L0_raw_forward_return,24,1.0,3,True,0.6302438314235251,0.0055702135645539,True,1.1934691919077076,0.897135004565627,True,0.0052666250735787,0.0046666250735787,0.0036666250735787,94.93333333333334,A7LS10S039_NUMERIC_CLUE,2113,0.005364783167485,8.704884111975757,1.770454410057514,1.4636674444682891,0.6138192143871273,2136,0.0050457637568621,9.336606702508016,1.9084179000298545,1.6576017192013348,0.5510299625468165,2136,0.0042188049538702,5.774073898913566,1.1934691919077076,0.897135004565627,0.5931647940074907,2136,0.0056666250735787,9.51318336881503,1.8292451127378395,1.5864438035070083,0.5978464419475655,G:\AlphaFactory_CryptoData\research_runtime\a7ls10_company_numeric\shard_039\a7ls10_s039_label_response_metrics.csv,s039,vol_liquidity_interaction,A7LS9_B,a7ls8_c72b33b209156410,vol_liquidity_x_basis,S0_strong_tradeable_probe,237.6255535887337,skel_0b7da1bf94010641,prod_e3e6c03018bf0a66,a7ls10_s039,numeric_clue,47.10959050034572
a7ls9_1d98ff9117e75a6f,"Mul(Abs(ZScore(Mean(trade_return_24h,504))),ZScore(Mean(volume_volatility_ratio_168h,504)))",volatility_like|volume_volatility_ratio_168h,abs_state_interaction,L1_cross_sectional_relative_return,24,1.0,3,True,0.6302438314235251,0.0055702135645539,True,1.1934691919077074,0.8971350045656272,True,0.0052666250735787,0.0046666250735787,0.0036666250735787,94.93333333333334,A7LS10S039_NUMERIC_CLUE,2113,0.005364783167485,8.704884111975757,1.770454410057514,1.4636674444682898,0.6138192143871273,2136,0.0050457637568621,9.336606702508016,1.908417900029854,1.6576017192013353,0.5510299625468165,2136,0.0042188049538702,5.774073898913566,1.1934691919077074,0.8971350045656272,0.5931647940074907,2136,0.0056666250735787,9.51318336881503,1.8292451127378395,1.586443803507008,0.5978464419475655,G:\AlphaFactory_CryptoData\research_runtime\a7ls10_company_numeric\shard_039\a7ls10_s039_label_response_metrics.csv,s039,vol_liquidity_interaction,A7LS9_B,a7ls8_c72b33b209156410,vol_liquidity_x_basis,S0_strong_tradeable_probe,237.6255535887337,skel_0b7da1bf94010641,prod_e3e6c03018bf0a66,a7ls10_s039,numeric_clue,47.10959050034572
a7ls9_db1bf403691c180d,"Mul(Delta(realized_vol_72h,168),ZScore(Mean(liquidity_rank_active_universe,168)))",volatility_like|liquidity_rank_active_universe,typed_interaction,L3_liquidity_tier_relative_return,24,1.0,3,True,0.626577446252045,0.0055165319071513,True,0.9207214568589605,0.2634012223024823,True,0.0053752236286308,0.0047752236286308,0.0037752236286308,94.93333333333334,A7LS10S034_NUMERIC_CLUE,1968,0.0027182557675048,6.089090090465732,1.198916025358812,0.2860683367525713,0.5538617886178862,2136,0.0017700480495342,5.356687294377851,1.0726141786961003,0.3270105682873405,0.5323033707865169,2136,0.0024613821930587,4.947784919091363,0.9207214568589605,0.2634012223024823,0.5435393258426966,2136,0.0057752236286308,12.1306482982607,2.4864229762121024,1.3654740227490043,0.6128277153558053,G:\AlphaFactory_CryptoData\research_runtime\a7ls10_company_numeric\shard_034\a7ls10_s034_label_response_metrics.csv,s034,vol_liquidity_interaction,A7LS9_B,a7ls8_c72b33b209156410,vol_liquidity_x_basis,S0_strong_tradeable_probe,237.6255535887337,skel_3ff54a6654b242d3,prod_8b056bc12360ccd4,a7ls10_s034,numeric_clue,46.89741213288008
a7ls9_a5baef25254e750a,"Mul(ZScore(Mean(basis_abs_168h,24)),ZScore(Mean(premium_abs_168h,24)))",basis_premium|basis_premium,raw_typed_mul,L1_cross_sectional_relative_return,4,-1.0,3,True,0.5604068357194787,0.0008810170341803,True,1.4280025431763146,1.5737998658390666,True,0.0004543391235991,-0.0001456608764008,-0.0011456608764008,95.82222222222222,A7LS10S023_NUMERIC_CLUE,2133,-6.349233996676663e-05,-0.3395579300594013,-0.159619357597624,-0.2387874895391698,0.4950773558368495,2156,-0.0005275201521287,-3.0698053470724123,-1.5280776303934365,-1.5782920038303636,0.4744897959183674,2156,-0.0007373534811612,-2.86489382753996,-1.4280025431763146,-1.5737998658390666,0.475417439703154,2156,-0.0008543391235991,-3.993282299645727,-2.007688868047683,-2.0578392241166936,0.4457328385899815,G:\AlphaFactory_CryptoData\research_runtime\a7ls10_company_numeric\shard_023\a7ls10_s023_label_response_metrics.csv,s023,raw_multi_axis_probe,A7LS9_R,a7ls9_reserved_raw,raw_multi_axis,RESERVE,0.0,skel_8cb0abec7e5d45e7,prod_85dd1a672ca1c4d5,a7ls10_s023,numeric_clue,46.4141333280715
a7ls9_7e1209b2b795ae5d,"Mul(Abs(ZScore(Mean(premium_abs_168h,24))),Sign(ZScore(Mean(age_x_volatility,24))))",basis_premium_like|age_x_volatility,basis_abs_gate,L0_raw_forward_return,8,-1.0,3,True,0.5683671876809772,0.0016560160886366,True,0.8120842608216168,0.946120010424255,True,0.0012927185093322,0.0006927185093322,-0.0003072814906677,95.64444444444445,A7LS10S002_NUMERIC_CLUE,2129,-0.0002565923615996,-0.9383028322610972,-0.3612181718434382,-0.8015545115096757,0.4828558008454673,2152,-0.0010275687606633,-4.304424106806284,-1.4996763993150055,-1.7518421488020974,0.441449814126394,2152,-0.0006157810871398,-2.2348506749928863,-0.8120842608216168,-0.946120010424255,0.4776951672862453,2152,-0.0016927185093322,-5.349661756220556,-1.849142383514444,-2.403099148634274,0.4433085501858736,G:\AlphaFactory_CryptoData\research_runtime\a7ls10_company_numeric\shard_002\a7ls10_s002_label_response_metrics.csv,s002,basis_context_interaction,A7LS9_F,a7ls8_c72b33b209156410,vol_liquidity_x_basis,S0_strong_tradeable_probe,237.6255535887337,skel_6ef80d25d0bfaa17,prod_e1816dff88e0b7a2,a7ls10_s002,numeric_clue,45.76541733096313
