blueprint_id,level,candidate_role,generation_priority,semantic_pair,motif,primary_field,secondary_field,primary_semantic,secondary_semantic,primary_route,secondary_route,primary_transform,secondary_transform,modifier_guard_required,skeleton_key,production_key,in_materialization_queue,in_company_numeric_wave_queue,company_shard,expression,input_fields,input_field_count,input_tags,input_clusters,input_semantic_types,input_routes,missing_registry_fields,has_missing_registry_field,has_signal_tag,has_condition_tag,has_rescue_tag,has_hard_block_tag,level_priority,in_company_numeric_wave_queue_bool,in_materialization_queue_bool,mode,mode_decision,mode_reason,generation_priority_rank
a7ff24r_09b35fe95cd05cef,L1_single_field_transform,ordinary_alpha_valid,P0,basis_premium_like,single,mark_index_basis_bps,,basis_premium_like,,primary_signal_seed,,level,,False,skel_ca36cd3eaf5a3a94,prod_9565c946a2809299,True,True,shard_00,mark_index_basis_bps,mark_index_basis_bps,1,A7INPUT_APPROVED_SIGNAL_PRIMARY,ic_013,basis_premium_like,ordinary_alpha_signal,,False,True,False,False,False,0,True,True,ordinary_alpha,accept,ordinary_alpha_route,0
a7ff24r_1313bae0f47d683a,L1_single_field_transform,ordinary_alpha_valid,P0,basis_premium_like,single,mark_index_basis_bps,,basis_premium_like,,primary_signal_seed,,mean_168h,,False,skel_1d39996e97d5ace0,prod_730be53f74caec91,True,True,shard_00,"Mean(mark_index_basis_bps,168)",mark_index_basis_bps,1,A7INPUT_APPROVED_SIGNAL_PRIMARY,ic_013,basis_premium_like,ordinary_alpha_signal,,False,True,False,False,False,0,True,True,ordinary_alpha,accept,ordinary_alpha_route,0
a7ff24r_1c3b5e472e010cc0,L1_single_field_transform,ordinary_alpha_valid,P0,basis_premium_like,single,mark_index_basis_bps,,basis_premium_like,,primary_signal_seed,,mean_4h,,False,skel_1d39996e97d5ace0,prod_bf17218cf6a6b69f,True,True,shard_00,"Mean(mark_index_basis_bps,4)",mark_index_basis_bps,1,A7INPUT_APPROVED_SIGNAL_PRIMARY,ic_013,basis_premium_like,ordinary_alpha_signal,,False,True,False,False,False,0,True,True,ordinary_alpha,accept,ordinary_alpha_route,0
a7ff24r_3c18085739c75d99,L1_single_field_transform,ordinary_alpha_valid,P0,basis_premium_like,single,mark_index_basis_bps,,basis_premium_like,,primary_signal_seed,,decay_168h,,False,skel_1d39996e97d5ace0,prod_76ff3cbb495ee057,True,True,shard_00,"Decay(mark_index_basis_bps,168)",mark_index_basis_bps,1,A7INPUT_APPROVED_SIGNAL_PRIMARY,ic_013,basis_premium_like,ordinary_alpha_signal,,False,True,False,False,False,0,True,True,ordinary_alpha,accept,ordinary_alpha_route,0
a7ff24r_44729f0f6d18b9fe,L1_single_field_transform,ordinary_alpha_valid,P0,basis_premium_like,single,mark_index_basis_bps,,basis_premium_like,,primary_signal_seed,,zmean_2h,,False,skel_a311ee3fdacdeca2,prod_2574ffb099570c29,True,True,shard_00,"ZScore(Mean(mark_index_basis_bps,2))",mark_index_basis_bps,1,A7INPUT_APPROVED_SIGNAL_PRIMARY,ic_013,basis_premium_like,ordinary_alpha_signal,,False,True,False,False,False,0,True,True,ordinary_alpha,accept,ordinary_alpha_route,0
a7ff24r_49641183569fa632,L1_single_field_transform,ordinary_alpha_valid,P0,basis_premium_like,single,mark_index_basis_bps,,basis_premium_like,,primary_signal_seed,,zmean_1h,,False,skel_a311ee3fdacdeca2,prod_95d701a5f939ee83,True,True,shard_00,"ZScore(Mean(mark_index_basis_bps,1))",mark_index_basis_bps,1,A7INPUT_APPROVED_SIGNAL_PRIMARY,ic_013,basis_premium_like,ordinary_alpha_signal,,False,True,False,False,False,0,True,True,ordinary_alpha,accept,ordinary_alpha_route,0
a7ff24r_49df8a5d77c3bce5,L1_single_field_transform,ordinary_alpha_valid,P0,basis_premium_like,single,mark_index_basis_bps,,basis_premium_like,,primary_signal_seed,,mean_24h,,False,skel_1d39996e97d5ace0,prod_57ea525df6de513b,True,True,shard_00,"Mean(mark_index_basis_bps,24)",mark_index_basis_bps,1,A7INPUT_APPROVED_SIGNAL_PRIMARY,ic_013,basis_premium_like,ordinary_alpha_signal,,False,True,False,False,False,0,True,True,ordinary_alpha,accept,ordinary_alpha_route,0
a7ff24r_4f65613a81b1eeff,L1_single_field_transform,ordinary_alpha_valid,P0,basis_premium_like,single,mark_index_basis_bps,,basis_premium_like,,primary_signal_seed,,zmean_4h,,False,skel_a311ee3fdacdeca2,prod_b2e5f397e5aab576,True,True,shard_00,"ZScore(Mean(mark_index_basis_bps,4))",mark_index_basis_bps,1,A7INPUT_APPROVED_SIGNAL_PRIMARY,ic_013,basis_premium_like,ordinary_alpha_signal,,False,True,False,False,False,0,True,True,ordinary_alpha,accept,ordinary_alpha_route,0
a7ff24r_547c0ff8380f3778,L1_single_field_transform,ordinary_alpha_valid,P0,basis_premium_like,single,mark_index_basis_bps,,basis_premium_like,,primary_signal_seed,,abs_zmean_8h,,False,skel_1926552988410ac0,prod_a3ee3a912fefe9f3,True,True,shard_00,"Abs(ZScore(Mean(mark_index_basis_bps,8)))",mark_index_basis_bps,1,A7INPUT_APPROVED_SIGNAL_PRIMARY,ic_013,basis_premium_like,ordinary_alpha_signal,,False,True,False,False,False,0,True,True,ordinary_alpha,accept,ordinary_alpha_route,0
a7ff24r_57e00327a34e91e3,L1_single_field_transform,ordinary_alpha_valid,P0,basis_premium_like,single,mark_index_basis_bps,,basis_premium_like,,primary_signal_seed,,delta_24h,,False,skel_1d39996e97d5ace0,prod_6b5cfa223e66ae24,True,True,shard_00,"Delta(mark_index_basis_bps,24)",mark_index_basis_bps,1,A7INPUT_APPROVED_SIGNAL_PRIMARY,ic_013,basis_premium_like,ordinary_alpha_signal,,False,True,False,False,False,0,True,True,ordinary_alpha,accept,ordinary_alpha_route,0
