candidate_id,semantic_bucket,motif_bucket,clue_rows,label_count,horizon_count,best_abs_corr,best_original_score,min_control_ratio,preflight_rank,root_subgraph_id,expression,raw_inputs,candidate_roles,semantic_pairs,motifs,formula_gen_gate,gate_mode,gate_allowed,uses_may,ordinary_alpha_allowed,authorizes_replay,authorizes_search,materialization_status,missing_field_count,label_or_may_token,non_null_ratio,active_ratio,std,clue_rows_from_detail,clue_label_count,clue_horizon_count,min_detail_control_ratio,max_abs_detail_corr,best_detail_score,packet_ready,replay_rows,positive_validation_recent_cost5,median_spread,median_cost_adjusted_spread,max_tstat,replay_min_control_ratio,core10_rank
a7ffcore5_9e4293913b29d39f8d,liquidity_like,single,1,1,1,0.0070770788658013,0.0393347221151591,0.6434852031211591,108,sg_7c1e0f52799cd010,"Delta(trade_count_168h,24)",trade_count_168h,exploratory_signal_probe,liquidity_like,single,diagnostic_or_repair_root_only,diagnostic_repair,True,False,False,False,False,ok,0,False,0.953565,0.953002,5651.5998354793,1,1,1,0.6434852031211591,0.0070770788658013,0.0393347221151591,True,12,1,-7.758280401915184e-05,-0.0007775828040191,3.039172680437813,0.0935174603559672,1
a7ffcore5_89d456568ed9db84c6,liquidity_like|volatility_like,liquidity_shock,7,2,4,0.0071439195806037,0.0071439195806037,0.4544969621762753,7,sg_269942e760d798bf,"Mul(Delta(Mean(trade_count,24),24),Abs(ZScore(Delta(trade_low,24))))",trade_count;trade_low,role_mixed_allowed,liquidity_like|volatility_like,liquidity_shock,diagnostic_or_repair_root_only,diagnostic_repair,True,False,False,False,False,ok,0,False,0.99656,0.995991,73685.5715550374,7,2,4,0.4544969621762753,0.0071439195806037,0.0071439195806037,True,12,1,0.0010875391883112,0.0001269788094507,2.871152609177763,0.4634529934904429,2
a7ffcore5_d495bcdff277541a9d,open_interest_like,single,1,1,1,0.0030709005633814,0.0030709005633814,0.5724606971761343,104,sg_c375ff1122ddf448,"Delta(open_interest_value_last,72)",open_interest_value_last,exploratory_signal_probe,open_interest_like,single,diagnostic_or_repair_root_only,diagnostic_repair,True,False,False,False,False,ok,0,False,0.993657,0.993637,44013535.29403666,1,1,1,0.5724606971761343,0.0030709005633814,0.0030709005633814,True,12,1,-0.0001686206457864,-0.0005222289814282,2.736388668918313,0.3753038929887415,3
a7ffcore5_f8f5a7d388d98ddbee,liquidity_like,single,2,1,2,0.0069348743696825,0.0069348743696825,0.653228881299192,98,sg_eecb865fab2bc504,"Mean(trade_volume,4)",trade_volume,exploratory_signal_probe,liquidity_like,single,diagnostic_or_repair_root_only,diagnostic_repair,True,False,False,False,False,ok,0,False,0.999713,0.999103,3450730182.942656,2,1,2,0.653228881299192,0.0069348743696825,0.0069348743696825,True,12,1,0.0002430870801226,-0.0007668849314165,2.695898179199756,0.4304377754031036,4
a7ffcore5_e49456a170f19eb240,liquidity_like|volatility_like,liquidity_shock,6,2,3,0.0084988330728883,0.0084988330728883,0.239752650253877,15,sg_37b2e0fe97983e42,"Mul(Delta(ZScore(Mean(trade_count,4)),24),Abs(ZScore(Delta(trade_high,4))))",trade_count;trade_high,role_mixed_allowed,liquidity_like|volatility_like,liquidity_shock,diagnostic_or_repair_root_only,diagnostic_repair,True,False,False,False,False,ok,0,False,0.997994,0.997994,2.0295791897,6,2,3,0.239752650253877,0.0084988330728883,0.0084988330728883,True,12,1,0.00067235581857,-0.0001922751329332,2.642090762570441,0.3959936427637847,5
a7ffcore5_056264aa1859f3ac7b,liquidity_like|volatility_like,liquidity_shock,6,2,3,0.0072177761297734,0.0072177761297734,0.3983264376632149,22,sg_236b5f76f268b79c,"Mul(Delta(Mean(trade_count,24),24),Abs(ZScore(Delta(trade_high,4))))",trade_count;trade_high,role_mixed_allowed,liquidity_like|volatility_like,liquidity_shock,diagnostic_or_repair_root_only,diagnostic_repair,True,False,False,False,False,ok,0,False,0.99656,0.995991,73274.1296031039,6,2,3,0.3983264376632149,0.0072177761297734,0.0072177761297734,True,12,1,0.0009028232064784,-5.583213389826137e-05,2.611251422677552,0.4812809368742684,6
a7ffcore5_f12228440913b31bb1,liquidity_like|volatility_like,liquidity_shock,6,2,4,0.0058414805624981,0.0058414805624981,0.5786489106087191,14,sg_54a86d91fa0e9aac,"Mul(Delta(Mean(trade_count,24),24),Abs(ZScore(Delta(trade_high,8))))",trade_count;trade_high,role_mixed_allowed,liquidity_like|volatility_like,liquidity_shock,diagnostic_or_repair_root_only,diagnostic_repair,True,False,False,False,False,ok,0,False,0.99656,0.995991,73326.5244350399,6,2,4,0.5786489106087191,0.0058414805624981,0.0058414805624981,True,12,1,0.0009286723992303,8.103199471973784e-05,2.569098172384391,0.3374633026026069,7
a7ffcore5_11903004dcea88bab8,liquidity_like|volatility_like,liquidity_shock,6,2,3,0.0069309799032963,0.0069309799032963,0.3573961911545207,20,sg_6bf2535e92572822,"Mul(Delta(ZScore(Mean(trade_count,4)),24),Abs(ZScore(Delta(trade_high,8))))",trade_count;trade_high,role_mixed_allowed,liquidity_like|volatility_like,liquidity_shock,diagnostic_or_repair_root_only,diagnostic_repair,True,False,False,False,False,ok,0,False,0.997994,0.997994,2.0252051163,6,2,3,0.3573961911545207,0.0069309799032963,0.0069309799032963,True,12,1,0.0006365998076773,-0.0002413380454329,2.5551740646771024,0.4063571918260926,8
a7ffcore5_20349c393fc8912b86,taker_flow_like,single,3,1,3,0.0071076826312707,0.0071076826312707,0.520915684505595,54,sg_c9a12f9b344695f7,"Mean(taker_buy_volume,4)",taker_buy_volume,exploratory_signal_probe,taker_flow_like,single,diagnostic_or_repair_root_only,diagnostic_repair,True,False,False,False,False,ok,0,False,0.999713,0.999103,1699269657.6680765,3,1,3,0.520915684505595,0.0071076826312707,0.0071076826312707,True,12,1,0.000149235643708,-0.0008794442581632,2.408124542671294,0.2753082589305717,9
a7ffcore5_b9beb4fd43cf7914e2,taker_flow_like|basis_premium_like,gated_sign,2,2,2,0.0027683014041992,0.0027683014041992,0.7816039112096673,72,sg_3cfe55f0e306daa7,"Mul(taker_buy_quote_volume,Sign(Mean(mark_index_basis_bps,4)))",mark_index_basis_bps;taker_buy_quote_volume,role_mixed_allowed,taker_flow_like|basis_premium_like,gated_sign,diagnostic_or_repair_root_only,diagnostic_repair,True,False,False,False,False,ok,0,False,0.997962,0.997328,34956207.26133672,2,2,2,0.7816039112096673,0.0027683014041992,0.0027683014041992,True,12,1,0.0001099954911885,-0.0003885937772346,2.3819329985571738,0.7522188154673038,10
