feature,full_only,raw_non_null_rate,infer_non_null_rate,learn_non_null_rate,raw_variance,learn_variance,mean_within_symbol_time_variance,fraction_dates_with_cross_sectional_variance,raw_unique_values
KMID,False,1.0,1.0,1.0,0.0020084744319319725,0.0020246864296495914,0.002004966838285327,1.0,1820
KLEN,False,1.0,1.0,1.0,0.0024751215241849422,0.0024884450249373913,0.0022339283023029566,1.0,1820
KMID2,False,1.0,1.0,1.0,0.22921836376190186,0.2292805016040802,0.22823603451251984,1.0,1820
KUP,False,1.0,1.0,1.0,0.0002530690690036863,0.00025451567489653826,0.0002338870835956186,1.0,1813
KUP2,False,1.0,1.0,1.0,0.03818263113498688,0.037681445479393005,0.03811853379011154,1.0,1811
KLOW,False,1.0,1.0,1.0,0.0005576091934926808,0.0005609745276160538,0.0005396666238084435,1.0,1818
KLOW2,False,1.0,1.0,1.0,0.0392264761030674,0.039311688393354416,0.038857899606227875,1.0,1815
KSFT,False,1.0,1.0,1.0,0.002046884736046195,0.0020595078822225332,0.002045843517407775,1.0,1820
KSFT2,False,1.0,1.0,1.0,0.28159210085868835,0.2799651622772217,0.2799087464809418,1.0,1820
OPEN0,False,1.0,1.0,1.0,0.0018406551098451018,0.0018549630185589194,0.0018377049127593637,1.0,1819
HIGH0,False,1.0,1.0,1.0,0.0009163848008029163,0.0009217511978931725,0.0008522227290086448,1.0,1816
LOW0,False,1.0,1.0,1.0,0.0012418454280123115,0.0012484872713685036,0.0011872213799506426,1.0,1817
VWAP0,False,1.0,1.0,1.0,0.0004514447064138949,0.00045342216617427766,0.0004511619918048382,1.0,1816
ROC5,True,0.9725274725274725,0.9725274725274725,0.9722222222222222,0.00902527291327715,0.009102736599743366,0.008948848582804203,0.9725274725274725,1768
ROC10,True,0.945054945054945,0.945054945054945,0.9444444444444444,0.016114402562379837,0.016279008239507675,0.015841044485569,0.945054945054945,1720
ROC20,True,0.8901098901098901,0.8901098901098901,0.8888888888888888,0.03389337658882141,0.03393441066145897,0.03255847841501236,0.8901098901098901,1620
ROC30,True,0.8351648351648352,0.8351648351648352,0.8333333333333334,0.05045575648546219,0.050540030002593994,0.04695532098412514,0.8351648351648352,1520
ROC60,True,0.6703296703296703,0.6703296703296703,0.6666666666666666,0.0964856743812561,0.09755457192659378,0.07386547327041626,0.6703296703296703,1220
MA5,True,1.0,1.0,1.0,0.002046906389296055,0.002065128181129694,0.0020346723031252623,0.9945054945054945,1810
MA10,True,1.0,1.0,1.0,0.004766635596752167,0.0048081474378705025,0.004709291271865368,0.9945054945054945,1810
MA20,True,1.0,1.0,1.0,0.009546937420964241,0.009625295177102089,0.009309487417340279,0.9945054945054945,1810
MA30,True,1.0,1.0,1.0,0.014151467010378838,0.014202840626239777,0.013605540618300438,0.9945054945054945,1811
MA60,True,1.0,1.0,1.0,0.02508286014199257,0.025132182985544205,0.022902624681591988,0.9945054945054945,1811
STD5,True,0.9945054945054945,0.9945054945054945,0.9944444444444445,0.0006024330505169928,0.0006054035038687289,0.0005461918190121651,0.9945054945054945,1810
STD10,True,0.9945054945054945,0.9945054945054945,0.9944444444444445,0.0009389084880240262,0.0009418319677934051,0.000829550321213901,0.9945054945054945,1810
STD20,True,0.9945054945054945,0.9945054945054945,0.9944444444444445,0.0014318361645564437,0.0014398674247786403,0.001196868484839797,0.9945054945054945,1810
STD30,True,0.9945054945054945,0.9945054945054945,0.9944444444444445,0.001976101892068982,0.0019872093107551336,0.0016111396253108978,0.9945054945054945,1810
STD60,True,0.9945054945054945,0.9945054945054945,0.9944444444444445,0.0035915393382310867,0.0036205919459462166,0.00283935503102839,0.9945054945054945,1810
BETA5,True,0.9945054945054945,0.9945054945054945,0.9944444444444445,0.00045926033635623753,0.0004634755023289472,0.0004560569650493562,0.9945054945054945,1809
BETA10,True,0.9945054945054945,0.9945054945054945,0.9944444444444445,0.00024025863967835903,0.0002424332342343405,0.00023683035396970809,0.9945054945054945,1810
BETA20,True,0.9945054945054945,0.9945054945054945,0.9944444444444445,0.00013111562293488532,0.00013210643373895437,0.00012737041106447577,0.9945054945054945,1810
BETA30,True,0.9945054945054945,0.9945054945054945,0.9944444444444445,0.00010257980466121808,0.00010287104669259861,9.854401287157089e-05,0.9945054945054945,1810
BETA60,True,0.9945054945054945,0.9945054945054945,0.9944444444444445,7.416651351377368e-05,7.490535790566355e-05,6.991706322878599e-05,0.9945054945054945,1810
RSQR5,True,0.9945054945054945,0.9945054945054945,0.9944444444444445,0.092363141477108,0.09194989502429962,0.09214454889297485,0.989010989010989,1801
RSQR10,True,0.9945054945054945,0.9945054945054945,0.9944444444444445,0.09124148637056351,0.09114041179418564,0.09007066488265991,0.989010989010989,1801
RSQR20,True,0.9945054945054945,0.9945054945054945,0.9944444444444445,0.08751571923494339,0.087898388504982,0.08580932021141052,0.989010989010989,1801
RSQR30,True,0.9945054945054945,0.9945054945054945,0.9944444444444445,0.08487123996019363,0.08432652801275253,0.08160634338855743,0.989010989010989,1801
RSQR60,True,0.9945054945054945,0.9945054945054945,0.9944444444444445,0.08262717723846436,0.08298419415950775,0.0788668841123581,0.989010989010989,1801
RESI5,True,0.9945054945054945,0.9945054945054945,0.9944444444444445,0.0004097359487786889,0.00041299572330899537,0.00040972130955196917,0.989010989010989,1800
RESI10,True,0.9945054945054945,0.9945054945054945,0.9944444444444445,0.0015067266067489982,0.0015204232186079025,0.001506243133917451,0.989010989010989,1801
RESI20,True,0.9945054945054945,0.9945054945054945,0.9944444444444445,0.0033623650670051575,0.003383384319022298,0.0033590246457606554,0.989010989010989,1801
RESI30,True,0.9945054945054945,0.9945054945054945,0.9944444444444445,0.005506070330739021,0.005531631875783205,0.005492266267538071,0.989010989010989,1801
RESI60,True,0.9945054945054945,0.9945054945054945,0.9944444444444445,0.012322760187089443,0.012416571378707886,0.012230021879076958,0.989010989010989,1801
MAX5,True,1.0,1.0,1.0,0.004169269930571318,0.004192647058516741,0.003828598652034998,1.0,1818
MAX10,True,1.0,1.0,1.0,0.007115260232239962,0.007147441618144512,0.0063887969590723515,1.0,1817
MAX20,True,1.0,1.0,1.0,0.014236771501600742,0.014315521344542503,0.01248273067176342,1.0,1816
MAX30,True,1.0,1.0,1.0,0.02119499258697033,0.02122979424893856,0.018201258033514023,1.0,1814
MAX60,True,1.0,1.0,1.0,0.043784432113170624,0.044127561151981354,0.03498995676636696,1.0,1805
MIN5,True,1.0,1.0,1.0,0.004185590427368879,0.004203591961413622,0.003918838687241077,1.0,1819
MIN10,True,1.0,1.0,1.0,0.00718144653365016,0.007228655740618706,0.006688306573778391,1.0,1818
MIN20,True,1.0,1.0,1.0,0.010936704464256763,0.010987176559865475,0.009829027578234673,1.0,1814
MIN30,True,1.0,1.0,1.0,0.014132607728242874,0.014170260168612003,0.012376967817544937,1.0,1813
MIN60,True,1.0,1.0,1.0,0.02163691259920597,0.021648293361067772,0.018963931128382683,1.0,1799
QTLU5,True,1.0,1.0,1.0,0.002516612410545349,0.002537845866754651,0.002471477258950472,0.9945054945054945,1805
QTLU10,True,1.0,1.0,1.0,0.005762025713920593,0.0058058761060237885,0.005611523985862732,0.9945054945054945,1811
QTLU20,True,1.0,1.0,1.0,0.011203361675143242,0.01129067875444889,0.010730928741395473,0.9945054945054945,1805
QTLU30,True,1.0,1.0,1.0,0.017146766185760498,0.017156997695565224,0.016137558966875076,0.9945054945054945,1804
QTLU60,True,1.0,1.0,1.0,0.02949756197631359,0.029590770602226257,0.026090025901794434,0.9945054945054945,1801
QTLD5,True,1.0,1.0,1.0,0.002425049664452672,0.002447604900225997,0.0023923602420836687,0.9945054945054945,1810
QTLD10,True,1.0,1.0,1.0,0.0057079666294157505,0.005759270861744881,0.005602664314210415,0.9945054945054945,1808
QTLD20,True,1.0,1.0,1.0,0.011229726485908031,0.011322210542857647,0.010896003805100918,0.9945054945054945,1805
