variant,feature,split_importance,gain_importance
FULL_ALPHA158,KMID,0,0.0
FULL_ALPHA158,KLEN,0,0.0
FULL_ALPHA158,KMID2,0,0.0
FULL_ALPHA158,KUP,0,0.0
FULL_ALPHA158,KUP2,1,8.697050094604492
FULL_ALPHA158,KLOW,1,10.0556001663208
FULL_ALPHA158,KLOW2,0,0.0
FULL_ALPHA158,KSFT,1,2.2016799449920654
FULL_ALPHA158,KSFT2,0,0.0
FULL_ALPHA158,OPEN0,0,0.0
FULL_ALPHA158,HIGH0,0,0.0
FULL_ALPHA158,LOW0,1,4.335549831390381
FULL_ALPHA158,VWAP0,0,0.0
FULL_ALPHA158,ROC5,0,0.0
FULL_ALPHA158,ROC10,0,0.0
FULL_ALPHA158,ROC20,0,0.0
FULL_ALPHA158,ROC30,0,0.0
FULL_ALPHA158,ROC60,0,0.0
FULL_ALPHA158,MA5,0,0.0
FULL_ALPHA158,MA10,0,0.0
FULL_ALPHA158,MA20,0,0.0
FULL_ALPHA158,MA30,0,0.0
FULL_ALPHA158,MA60,0,0.0
FULL_ALPHA158,STD5,0,0.0
FULL_ALPHA158,STD10,0,0.0
FULL_ALPHA158,STD20,0,0.0
FULL_ALPHA158,STD30,1,7.2909698486328125
FULL_ALPHA158,STD60,0,0.0
FULL_ALPHA158,BETA5,0,0.0
FULL_ALPHA158,BETA10,0,0.0
FULL_ALPHA158,BETA20,1,3.046420097351074
FULL_ALPHA158,BETA30,0,0.0
FULL_ALPHA158,BETA60,1,10.12720012664795
FULL_ALPHA158,RSQR5,2,19.636539936065674
FULL_ALPHA158,RSQR10,0,0.0
FULL_ALPHA158,RSQR20,1,9.26414966583252
FULL_ALPHA158,RSQR30,1,21.096200942993164
FULL_ALPHA158,RSQR60,0,0.0
FULL_ALPHA158,RESI5,0,0.0
FULL_ALPHA158,RESI10,0,0.0
FULL_ALPHA158,RESI20,0,0.0
FULL_ALPHA158,RESI30,0,0.0
FULL_ALPHA158,RESI60,0,0.0
FULL_ALPHA158,MAX5,0,0.0
FULL_ALPHA158,MAX10,0,0.0
FULL_ALPHA158,MAX20,0,0.0
FULL_ALPHA158,MAX30,0,0.0
FULL_ALPHA158,MAX60,0,0.0
FULL_ALPHA158,MIN5,2,10.379940032958984
FULL_ALPHA158,MIN10,0,0.0
FULL_ALPHA158,MIN20,0,0.0
FULL_ALPHA158,MIN30,2,17.10785961151123
FULL_ALPHA158,MIN60,0,0.0
FULL_ALPHA158,QTLU5,0,0.0
FULL_ALPHA158,QTLU10,0,0.0
FULL_ALPHA158,QTLU20,0,0.0
FULL_ALPHA158,QTLU30,0,0.0
FULL_ALPHA158,QTLU60,0,0.0
FULL_ALPHA158,QTLD5,0,0.0
FULL_ALPHA158,QTLD10,0,0.0
FULL_ALPHA158,QTLD20,0,0.0
FULL_ALPHA158,QTLD30,0,0.0
FULL_ALPHA158,QTLD60,0,0.0
FULL_ALPHA158,RANK5,0,0.0
FULL_ALPHA158,RANK10,0,0.0
FULL_ALPHA158,RANK20,0,0.0
FULL_ALPHA158,RANK30,0,0.0
FULL_ALPHA158,RANK60,0,0.0
FULL_ALPHA158,RSV5,0,0.0
FULL_ALPHA158,RSV10,0,0.0
FULL_ALPHA158,RSV20,0,0.0
FULL_ALPHA158,RSV30,0,0.0
FULL_ALPHA158,RSV60,0,0.0
FULL_ALPHA158,IMAX5,0,0.0
FULL_ALPHA158,IMAX10,0,0.0
FULL_ALPHA158,IMAX20,0,0.0
FULL_ALPHA158,IMAX30,0,0.0
FULL_ALPHA158,IMAX60,1,8.271200180053711
FULL_ALPHA158,IMIN5,0,0.0
FULL_ALPHA158,IMIN10,0,0.0
FULL_ALPHA158,IMIN20,0,0.0
FULL_ALPHA158,IMIN30,0,0.0
FULL_ALPHA158,IMIN60,0,0.0
FULL_ALPHA158,IMXD5,0,0.0
FULL_ALPHA158,IMXD10,0,0.0
FULL_ALPHA158,IMXD20,0,0.0
FULL_ALPHA158,IMXD30,0,0.0
FULL_ALPHA158,IMXD60,0,0.0
FULL_ALPHA158,CORR5,0,0.0
FULL_ALPHA158,CORR10,1,11.468600273132324
FULL_ALPHA158,CORR20,0,0.0
FULL_ALPHA158,CORR30,0,0.0
FULL_ALPHA158,CORR60,1,12.1899995803833
FULL_ALPHA158,CORD5,1,6.091450214385986
FULL_ALPHA158,CORD10,0,0.0
FULL_ALPHA158,CORD20,0,0.0
FULL_ALPHA158,CORD30,0,0.0
FULL_ALPHA158,CORD60,0,0.0
FULL_ALPHA158,CNTP5,0,0.0
FULL_ALPHA158,CNTP10,0,0.0
FULL_ALPHA158,CNTP20,0,0.0
FULL_ALPHA158,CNTP30,0,0.0
FULL_ALPHA158,CNTP60,0,0.0
FULL_ALPHA158,CNTN5,0,0.0
FULL_ALPHA158,CNTN10,0,0.0
FULL_ALPHA158,CNTN20,0,0.0
FULL_ALPHA158,CNTN30,0,0.0
FULL_ALPHA158,CNTN60,0,0.0
FULL_ALPHA158,CNTD5,0,0.0
FULL_ALPHA158,CNTD10,0,0.0
FULL_ALPHA158,CNTD20,0,0.0
FULL_ALPHA158,CNTD30,0,0.0
FULL_ALPHA158,CNTD60,0,0.0
FULL_ALPHA158,SUMP5,0,0.0
FULL_ALPHA158,SUMP10,0,0.0
FULL_ALPHA158,SUMP20,0,0.0
FULL_ALPHA158,SUMP30,0,0.0
FULL_ALPHA158,SUMP60,0,0.0
FULL_ALPHA158,SUMN5,0,0.0
FULL_ALPHA158,SUMN10,0,0.0
FULL_ALPHA158,SUMN20,0,0.0
FULL_ALPHA158,SUMN30,0,0.0
FULL_ALPHA158,SUMN60,0,0.0
FULL_ALPHA158,SUMD5,0,0.0
FULL_ALPHA158,SUMD10,0,0.0
FULL_ALPHA158,SUMD20,0,0.0
FULL_ALPHA158,SUMD30,0,0.0
FULL_ALPHA158,SUMD60,0,0.0
FULL_ALPHA158,VMA5,0,0.0
FULL_ALPHA158,VMA10,1,8.333789825439453
FULL_ALPHA158,VMA20,0,0.0
FULL_ALPHA158,VMA30,0,0.0
FULL_ALPHA158,VMA60,0,0.0
FULL_ALPHA158,VSTD5,0,0.0
