seed_id,semantic_pair,operator,arbitration_status,clean_label_count,clean_horizons,median_control_ratio,control_margin,failure_reasons
a7ffcore48se_0219,price_like|price_like,Identity,diagnostic_clue,8,4,0.995586586784062,0.004413413215938022,thin_control_margin;not_strict_replay_clue
a7ffcore48se_1397,basis_premium_like|price_like,Identity,diagnostic_clue,8,4,0.9965697931827217,0.0034302068172783473,thin_control_margin;not_strict_replay_clue
a7ffcore48se_0248,state_or_taxonomy|state_or_taxonomy,SignedRankDelta,strict_replay_clue,6,3,0.8829837651727406,0.11701623482725942,strict_but_insufficient_family_breadth
a7ffcore48se_1159,funding_like|funding_like,WinsorZ,diagnostic_clue,6,3,0.9684016692838456,0.031598330716154366,thin_control_margin;not_strict_replay_clue
a7ffcore48se_0824,basis_premium_like|basis_premium_like,Identity,diagnostic_clue,6,3,0.9985147926596885,0.0014852073403115451,thin_control_margin;not_strict_replay_clue
a7ffcore48se_0545,basis_premium_like,Delta,diagnostic_clue,6,3,0.9994415556572672,0.0005584443427327779,thin_control_margin;not_strict_replay_clue
a7ffcore48se_0274,basis_premium_like,Delta,diagnostic_clue,6,3,0.9995126804216384,0.0004873195783615669,thin_control_margin;not_strict_replay_clue
a7ffcore48se_1446,funding_like|positioning_like,Identity,diagnostic_clue,4,2,0.9649860951179888,0.03501390488201117,thin_control_margin;not_strict_replay_clue
a7ffcore48se_1540,positioning_like|state_or_taxonomy,Identity,diagnostic_clue,4,2,1.016033112953859,-0.016033112953858897,thin_control_margin;median_control_dominated;not_strict_replay_clue
a7ffcore48se_1456,funding_like|price_like,WinsorZ,diagnostic_clue,4,2,2.9471855537070466,-1.9471855537070466,thin_control_margin;median_control_dominated;not_strict_replay_clue
a7ffcore48se_1566,price_like|state_or_taxonomy,SpreadShortLong,diagnostic_clue,2,1,1.0000000705125187,-7.05125187128175e-08,thin_control_margin;single_horizon_evidence;median_control_dominated;not_strict_replay_clue
a7ffcore48se_0010,basis_premium_like|basis_premium_like,Identity,diagnostic_clue,2,1,1.0003199306849244,-0.0003199306849244188,thin_control_margin;single_horizon_evidence;median_control_dominated;not_strict_replay_clue
a7ffcore48se_0013,basis_premium_like|basis_premium_like,WinsorZ,diagnostic_clue,2,1,1.003412651847056,-0.0034126518470560807,thin_control_margin;single_horizon_evidence;median_control_dominated;not_strict_replay_clue
a7ffcore48se_0001,basis_premium_like,CSRank,diagnostic_clue,2,1,1.004154337323003,-0.004154337323003077,thin_control_margin;single_horizon_evidence;median_control_dominated;not_strict_replay_clue
a7ffcore48se_1355,basis_premium_like,Identity,diagnostic_clue,2,1,1.004154337323003,-0.004154337323003077,thin_control_margin;single_horizon_evidence;median_control_dominated;not_strict_replay_clue
a7ffcore48se_1557,price_like|price_like,Identity,diagnostic_clue,2,1,1.0111659022049588,-0.011165902204958833,thin_control_margin;single_horizon_evidence;median_control_dominated;not_strict_replay_clue
a7ffcore48se_1509,liquidity_like|state_or_taxonomy,SpreadShortLong,diagnostic_clue,2,1,1.0122843737920193,-0.012284373792019299,thin_control_margin;single_horizon_evidence;median_control_dominated;not_strict_replay_clue
a7ffcore48se_0090,funding_like|liquidity_like,WinsorZ,diagnostic_clue,2,1,1.0129810432528294,-0.01298104325282945,thin_control_margin;single_horizon_evidence;median_control_dominated;not_strict_replay_clue
a7ffcore48se_1188,funding_like|state_or_taxonomy,AbsDelta,diagnostic_clue,2,1,1.0327098021811734,-0.032709802181173364,thin_control_margin;single_horizon_evidence;median_control_dominated;not_strict_replay_clue
a7ffcore48se_0147,liquidity_like|positioning_like,CSRank,diagnostic_clue,2,1,1.0527279776767815,-0.0527279776767815,thin_control_margin;single_horizon_evidence;median_control_dominated;not_strict_replay_clue
a7ffcore48se_0740,positioning_like|state_or_taxonomy,Identity,diagnostic_clue,2,1,1.0545850685253662,-0.054585068525366154,thin_control_margin;single_horizon_evidence;median_control_dominated;not_strict_replay_clue
a7ffcore48se_0029,basis_premium_like|liquidity_like,CSRank,diagnostic_clue,2,1,1.1329328061673276,-0.1329328061673276,thin_control_margin;single_horizon_evidence;median_control_dominated;not_strict_replay_clue
a7ffcore48se_1704,funding_like|positioning_like,WinsorZ,diagnostic_clue,2,1,1.181106849877554,-0.1811068498775541,thin_control_margin;single_horizon_evidence;median_control_dominated;not_strict_replay_clue
a7ffcore48se_0671,generic_numeric|price_like,Identity,diagnostic_clue,2,1,1.316924321302099,-0.3169243213020989,thin_control_margin;single_horizon_evidence;median_control_dominated;not_strict_replay_clue
a7ffcore48se_0775,price_like|volatility_like,Identity,diagnostic_clue,2,1,1.3300223986185036,-0.3300223986185036,thin_control_margin;single_horizon_evidence;median_control_dominated;not_strict_replay_clue
a7ffcore48se_1195,funding_like|volatility_like,AbsDelta,diagnostic_clue,2,1,1.626964649152273,-0.6269646491522729,thin_control_margin;single_horizon_evidence;median_control_dominated;not_strict_replay_clue
a7ffcore48se_1249,liquidity_like|state_or_taxonomy,WinsorZ,diagnostic_clue,2,1,1.8814819567704573,-0.8814819567704573,thin_control_margin;single_horizon_evidence;median_control_dominated;not_strict_replay_clue
a7ffcore48se_0176,positioning_like,Delta,diagnostic_clue,2,1,2.1993540146726125,-1.1993540146726125,thin_control_margin;single_horizon_evidence;median_control_dominated;not_strict_replay_clue
a7ffcore48se_0682,generic_numeric|volatility_like,AbsDelta,diagnostic_clue,2,1,3.147040118725246,-2.147040118725246,thin_control_margin;single_horizon_evidence;median_control_dominated;not_strict_replay_clue
a7ffcore48se_1393,basis_premium_like|positioning_like,WinsorZ,diagnostic_clue,2,1,3.5044416608367808,-2.5044416608367808,thin_control_margin;single_horizon_evidence;median_control_dominated;not_strict_replay_clue
a7ffcore48se_0681,generic_numeric|state_or_taxonomy,WinsorZ,diagnostic_clue,2,1,4.076405208882539,-3.076405208882539,thin_control_margin;single_horizon_evidence;median_control_dominated;not_strict_replay_clue
a7ffcore48se_0785,state_or_taxonomy,WinsorZ,diagnostic_clue,2,1,4.076405208882539,-3.076405208882539,thin_control_margin;single_horizon_evidence;median_control_dominated;not_strict_replay_clue
a7ffcore48se_0381,funding_like|state_or_taxonomy,SignedRankDelta,diagnostic_clue,2,1,4.281566795059296,-3.2815667950592964,thin_control_margin;single_horizon_evidence;median_control_dominated;not_strict_replay_clue
a7ffcore48se_1466,funding_like|volatility_like,Delta,diagnostic_clue,2,1,5.731682111506381,-4.731682111506381,thin_control_margin;single_horizon_evidence;median_control_dominated;not_strict_replay_clue
a7ffcore48se_0182,positioning_like|positioning_like,CSRank,diagnostic_clue,2,1,16.262302431257357,-15.262302431257357,thin_control_margin;single_horizon_evidence;median_control_dominated;not_strict_replay_clue
