seed_id,semantic_pair,operator,stale_risk_tier,metric_rows,clean_label_count,min_control_ratio,median_control_ratio,max_original_spread,median_original_spread,max_original_tstat,clean_label_families,clean_horizons,arbitration_status,control_margin,thin_control_margin,single_horizon_evidence,strict_ready
a7ffcore48se_0219,price_like|price_like,Identity,low,8,8,0.9939924220832212,0.995586586784062,0.0002739727236391,0.0001343647887298,2.3239409406335865,2,4,diagnostic_clue,0.004413413215938022,True,False,False
a7ffcore48se_1397,basis_premium_like|price_like,Identity,low,8,8,0.9929077964100816,0.9965697931827217,0.0002746777773361,0.0001332411249577,2.3060172498027063,2,4,diagnostic_clue,0.0034302068172783473,True,False,False
a7ffcore48se_0248,state_or_taxonomy|state_or_taxonomy,SignedRankDelta,low,8,6,0.7880125372922985,0.8829837651727406,0.0003375051388064,9.45764806382634e-05,3.1181507684735434,2,3,strict_replay_clue,0.11701623482725942,False,False,True
a7ffcore48se_1159,funding_like|funding_like,WinsorZ,medium,8,6,0.9444484924250162,0.9684016692838456,0.0018563000938473,0.0007077951971748,3.5932684867623523,2,3,diagnostic_clue,0.031598330716154366,True,False,False
a7ffcore48se_0824,basis_premium_like|basis_premium_like,Identity,medium,8,6,0.9961456973866712,0.9985147926596885,0.0003714883750779,0.00017570652402,8.577826347932586,2,3,diagnostic_clue,0.0014852073403115451,True,False,False
a7ffcore48se_0545,basis_premium_like,Delta,high,8,6,0.9988639828528516,0.9994415556572672,0.0006403198115579,0.0005992267305502,22.72852243730104,2,3,diagnostic_clue,0.0005584443427327779,True,False,False
a7ffcore48se_0274,basis_premium_like,Delta,high,8,6,0.9988302332005524,0.9995126804216384,0.0007570525176162,0.0007366030307918,23.440599994610075,2,3,diagnostic_clue,0.0004873195783615669,True,False,False
a7ffcore48se_1446,funding_like|positioning_like,Identity,medium,8,4,0.7158992088154902,0.9649860951179888,0.0013652481756405,0.0007053955450037,3.4726394395690336,2,2,diagnostic_clue,0.03501390488201117,True,False,False
a7ffcore48se_1540,positioning_like|state_or_taxonomy,Identity,medium,8,4,0.9434494018175402,1.016033112953859,0.0012892804033839,0.000497691156033,8.368158230024012,2,2,diagnostic_clue,-0.016033112953858897,True,False,False
a7ffcore48se_1456,funding_like|price_like,WinsorZ,low,8,4,0.9772762505741288,2.9471855537070466,0.0002577028790302,3.016117069832893e-05,1.243633925633977,2,2,diagnostic_clue,-1.9471855537070466,True,False,False
a7ffcore48se_1566,price_like|state_or_taxonomy,SpreadShortLong,high,8,2,0.9994652219325342,1.0000000705125187,0.0004326285932313,2.2073500918503813e-05,2.6750443873758414,2,1,diagnostic_clue,-7.05125187128175e-08,True,True,False
a7ffcore48se_0010,basis_premium_like|basis_premium_like,Identity,low,8,2,0.9981291952276736,1.0003199306849244,0.0002216831407128,0.0001924496116179,10.618228196740178,2,1,diagnostic_clue,-0.0003199306849244188,True,True,False
a7ffcore48se_0013,basis_premium_like|basis_premium_like,WinsorZ,low,8,2,0.999263829267396,1.003412651847056,0.0006052710554738,0.0001841237998701,5.110217248453211,2,1,diagnostic_clue,-0.0034126518470560807,True,True,False
a7ffcore48se_0001,basis_premium_like,CSRank,low,8,2,0.9972979890989828,1.004154337323003,0.0008878047972042,0.0007336946163769,29.494329373462023,2,1,diagnostic_clue,-0.004154337323003077,True,True,False
a7ffcore48se_1355,basis_premium_like,Identity,medium,8,2,0.9972979890989828,1.004154337323003,0.0008878047972042,0.0007336946163769,29.494329373462023,2,1,diagnostic_clue,-0.004154337323003077,True,True,False
a7ffcore48se_1557,price_like|price_like,Identity,medium,8,2,0.9973267772301404,1.0111659022049588,0.0001714943145553,8.110388947320805e-05,2.2317844874095987,2,1,diagnostic_clue,-0.011165902204958833,True,True,False
a7ffcore48se_1509,liquidity_like|state_or_taxonomy,SpreadShortLong,high,8,2,0.9998115002066608,1.0122843737920193,0.0004306439101126,0.0001809298310424,1.9716987200910367,2,1,diagnostic_clue,-0.012284373792019299,True,True,False
a7ffcore48se_0090,funding_like|liquidity_like,WinsorZ,low,8,2,0.99808428812331,1.0129810432528294,0.0015323718097072,0.0007639283578881,2.613471589332614,2,1,diagnostic_clue,-0.01298104325282945,True,True,False
a7ffcore48se_1188,funding_like|state_or_taxonomy,AbsDelta,low,8,2,0.9801672809854658,1.0327098021811734,0.0010150337368827,0.0004762636556096,2.172372615557331,2,1,diagnostic_clue,-0.032709802181173364,True,True,False
a7ffcore48se_0147,liquidity_like|positioning_like,CSRank,medium,8,2,0.9999342305808092,1.0527279776767815,0.00011671589437,3.3851630800370006e-05,1.2571025129247697,2,1,diagnostic_clue,-0.0527279776767815,True,True,False
a7ffcore48se_0740,positioning_like|state_or_taxonomy,Identity,high,8,2,0.949673127767186,1.0545850685253662,0.0009457963097221,0.0005131292395073,7.561424441105445,2,1,diagnostic_clue,-0.054585068525366154,True,True,False
a7ffcore48se_0029,basis_premium_like|liquidity_like,CSRank,low,8,2,0.9585804183457146,1.1329328061673276,0.0002102525140473,-4.732867100732608e-05,1.7635364625251124,2,1,diagnostic_clue,-0.1329328061673276,True,True,False
a7ffcore48se_1704,funding_like|positioning_like,WinsorZ,medium,8,2,0.947724775732408,1.181106849877554,0.0010875085865339,0.0002175235273949,1.7228646925733409,2,1,diagnostic_clue,-0.1811068498775541,True,True,False
a7ffcore48se_0671,generic_numeric|price_like,Identity,high,8,2,0.9834681763919854,1.316924321302099,0.0002077170971018,6.787856833991894e-05,1.4336356761568096,2,1,diagnostic_clue,-0.3169243213020989,True,True,False
a7ffcore48se_0775,price_like|volatility_like,Identity,high,8,2,0.9998040757555784,1.3300223986185036,0.000370956386023,7.841701885112402e-05,2.572525849575972,2,1,diagnostic_clue,-0.3300223986185036,True,True,False
a7ffcore48se_1195,funding_like|volatility_like,AbsDelta,high,8,2,0.8717253352667041,1.626964649152273,0.0004533884499814,3.235965365698691e-05,1.4922924553564734,2,1,diagnostic_clue,-0.6269646491522729,True,True,False
a7ffcore48se_1249,liquidity_like|state_or_taxonomy,WinsorZ,medium,8,2,0.7969328766619961,1.8814819567704573,8.13583161477525e-05,6.908182504377638e-05,1.1694653086195057,2,1,diagnostic_clue,-0.8814819567704573,True,True,False
a7ffcore48se_0176,positioning_like,Delta,low,8,2,0.9995995076731392,2.1993540146726125,9.860361484408636e-05,1.5361892537902284e-05,1.206795808238648,2,1,diagnostic_clue,-1.1993540146726125,True,True,False
a7ffcore48se_0682,generic_numeric|volatility_like,AbsDelta,high,8,2,0.9540656539976634,3.147040118725246,9.300686788783856e-06,2.124670557520082e-06,0.1414786964826389,2,1,diagnostic_clue,-2.147040118725246,True,True,False
a7ffcore48se_1393,basis_premium_like|positioning_like,WinsorZ,medium,8,2,0.9996158636067284,3.5044416608367808,0.0001358086614396,1.1175474983278698e-06,1.1360660386433508,2,1,diagnostic_clue,-2.5044416608367808,True,True,False
a7ffcore48se_0681,generic_numeric|state_or_taxonomy,WinsorZ,high,8,2,0.7791506753445784,4.076405208882539,0.0004715746051294,5.2737446791410543e-05,1.1255673198828209,2,1,diagnostic_clue,-3.076405208882539,True,True,False
a7ffcore48se_0785,state_or_taxonomy,WinsorZ,high,8,2,0.7791506753445784,4.076405208882539,0.0004715746051294,5.2737446791410543e-05,1.1255673198828209,2,1,diagnostic_clue,-3.076405208882539,True,True,False
a7ffcore48se_0381,funding_like|state_or_taxonomy,SignedRankDelta,low,8,2,0.7862962143664061,4.281566795059296,0.0001350802769589,4.3924523987978897e-05,0.4708876866490715,2,1,diagnostic_clue,-3.2815667950592964,True,True,False
a7ffcore48se_1466,funding_like|volatility_like,Delta,medium,8,2,0.9966925022007836,5.731682111506381,0.000176387352181,3.167093901892521e-06,1.3924059965418538,2,1,diagnostic_clue,-4.731682111506381,True,True,False
a7ffcore48se_0182,positioning_like|positioning_like,CSRank,medium,8,2,0.998709326380601,16.262302431257357,7.351489650021532e-05,1.881285440847519e-05,2.3144128903081818,2,1,diagnostic_clue,-15.262302431257357,True,True,False
