candidate_id,split,rank,raw_latent_state_id,abs_contribution,abs_contribution_share
a7al2q_69d146749c30da3c,known_may2026_stress,1,__missing__,27.741371409145007,1.0
a7al2q_3abec814a5c6d0df,known_may2026_stress,1,__missing__,29.388207612276336,1.0
a7al2q_1378ff7d2322adee,known_may2026_stress,1,__missing__,27.725280198667157,1.0
a7al2q_a4993fe3273bf0c8,known_may2026_stress,1,__missing__,27.72057828781149,1.0
a7al2q_0de0d41346741bd1,known_may2026_stress,1,__missing__,27.736867812726285,1.0
a7al2q_5da100b2822dc1a6,known_may2026_stress,1,__missing__,27.698460301028916,1.0
a7al2q_132c2a7c6c4a9142,known_may2026_stress,1,__missing__,27.585824749697235,1.0
a7al2q_f00f22bbcc48dc2c,known_may2026_stress,1,__missing__,27.678486224459903,1.0
a7al2q_d6f7ebc0dbbdda7a,known_may2026_stress,1,__missing__,27.71897217850593,1.0
a7al2q_6671d1fac5e57efe,known_may2026_stress,1,__missing__,27.600340752236093,1.0
a7al2q_33d51890b0068eb6,known_may2026_stress,1,__missing__,27.6148190535271,1.0
a7al2q_100786d679e5b988,known_may2026_stress,1,__missing__,28.58987897744478,1.0
a7al2q_2ec6136e6ff32eb3,known_may2026_stress,1,__missing__,27.89881102056489,1.0
a7al2q_ca72f5849cff347a,known_may2026_stress,1,__missing__,28.65202587214469,1.0
