candidate_id,split,side,rank,timestamp,spread
a7al2q_69d146749c30da3c,known_may2026_stress,loss,1,2026-05-07T19:00:00+00:00,-0.0455995811634675
a7al2q_69d146749c30da3c,known_may2026_stress,loss,2,2026-05-07T20:00:00+00:00,-0.0451292324151119
a7al2q_69d146749c30da3c,known_may2026_stress,loss,3,2026-05-21T11:00:00+00:00,-0.0443770305445795
a7al2q_69d146749c30da3c,known_may2026_stress,loss,4,2026-05-07T23:00:00+00:00,-0.0433002813048017
a7al2q_69d146749c30da3c,known_may2026_stress,loss,5,2026-05-07T21:00:00+00:00,-0.0432405106673248
a7al2q_69d146749c30da3c,known_may2026_stress,loss,6,2026-05-07T18:00:00+00:00,-0.0428504126386703
a7al2q_69d146749c30da3c,known_may2026_stress,loss,7,2026-05-07T22:00:00+00:00,-0.0420620443541532
a7al2q_69d146749c30da3c,known_may2026_stress,loss,8,2026-05-21T12:00:00+00:00,-0.0415813166396948
a7al2q_69d146749c30da3c,known_may2026_stress,loss,9,2026-05-07T17:00:00+00:00,-0.0402820845295718
a7al2q_69d146749c30da3c,known_may2026_stress,loss,10,2026-05-21T13:00:00+00:00,-0.0385354476502235
a7al2q_3abec814a5c6d0df,known_may2026_stress,loss,1,2026-05-08T00:00:00+00:00,-0.0538858329224636
a7al2q_3abec814a5c6d0df,known_may2026_stress,loss,2,2026-05-07T20:00:00+00:00,-0.0515878266737612
a7al2q_3abec814a5c6d0df,known_may2026_stress,loss,3,2026-05-07T19:00:00+00:00,-0.0507500647890657
a7al2q_3abec814a5c6d0df,known_may2026_stress,loss,4,2026-05-07T18:00:00+00:00,-0.0490865957238805
a7al2q_3abec814a5c6d0df,known_may2026_stress,loss,5,2026-05-21T11:00:00+00:00,-0.0488563829656574
a7al2q_3abec814a5c6d0df,known_may2026_stress,loss,6,2026-05-07T21:00:00+00:00,-0.0461855173358483
a7al2q_3abec814a5c6d0df,known_may2026_stress,loss,7,2026-05-21T10:00:00+00:00,-0.0415935720710949
a7al2q_3abec814a5c6d0df,known_may2026_stress,loss,8,2026-05-07T23:00:00+00:00,-0.0410882491257835
a7al2q_3abec814a5c6d0df,known_may2026_stress,loss,9,2026-05-08T01:00:00+00:00,-0.0409205617157252
