blueprint_id,expression,semantic_pair,motif,label_family,label_horizon_h,orientation_from_train,premay_positive_split_count,premay_all_positive,control_ratio_premay_max,one_bar_lag_recent_oriented,lag_ok,robust_median_tstat_floor,robust_min_tstat_floor,robust_ok,cost2_recent_oriented,cost5_recent_oriented,cost10_recent_oriented,avg_n_obs_recent,decision,train_2024_n,train_2024_mean_spread,train_2024_tstat,train_2024_nonoverlap_median_tstat,train_2024_nonoverlap_min_tstat,train_2024_positive_rate,validation_2025H1_n,validation_2025H1_mean_spread,validation_2025H1_tstat,validation_2025H1_nonoverlap_median_tstat,validation_2025H1_nonoverlap_min_tstat,validation_2025H1_positive_rate,test_2025H2_n,test_2025H2_mean_spread,test_2025H2_tstat,test_2025H2_nonoverlap_median_tstat,test_2025H2_nonoverlap_min_tstat,test_2025H2_positive_rate,recent_oos_2026JanApr_n,recent_oos_2026JanApr_mean_spread,recent_oos_2026JanApr_tstat,recent_oos_2026JanApr_nonoverlap_median_tstat,recent_oos_2026JanApr_nonoverlap_min_tstat,recent_oos_2026JanApr_positive_rate,shard
a7ls1_3c36d00c9e737a31,"ZScore(Mean(age_x_volatility,168))",listing_age_like,single,L7_ranked_future_return,4,-1.0,3,True,0.998914604315834,0.0417221123008483,True,1.945029656747084,2.1078574987605267,True,0.0404070976877715,0.0398070976877715,0.0388070976877715,95.46666666666668,A7LS3HRS007_RANK_LABEL_DIAGNOSTIC_CLUE,693,-0.0579010174496285,-6.388598801767375,-3.147990264510669,-3.5531960264543647,0.3982683982683982,716,-0.0356443493947858,-3.903043979728276,-1.945029656747084,-2.186869106691699,0.4497206703910614,716,-0.0282662004707221,-3.992785214802039,-2.007483335526731,-2.1078574987605267,0.4427374301675977,716,-0.0408070976877715,-6.061524511338401,-2.984764315954373,-3.2106204910512965,0.4008379888268156,s007
a7ls1_3c36d00c9e737a31,"ZScore(Mean(age_x_volatility,168))",listing_age_like,single,L7_ranked_future_return,8,-1.0,3,True,0.9617535832122756,0.0558480772732001,True,1.8644984911586429,2.2354916908351576,True,0.0548788831668747,0.0542788831668747,0.0532788831668747,94.93333333333334,A7LS3HRS007_RANK_LABEL_DIAGNOSTIC_CLUE,689,-0.0745564391495995,-7.866192909037904,-2.8287045998607665,-3.62417395602704,0.3657474600870827,712,-0.0471127399344569,-5.134206201317916,-1.8644984911586429,-2.2354916908351576,0.4157303370786517,712,-0.0387344595297544,-5.63992575803071,-1.9646421522005637,-2.4158822875345027,0.446629213483146,712,-0.0552788831668747,-7.786231858599353,-2.8512362735655548,-3.045744994221597,0.3876404494382022,s007
a7ls1_53acc118fe187078,CSRank(realized_vol_24h),volatility_like,single,L7_ranked_future_return,1,-1.0,3,True,0.939507952084472,0.0310903936794931,True,2.209086741167302,2.209086741167302,True,0.0341866816051099,0.0335866816051099,0.0325866816051099,95.86666666666666,A7LS3HRS007_RANK_LABEL_DIAGNOSTIC_CLUE,719,-0.0424399081800855,-4.4954110481982426,-4.4954110481982426,-4.4954110481982426,0.4186369958275382,719,-0.0204831330809251,-2.209086741167302,-2.209086741167302,-2.209086741167302,0.4506258692628651,719,-0.0265493805697213,-3.475388165170086,-3.475388165170086,-3.475388165170086,0.4297635605006954,719,-0.0345866816051099,-4.75172010738194,-4.75172010738194,-4.75172010738194,0.4381084840055633,s007
a7ls1_891ec7b95755f533,"Clip(ZScore(realized_vol_24h),-3,3)",volatility_like,single,L7_ranked_future_return,1,-1.0,3,True,0.939507952084472,0.0310903936794931,True,2.209086741167302,2.209086741167302,True,0.0341866816051099,0.0335866816051099,0.0325866816051099,95.86666666666666,A7LS3HRS007_RANK_LABEL_DIAGNOSTIC_CLUE,719,-0.0424399081800855,-4.4954110481982426,-4.4954110481982426,-4.4954110481982426,0.4186369958275382,719,-0.0204831330809251,-2.209086741167302,-2.209086741167302,-2.209086741167302,0.4506258692628651,719,-0.0265493805697213,-3.475388165170086,-3.475388165170086,-3.475388165170086,0.4297635605006954,719,-0.0345866816051099,-4.75172010738194,-4.75172010738194,-4.75172010738194,0.4381084840055633,s007
a7ls1_a5c9f5b0756c66d5,realized_vol_24h,volatility_like,single,L7_ranked_future_return,1,-1.0,3,True,0.939507952084472,0.0310903936794931,True,2.209086741167302,2.209086741167302,True,0.0341866816051099,0.0335866816051099,0.0325866816051099,95.86666666666666,A7LS3HRS007_RANK_LABEL_DIAGNOSTIC_CLUE,719,-0.0424399081800855,-4.4954110481982426,-4.4954110481982426,-4.4954110481982426,0.4186369958275382,719,-0.0204831330809251,-2.209086741167302,-2.209086741167302,-2.209086741167302,0.4506258692628651,719,-0.0265493805697213,-3.475388165170086,-3.475388165170086,-3.475388165170086,0.4297635605006954,719,-0.0345866816051099,-4.75172010738194,-4.75172010738194,-4.75172010738194,0.4381084840055633,s007
a7ls1_048ef43969c2334e,"ZScore(Mean(realized_vol_24h,4))",volatility_like,single,L7_ranked_future_return,1,-1.0,3,True,0.8098165908536982,0.0324443510791737,True,2.1812464286703723,2.1812464286703723,True,0.0329915256529129,0.0323915256529129,0.0313915256529129,95.86666666666666,A7LS3HRS007_RANK_LABEL_DIAGNOSTIC_CLUE,716,-0.0411467224032691,-4.354098984731696,-4.354098984731696,-4.354098984731696,0.4301675977653631,719,-0.0201858934734456,-2.1812464286703723,-2.1812464286703723,-2.1812464286703723,0.4561891515994437,719,-0.0236259207747385,-3.1614372301752685,-3.1614372301752685,-3.1614372301752685,0.4422809457579972,719,-0.0333915256529129,-4.626011410708622,-4.626011410708622,-4.626011410708622,0.4325452016689847,s007
a7ls1_68bfb1f58447fcd0,"Mean(realized_vol_24h,4)",volatility_like,single,L7_ranked_future_return,1,-1.0,3,True,0.8098165908536982,0.0324443510791737,True,2.1812464286703723,2.1812464286703723,True,0.0329915256529129,0.0323915256529129,0.0313915256529129,95.86666666666666,A7LS3HRS007_RANK_LABEL_DIAGNOSTIC_CLUE,716,-0.0411467224032691,-4.354098984731696,-4.354098984731696,-4.354098984731696,0.4301675977653631,719,-0.0201858934734456,-2.1812464286703723,-2.1812464286703723,-2.1812464286703723,0.4561891515994437,719,-0.0236259207747385,-3.1614372301752685,-3.1614372301752685,-3.1614372301752685,0.4422809457579972,719,-0.0333915256529129,-4.626011410708622,-4.626011410708622,-4.626011410708622,0.4325452016689847,s007
a7ls1_168e1ce1dbe62b11,"ZScore(Mean(realized_vol_24h,8))",volatility_like,single,L7_ranked_future_return,1,-1.0,3,True,0.991632033573728,0.0312957167877195,True,1.711914199887593,1.711914199887593,True,0.0319014056302477,0.0313014056302477,0.0303014056302477,95.86666666666666,A7LS3HRS007_RANK_LABEL_DIAGNOSTIC_CLUE,712,-0.0366580348782771,-3.878969410111458,-3.878969410111458,-3.878969410111458,0.4367977528089887,719,-0.0158031988873435,-1.711914199887593,-1.711914199887593,-1.711914199887593,0.454798331015299,719,-0.0232104453201462,-3.1332169076479155,-3.1332169076479155,-3.1332169076479155,0.4561891515994437,719,-0.0323014056302477,-4.414890298925368,-4.414890298925368,-4.414890298925368,0.4422809457579972,s007
a7ls1_2dd66d34ee47190d,"Mean(realized_vol_24h,8)",volatility_like,single,L7_ranked_future_return,1,-1.0,3,True,0.991632033573728,0.0312957167877195,True,1.711914199887593,1.711914199887593,True,0.0319014056302477,0.0313014056302477,0.0303014056302477,95.86666666666666,A7LS3HRS007_RANK_LABEL_DIAGNOSTIC_CLUE,712,-0.0366580348782771,-3.878969410111458,-3.878969410111458,-3.878969410111458,0.4367977528089887,719,-0.0158031988873435,-1.711914199887593,-1.711914199887593,-1.711914199887593,0.454798331015299,719,-0.0232104453201462,-3.1332169076479155,-3.1332169076479155,-3.1332169076479155,0.4561891515994437,719,-0.0323014056302477,-4.414890298925368,-4.414890298925368,-4.414890298925368,0.4422809457579972,s007
a7ls1_0962bfbf2388e87b,"Mul(CSRank(realized_vol_24h),Sign(Mean(listing_age_days,168)))",volatility_like|listing_age_like,gated_sign,L7_ranked_future_return,1,-1.0,3,True,0.939507952084472,0.0310903936794931,True,2.209086741167302,2.209086741167302,True,0.0341866816051099,0.0335866816051099,0.0325866816051099,95.86666666666666,A7LS3HRS007_RANK_LABEL_DIAGNOSTIC_CLUE,696,-0.0453817615208599,-4.742154685964901,-4.742154685964901,-4.742154685964901,0.418103448275862,719,-0.0204831330809251,-2.209086741167302,-2.209086741167302,-2.209086741167302,0.4506258692628651,719,-0.0265493805697213,-3.475388165170086,-3.475388165170086,-3.475388165170086,0.4297635605006954,719,-0.0345866816051099,-4.75172010738194,-4.75172010738194,-4.75172010738194,0.4381084840055633,s007
