semantic_type,operator,operator_policy
basis_premium_like,CSRank,block_or_low_priority
basis_premium_like,Delta,allow_for_coarse_to_fine
basis_premium_like,Identity,block_or_low_priority
categorical_state,CSRank,block_or_low_priority
categorical_state,Delta,block_or_low_priority
categorical_state,Identity,block_or_low_priority
liquidity_like,CSRank,block_or_low_priority
liquidity_like,Delta,block_or_low_priority
liquidity_like,Identity,block_or_low_priority
positioning_like,CSRank,block_or_low_priority
positioning_like,Delta,block_or_low_priority
positioning_like,Identity,block_or_low_priority
price_like,CSRank,block_or_low_priority
price_like,Delta,block_or_low_priority
price_like,Identity,block_or_low_priority
rate_like,CSRank,block_or_low_priority
rate_like,Delta,block_or_low_priority
rate_like,Identity,block_or_low_priority
volatility_like,CSRank,block_or_low_priority
volatility_like,Delta,block_or_low_priority
volatility_like,Identity,block_or_low_priority
