semantic_type,operator,test_count,candidate_count,non_l7_candidate_count,median_control_ratio,min_control_ratio,mean_score,max_score,operator_policy
basis_premium_like,CSRank,45,0,0,2.7668597270707704,0.1150160348143426,1.984673215492277,4.575350559569774,block_or_low_priority
basis_premium_like,Delta,45,3,2,9.474061550504691,0.7857862638470471,1.8866669422249098,4.533858109908921,allow_for_coarse_to_fine
basis_premium_like,Identity,45,0,0,2.7668597270707704,0.1077748962021696,1.9857800303654052,4.575350559569774,block_or_low_priority
categorical_state,CSRank,9,0,0,5.851936831970822,0.9971229523630204,1.432744308243209,2.1264583432711075,block_or_low_priority
categorical_state,Delta,9,0,0,18.6895872891992,2.284915011651152,1.1954873920306741,1.7015449929372575,block_or_low_priority
categorical_state,Identity,9,0,0,3.6982841459355846,0.9971229523630204,1.432744308243209,2.1264583432711075,block_or_low_priority
liquidity_like,CSRank,27,0,0,5.421529328693772,2.140760343626434,1.4018395362661495,2.226146301764871,block_or_low_priority
liquidity_like,Delta,27,0,0,12.696424218006424,5.191936083459446,1.5822807885419847,2.435800495656642,block_or_low_priority
liquidity_like,Identity,27,0,0,5.516298528581125,2.140760343626434,1.4018395362661495,2.226146301764871,block_or_low_priority
positioning_like,CSRank,72,0,0,6.785635578347195,0.6881180489558985,1.4995720081660229,2.752103142461492,block_or_low_priority
positioning_like,Delta,72,0,0,15.921213930614652,2.226824364953287,1.4951589990346341,2.733453243261587,block_or_low_priority
positioning_like,Identity,72,0,0,6.785635578347195,1.1123244795652512,1.4952403144015216,2.752103142461492,block_or_low_priority
price_like,CSRank,18,2,0,12.183592416628825,0.2543170677185504,2.502196552484264,5.24568293228145,block_or_low_priority
price_like,Delta,18,0,0,14.185985085731895,1.087603447706207,2.017411286807215,3.004759479164905,block_or_low_priority
price_like,Identity,18,2,0,12.183592416628825,0.2543170677185504,2.502196552484264,5.24568293228145,block_or_low_priority
rate_like,CSRank,27,0,0,3.1178621075969533,0.607008666815867,1.1040041838812316,1.6945466457175529,block_or_low_priority
rate_like,Delta,27,0,0,4.602066092832918,0.878273059267492,1.1026093409910305,1.706623443465142,block_or_low_priority
rate_like,Identity,27,0,0,3.1178621075969533,0.607008666815867,1.1040041838812316,1.6945466457175529,block_or_low_priority
volatility_like,CSRank,18,2,0,6.671388033575323,0.8794980260372742,2.5599986849331424,3.6115578958336707,block_or_low_priority
volatility_like,Delta,18,0,0,23.955684800366,4.830291003916762,1.8269172670229128,2.8915348261100093,block_or_low_priority
volatility_like,Identity,18,2,0,6.671388033575323,0.8794980260372742,2.5599986849331424,3.6115578958336707,block_or_low_priority
