control_id,base_candidate_id,control_mode,control_class,expression,production_family,horizon,availability_mask,uses_same_mask_as_candidate,feature_available_lag_bars,promotable,allowed_in_a7v5_replay,block_reason,decision
a7v3_rolling_self_reproduction_12_b26d29c81a80__blocked_same_hour_execution_lag0_e0ad6392,a7v3_rolling_self_reproduction_12_b26d29c81a80,same_hour_execution_lag0,blocked_before_replay,"Decay(agg_notional,4)",rolling_self_reproduction,12,agg_features_available,True,0,False,False,same-hour close execution is forbidden for hourly aggTrades features,A7V4_BLOCKED_EXPECTED_CONTROL
a7v3_rolling_self_reproduction_12_b3789982a101__blocked_no_agg_mask_9897b3a9,a7v3_rolling_self_reproduction_12_b3789982a101,no_agg_mask,blocked_before_replay,"Decay(agg_notional_100_1k,4)",rolling_self_reproduction,12,,False,4,False,False,agg candidates must require agg_features_available,A7V4_BLOCKED_EXPECTED_CONTROL
a7v3_rolling_self_reproduction_12_b3789982a101__blocked_zero_fill_core12_rank_f123627b,a7v3_rolling_self_reproduction_12_b3789982a101,zero_fill_core12_rank,blocked_before_replay,"CrossSymbolRank(ZeroFill(Decay(agg_notional_100_1k,4)))",rolling_self_reproduction,12,agg_features_available,True,4,False,False,missing agg rows cannot be converted into core12 zero-fill cross-sectional ranks,A7V4_BLOCKED_EXPECTED_CONTROL
a7v3_rolling_self_reproduction_12_b3789982a101__blocked_same_hour_execution_lag0_37ca7893,a7v3_rolling_self_reproduction_12_b3789982a101,same_hour_execution_lag0,blocked_before_replay,"Decay(agg_notional_100_1k,4)",rolling_self_reproduction,12,agg_features_available,True,0,False,False,same-hour close execution is forbidden for hourly aggTrades features,A7V4_BLOCKED_EXPECTED_CONTROL
a7v3_rolling_self_reproduction_12_214b62a005b2__blocked_no_agg_mask_a8cfc5d5,a7v3_rolling_self_reproduction_12_214b62a005b2,no_agg_mask,blocked_before_replay,"Decay(agg_notional_100k_1m,4)",rolling_self_reproduction,12,,False,4,False,False,agg candidates must require agg_features_available,A7V4_BLOCKED_EXPECTED_CONTROL
a7v3_rolling_self_reproduction_12_214b62a005b2__blocked_zero_fill_core12_rank_37905aa8,a7v3_rolling_self_reproduction_12_214b62a005b2,zero_fill_core12_rank,blocked_before_replay,"CrossSymbolRank(ZeroFill(Decay(agg_notional_100k_1m,4)))",rolling_self_reproduction,12,agg_features_available,True,4,False,False,missing agg rows cannot be converted into core12 zero-fill cross-sectional ranks,A7V4_BLOCKED_EXPECTED_CONTROL
a7v3_rolling_self_reproduction_12_214b62a005b2__blocked_same_hour_execution_lag0_9262d8ce,a7v3_rolling_self_reproduction_12_214b62a005b2,same_hour_execution_lag0,blocked_before_replay,"Decay(agg_notional_100k_1m,4)",rolling_self_reproduction,12,agg_features_available,True,0,False,False,same-hour close execution is forbidden for hourly aggTrades features,A7V4_BLOCKED_EXPECTED_CONTROL
a7v3_rolling_self_reproduction_12_3eb1e9032578__blocked_no_agg_mask_b8be17e5,a7v3_rolling_self_reproduction_12_3eb1e9032578,no_agg_mask,blocked_before_replay,"Decay(agg_notional_10k_100k,4)",rolling_self_reproduction,12,,False,4,False,False,agg candidates must require agg_features_available,A7V4_BLOCKED_EXPECTED_CONTROL
a7v3_rolling_self_reproduction_12_3eb1e9032578__blocked_zero_fill_core12_rank_2bce9929,a7v3_rolling_self_reproduction_12_3eb1e9032578,zero_fill_core12_rank,blocked_before_replay,"CrossSymbolRank(ZeroFill(Decay(agg_notional_10k_100k,4)))",rolling_self_reproduction,12,agg_features_available,True,4,False,False,missing agg rows cannot be converted into core12 zero-fill cross-sectional ranks,A7V4_BLOCKED_EXPECTED_CONTROL
a7v3_rolling_self_reproduction_12_3eb1e9032578__blocked_same_hour_execution_lag0_40d0a5ba,a7v3_rolling_self_reproduction_12_3eb1e9032578,same_hour_execution_lag0,blocked_before_replay,"Decay(agg_notional_10k_100k,4)",rolling_self_reproduction,12,agg_features_available,True,0,False,False,same-hour close execution is forbidden for hourly aggTrades features,A7V4_BLOCKED_EXPECTED_CONTROL
