axis,candidate_rows_seen,selected_rows,target_rows,semantic_pair_count,motif_count,skeleton_count
strong_positioning_basis,71423,22000,22000,3,15,222
oi_positioning,38768,18000,18000,9,17,215
oi_taker_flow,38284,18000,18000,1,11,213
raw_multi_axis_reserved,80000,22000,22000,55,10,133
