a7ls25_axis,semantic_pair,motif,rows
strong_positioning_basis,basis_premium_like|positioning_like,mul,2039
strong_positioning_basis,basis_premium_like|positioning_like,sub,2038
strong_positioning_basis,basis_premium_like|positioning_like,relative_shock,2037
strong_positioning_basis,basis_premium_like|positioning_like,smooth_mul,2037
strong_positioning_basis,basis_premium_like|positioning_like,gated_sign,2037
strong_positioning_basis,basis_premium_like|positioning_like,spread_rank,2037
strong_positioning_basis,basis_premium_like|positioning_like,signed_spread,2037
strong_positioning_basis,basis_premium_like|positioning_like,safe_div_abs,2037
strong_positioning_basis,basis_premium_like|positioning_like,mean_reversion_gate,1871
strong_positioning_basis,basis_premium_like|positioning_like,delta_x_divergence,1871
strong_positioning_basis,basis_premium_like|positioning_like,state_gate,1871
oi_taker_flow,open_interest_like|taker_flow_like,safe_div_abs,1845
oi_taker_flow,open_interest_like|taker_flow_like,spread_rank,1845
oi_taker_flow,open_interest_like|taker_flow_like,sub,1845
oi_taker_flow,open_interest_like|taker_flow_like,mul,1845
oi_taker_flow,open_interest_like|taker_flow_like,gated_sign,1845
oi_taker_flow,open_interest_like|taker_flow_like,signed_spread,1844
oi_taker_flow,open_interest_like|taker_flow_like,relative_shock,1844
oi_taker_flow,open_interest_like|taker_flow_like,smooth_mul,1844
oi_positioning,open_interest_like|positioning_like,sub,1818
oi_positioning,open_interest_like|positioning_like,mul,1818
oi_positioning,open_interest_like|positioning_like,spread_rank,1817
oi_positioning,open_interest_like|positioning_like,safe_div_abs,1817
oi_positioning,open_interest_like|positioning_like,gated_sign,1817
oi_positioning,open_interest_like|positioning_like,relative_shock,1816
oi_positioning,open_interest_like|positioning_like,smooth_mul,1816
oi_positioning,open_interest_like|positioning_like,signed_spread,1816
oi_taker_flow,open_interest_like|taker_flow_like,delta_x_divergence,1081
oi_taker_flow,open_interest_like|taker_flow_like,mean_reversion_gate,1081
oi_taker_flow,open_interest_like|taker_flow_like,state_gate,1081
oi_positioning,open_interest_like|positioning_like,delta_x_divergence,1044
oi_positioning,open_interest_like|positioning_like,state_gate,1044
oi_positioning,open_interest_like|positioning_like,mean_reversion_gate,1044
oi_positioning,open_interest_like|positioning_like|regime_state,seed_gated_sign,143
oi_positioning,open_interest_like|positioning_like|listing_age_like,seed_sub,78
raw_multi_axis_reserved,volatility_like|listing_age_like,state_gate,67
raw_multi_axis_reserved,volatility_like|regime_state,mul,67
raw_multi_axis_reserved,volatility_like|regime_state,gated_sign,67
raw_multi_axis_reserved,volatility_like|listing_age_like,mul,67
raw_multi_axis_reserved,volatility_like|listing_age_like,relative_shock,67
raw_multi_axis_reserved,volatility_like|listing_age_like,signed_spread,67
raw_multi_axis_reserved,volatility_like|listing_age_like,smooth_mul,67
raw_multi_axis_reserved,taker_flow_like|regime_state,smooth_mul,67
raw_multi_axis_reserved,taker_flow_like|regime_state,signed_spread,67
raw_multi_axis_reserved,volatility_like|listing_age_like,gated_sign,67
raw_multi_axis_reserved,taker_flow_like|regime_state,state_gate,67
raw_multi_axis_reserved,basis_premium_like|listing_age_like,smooth_mul,67
raw_multi_axis_reserved,basis_premium_like|listing_age_like,signed_spread,67
raw_multi_axis_reserved,basis_premium_like|listing_age_like,relative_shock,67
raw_multi_axis_reserved,price_like|listing_age_like,state_gate,67
raw_multi_axis_reserved,price_like|listing_age_like,smooth_mul,67
raw_multi_axis_reserved,price_like|listing_age_like,signed_spread,67
raw_multi_axis_reserved,price_like|listing_age_like,relative_shock,67
raw_multi_axis_reserved,price_like|listing_age_like,mul,67
raw_multi_axis_reserved,price_like|listing_age_like,gated_sign,67
raw_multi_axis_reserved,positioning_like|regime_state,state_gate,67
raw_multi_axis_reserved,taker_flow_like|regime_state,relative_shock,67
raw_multi_axis_reserved,taker_flow_like|regime_state,mul,67
raw_multi_axis_reserved,taker_flow_like|regime_state,gated_sign,67
raw_multi_axis_reserved,taker_flow_like|listing_age_like,state_gate,67
raw_multi_axis_reserved,taker_flow_like|listing_age_like,smooth_mul,67
raw_multi_axis_reserved,basis_premium_like|listing_age_like,mul,67
raw_multi_axis_reserved,basis_premium_like|listing_age_like,gated_sign,67
raw_multi_axis_reserved,taker_flow_like|listing_age_like,signed_spread,67
raw_multi_axis_reserved,taker_flow_like|listing_age_like,relative_shock,67
raw_multi_axis_reserved,taker_flow_like|listing_age_like,mul,67
raw_multi_axis_reserved,taker_flow_like|listing_age_like,gated_sign,67
raw_multi_axis_reserved,price_like|regime_state,state_gate,67
raw_multi_axis_reserved,price_like|regime_state,smooth_mul,67
raw_multi_axis_reserved,price_like|regime_state,signed_spread,67
raw_multi_axis_reserved,price_like|regime_state,relative_shock,67
raw_multi_axis_reserved,price_like|regime_state,mul,67
raw_multi_axis_reserved,price_like|regime_state,gated_sign,67
raw_multi_axis_reserved,basis_premium_like|regime_state,signed_spread,67
raw_multi_axis_reserved,basis_premium_like|regime_state,relative_shock,67
raw_multi_axis_reserved,basis_premium_like|regime_state,mul,67
raw_multi_axis_reserved,basis_premium_like|regime_state,gated_sign,67
raw_multi_axis_reserved,basis_premium_like|listing_age_like,state_gate,67
raw_multi_axis_reserved,open_interest_like|listing_age_like,signed_spread,67
raw_multi_axis_reserved,open_interest_like|listing_age_like,smooth_mul,67
raw_multi_axis_reserved,open_interest_like|listing_age_like,state_gate,67
raw_multi_axis_reserved,open_interest_like|regime_state,gated_sign,67
raw_multi_axis_reserved,open_interest_like|regime_state,mul,67
raw_multi_axis_reserved,open_interest_like|regime_state,relative_shock,67
raw_multi_axis_reserved,open_interest_like|regime_state,signed_spread,67
raw_multi_axis_reserved,open_interest_like|regime_state,smooth_mul,67
raw_multi_axis_reserved,open_interest_like|regime_state,state_gate,67
raw_multi_axis_reserved,positioning_like|listing_age_like,gated_sign,67
raw_multi_axis_reserved,positioning_like|listing_age_like,mul,67
raw_multi_axis_reserved,positioning_like|listing_age_like,relative_shock,67
raw_multi_axis_reserved,positioning_like|listing_age_like,signed_spread,67
raw_multi_axis_reserved,basis_premium_like|regime_state,smooth_mul,67
raw_multi_axis_reserved,basis_premium_like|regime_state,state_gate,67
raw_multi_axis_reserved,positioning_like|listing_age_like,smooth_mul,67
raw_multi_axis_reserved,positioning_like|listing_age_like,state_gate,67
raw_multi_axis_reserved,positioning_like|regime_state,gated_sign,67
raw_multi_axis_reserved,positioning_like|regime_state,mul,67
raw_multi_axis_reserved,positioning_like|regime_state,relative_shock,67
raw_multi_axis_reserved,positioning_like|regime_state,signed_spread,67
raw_multi_axis_reserved,positioning_like|regime_state,smooth_mul,67
raw_multi_axis_reserved,open_interest_like|listing_age_like,relative_shock,67
raw_multi_axis_reserved,open_interest_like|listing_age_like,mul,67
raw_multi_axis_reserved,listing_age_like|regime_state,gated_sign,67
raw_multi_axis_reserved,listing_age_like,state_gate,67
raw_multi_axis_reserved,open_interest_like|listing_age_like,gated_sign,67
raw_multi_axis_reserved,listing_age_like|regime_state,state_gate,67
raw_multi_axis_reserved,listing_age_like|regime_state,smooth_mul,67
raw_multi_axis_reserved,listing_age_like|regime_state,signed_spread,67
raw_multi_axis_reserved,listing_age_like|regime_state,relative_shock,67
raw_multi_axis_reserved,listing_age_like|regime_state,mul,67
raw_multi_axis_reserved,liquidity_like|listing_age_like,mul,67
raw_multi_axis_reserved,liquidity_like|listing_age_like,relative_shock,67
raw_multi_axis_reserved,liquidity_like|listing_age_like,signed_spread,67
raw_multi_axis_reserved,liquidity_like|listing_age_like,smooth_mul,67
raw_multi_axis_reserved,liquidity_like|listing_age_like,state_gate,67
raw_multi_axis_reserved,liquidity_like|regime_state,gated_sign,67
raw_multi_axis_reserved,liquidity_like|regime_state,mul,67
raw_multi_axis_reserved,liquidity_like|regime_state,relative_shock,67
raw_multi_axis_reserved,liquidity_like|regime_state,signed_spread,67
raw_multi_axis_reserved,liquidity_like|regime_state,smooth_mul,67
raw_multi_axis_reserved,liquidity_like|regime_state,state_gate,67
raw_multi_axis_reserved,listing_age_like,gated_sign,67
raw_multi_axis_reserved,listing_age_like,mul,67
raw_multi_axis_reserved,listing_age_like,relative_shock,67
raw_multi_axis_reserved,listing_age_like,signed_spread,67
raw_multi_axis_reserved,listing_age_like,smooth_mul,67
raw_multi_axis_reserved,funding_state_like|listing_age_like,gated_sign,67
raw_multi_axis_reserved,funding_state_like|listing_age_like,mul,67
raw_multi_axis_reserved,funding_state_like|listing_age_like,relative_shock,67
raw_multi_axis_reserved,funding_state_like|listing_age_like,signed_spread,67
raw_multi_axis_reserved,funding_state_like|listing_age_like,smooth_mul,67
raw_multi_axis_reserved,funding_state_like|listing_age_like,state_gate,67
raw_multi_axis_reserved,funding_state_like|regime_state,gated_sign,67
raw_multi_axis_reserved,funding_state_like|regime_state,relative_shock,67
raw_multi_axis_reserved,funding_state_like|regime_state,signed_spread,67
raw_multi_axis_reserved,liquidity_like|listing_age_like,gated_sign,67
raw_multi_axis_reserved,funding_state_like|regime_state,smooth_mul,67
raw_multi_axis_reserved,funding_state_like|regime_state,state_gate,67
raw_multi_axis_reserved,funding_state_like|regime_state,mul,67
raw_multi_axis_reserved,volatility_like|regime_state,signed_spread,67
raw_multi_axis_reserved,volatility_like|regime_state,relative_shock,67
raw_multi_axis_reserved,volatility_like|regime_state,smooth_mul,67
raw_multi_axis_reserved,regime_state,signed_spread,58
raw_multi_axis_reserved,regime_state,mul,58
raw_multi_axis_reserved,regime_state,smooth_mul,58
raw_multi_axis_reserved,regime_state,single,58
raw_multi_axis_reserved,regime_state,state_gate,58
raw_multi_axis_reserved,regime_state,gated_sign,58
raw_multi_axis_reserved,regime_state,relative_shock,58
strong_positioning_basis,open_interest_like|positioning_like|basis_premium_like,seed_smooth_mul,56
raw_multi_axis_reserved,taker_flow_like|volatility_like,relative_shock,50
raw_multi_axis_reserved,taker_flow_like|volatility_like,mul,50
raw_multi_axis_reserved,taker_flow_like|volatility_like,gated_sign,50
raw_multi_axis_reserved,basis_premium_like|liquidity_like,sub,50
raw_multi_axis_reserved,basis_premium_like|liquidity_like,spread_rank,50
raw_multi_axis_reserved,basis_premium_like|liquidity_like,smooth_mul,50
raw_multi_axis_reserved,basis_premium_like|liquidity_like,signed_spread,50
raw_multi_axis_reserved,basis_premium_like|liquidity_like,safe_div_abs,50
raw_multi_axis_reserved,basis_premium_like|liquidity_like,relative_shock,50
raw_multi_axis_reserved,volatility_like,sub,50
raw_multi_axis_reserved,volatility_like,spread_rank,50
raw_multi_axis_reserved,volatility_like,smooth_mul,50
raw_multi_axis_reserved,volatility_like,signed_spread,50
raw_multi_axis_reserved,taker_flow_like|volatility_like,smooth_mul,50
raw_multi_axis_reserved,taker_flow_like|volatility_like,signed_spread,50
raw_multi_axis_reserved,taker_flow_like|volatility_like,safe_div_abs,50
raw_multi_axis_reserved,liquidity_like,mul,50
raw_multi_axis_reserved,funding_state_like|taker_flow_like,gated_sign,50
raw_multi_axis_reserved,funding_state_like|positioning_like,sub,50
raw_multi_axis_reserved,funding_state_like|positioning_like,spread_rank,50
raw_multi_axis_reserved,funding_state_like|positioning_like,smooth_mul,50
raw_multi_axis_reserved,funding_state_like|positioning_like,signed_spread,50
raw_multi_axis_reserved,funding_state_like|positioning_like,safe_div_abs,50
raw_multi_axis_reserved,funding_state_like|positioning_like,relative_shock,50
raw_multi_axis_reserved,funding_state_like|positioning_like,mul,50
raw_multi_axis_reserved,funding_state_like|positioning_like,gated_sign,50
raw_multi_axis_reserved,funding_state_like|open_interest_like,sub,50
raw_multi_axis_reserved,liquidity_like,gated_sign,50
raw_multi_axis_reserved,funding_state_like|volatility_like,sub,50
raw_multi_axis_reserved,funding_state_like|open_interest_like,mul,50
raw_multi_axis_reserved,funding_state_like|open_interest_like,gated_sign,50
raw_multi_axis_reserved,funding_state_like|liquidity_like,sub,50
raw_multi_axis_reserved,funding_state_like|liquidity_like,spread_rank,50
raw_multi_axis_reserved,funding_state_like|liquidity_like,smooth_mul,50
raw_multi_axis_reserved,liquidity_like|volatility_like,sub,50
raw_multi_axis_reserved,liquidity_like|volatility_like,spread_rank,50
raw_multi_axis_reserved,liquidity_like|volatility_like,smooth_mul,50
raw_multi_axis_reserved,liquidity_like|volatility_like,signed_spread,50
raw_multi_axis_reserved,liquidity_like|volatility_like,safe_div_abs,50
raw_multi_axis_reserved,liquidity_like|volatility_like,relative_shock,50
raw_multi_axis_reserved,liquidity_like|volatility_like,mul,50
raw_multi_axis_reserved,basis_premium_like|liquidity_like,mul,50
raw_multi_axis_reserved,basis_premium_like|liquidity_like,gated_sign,50
raw_multi_axis_reserved,basis_premium_like|funding_state_like,sub,50
