authorizes_alpha_proof,authorizes_bounded_reward_smoke,authorizes_full_reward_wave,authorizes_shadow_paper_live,candidate_cap,decision,eval_error_rows,generated_at,hours_per_split,metric_rows,near_miss_rows,output_selected_queue,proxy_control_variants,proxy_horizons,queue,queue_rows,reward_rows,runtime,selected_motif_count,selected_rows,selected_semantic_pair_count,selected_unique_blueprints,stage,strict_pass_rows,successive_halving,proxy_shard_id,source_file
False,True,False,False,128,PASS_A7V3S9_PREREWARD_PROXY_SELECTED,0,2026-07-06T18:14:18Z,720,5120,4,D:\HermesWorker\runtime\a7search8_seed_expansion_proxy_20260706\shards\a7search7_proxy_s034\proxy_runtime\a7v3s9_proxy_selected_for_reward.csv,"['one_bar_lag', 'stale_168h', 'time_shuffle']","[8, 24]",D:\HermesWorker\runtime\a7search8_seed_expansion_proxy_20260706\queue_shards\a7search7_proxy_s034.csv,128,256,D:\HermesWorker\runtime\a7search8_seed_expansion_proxy_20260706\shards\a7search7_proxy_s034\proxy_runtime,4,4,3,4,A7V3S9_PREREWARD_OOS_CONTROL_PROXY,1,"{'enabled': True, 'halving_keep_rows_requested': 128, 'halving_kept_rows': 128, 'stage1_control_variants': ['time_shuffle'], 'stage1_eval_error_rows': 0, 'stage1_horizons': [24], 'stage1_input_rows': 512, 'stage1_metric_rows': 5120, 'stage1_reward_rows': 512, 'stage1_runtime': 'D:\\HermesWorker\\runtime\\a7search8_seed_expansion_proxy_20260706\\shards\\a7search7_proxy_s034\\proxy_runtime\\stage1_halving'}",a7search7_proxy_s034,D:\HermesWorker\runtime\a7search8_seed_expansion_proxy_20260706\shards\a7search7_proxy_s034\proxy_runtime\a7v3s9_proxy_manifest.json
False,True,False,False,128,PASS_A7V3S9_PREREWARD_PROXY_SELECTED,0,2026-07-06T18:13:56Z,720,5120,1,D:\HermesWorker\runtime\a7search8_seed_expansion_proxy_20260706\shards\a7search7_proxy_s035\proxy_runtime\a7v3s9_proxy_selected_for_reward.csv,"['one_bar_lag', 'stale_168h', 'time_shuffle']","[8, 24]",D:\HermesWorker\runtime\a7search8_seed_expansion_proxy_20260706\queue_shards\a7search7_proxy_s035.csv,128,256,D:\HermesWorker\runtime\a7search8_seed_expansion_proxy_20260706\shards\a7search7_proxy_s035\proxy_runtime,1,1,1,1,A7V3S9_PREREWARD_OOS_CONTROL_PROXY,0,"{'enabled': True, 'halving_keep_rows_requested': 128, 'halving_kept_rows': 128, 'stage1_control_variants': ['time_shuffle'], 'stage1_eval_error_rows': 0, 'stage1_horizons': [24], 'stage1_input_rows': 512, 'stage1_metric_rows': 5120, 'stage1_reward_rows': 512, 'stage1_runtime': 'D:\\HermesWorker\\runtime\\a7search8_seed_expansion_proxy_20260706\\shards\\a7search7_proxy_s035\\proxy_runtime\\stage1_halving'}",a7search7_proxy_s035,D:\HermesWorker\runtime\a7search8_seed_expansion_proxy_20260706\shards\a7search7_proxy_s035\proxy_runtime\a7v3s9_proxy_manifest.json
False,True,False,False,128,PASS_A7V3S9_PREREWARD_PROXY_SELECTED,0,2026-07-06T18:13:40Z,720,5120,2,D:\HermesWorker\runtime\a7search8_seed_expansion_proxy_20260706\shards\a7search7_proxy_s036\proxy_runtime\a7v3s9_proxy_selected_for_reward.csv,"['one_bar_lag', 'stale_168h', 'time_shuffle']","[8, 24]",D:\HermesWorker\runtime\a7search8_seed_expansion_proxy_20260706\queue_shards\a7search7_proxy_s036.csv,128,256,D:\HermesWorker\runtime\a7search8_seed_expansion_proxy_20260706\shards\a7search7_proxy_s036\proxy_runtime,2,2,2,2,A7V3S9_PREREWARD_OOS_CONTROL_PROXY,0,"{'enabled': True, 'halving_keep_rows_requested': 128, 'halving_kept_rows': 128, 'stage1_control_variants': ['time_shuffle'], 'stage1_eval_error_rows': 0, 'stage1_horizons': [24], 'stage1_input_rows': 512, 'stage1_metric_rows': 5120, 'stage1_reward_rows': 512, 'stage1_runtime': 'D:\\HermesWorker\\runtime\\a7search8_seed_expansion_proxy_20260706\\shards\\a7search7_proxy_s036\\proxy_runtime\\stage1_halving'}",a7search7_proxy_s036,D:\HermesWorker\runtime\a7search8_seed_expansion_proxy_20260706\shards\a7search7_proxy_s036\proxy_runtime\a7v3s9_proxy_manifest.json
False,True,False,False,128,PASS_A7V3S9_PREREWARD_PROXY_SELECTED,0,2026-07-06T18:26:54Z,720,5120,1,D:\HermesWorker\runtime\a7search8_seed_expansion_proxy_20260706\shards\a7search7_proxy_s037\proxy_runtime\a7v3s9_proxy_selected_for_reward.csv,"['one_bar_lag', 'stale_168h', 'time_shuffle']","[8, 24]",D:\HermesWorker\runtime\a7search8_seed_expansion_proxy_20260706\queue_shards\a7search7_proxy_s037.csv,128,256,D:\HermesWorker\runtime\a7search8_seed_expansion_proxy_20260706\shards\a7search7_proxy_s037\proxy_runtime,1,1,1,1,A7V3S9_PREREWARD_OOS_CONTROL_PROXY,1,"{'enabled': True, 'halving_keep_rows_requested': 128, 'halving_kept_rows': 128, 'stage1_control_variants': ['time_shuffle'], 'stage1_eval_error_rows': 0, 'stage1_horizons': [24], 'stage1_input_rows': 512, 'stage1_metric_rows': 5120, 'stage1_reward_rows': 512, 'stage1_runtime': 'D:\\HermesWorker\\runtime\\a7search8_seed_expansion_proxy_20260706\\shards\\a7search7_proxy_s037\\proxy_runtime\\stage1_halving'}",a7search7_proxy_s037,D:\HermesWorker\runtime\a7search8_seed_expansion_proxy_20260706\shards\a7search7_proxy_s037\proxy_runtime\a7v3s9_proxy_manifest.json
False,True,False,False,128,PASS_A7V3S9_PREREWARD_PROXY_SELECTED,0,2026-07-06T18:16:34Z,720,5120,2,D:\HermesWorker\runtime\a7search8_seed_expansion_proxy_20260706\shards\a7search7_proxy_s038\proxy_runtime\a7v3s9_proxy_selected_for_reward.csv,"['one_bar_lag', 'stale_168h', 'time_shuffle']","[8, 24]",D:\HermesWorker\runtime\a7search8_seed_expansion_proxy_20260706\queue_shards\a7search7_proxy_s038.csv,128,256,D:\HermesWorker\runtime\a7search8_seed_expansion_proxy_20260706\shards\a7search7_proxy_s038\proxy_runtime,2,2,2,2,A7V3S9_PREREWARD_OOS_CONTROL_PROXY,0,"{'enabled': True, 'halving_keep_rows_requested': 128, 'halving_kept_rows': 128, 'stage1_control_variants': ['time_shuffle'], 'stage1_eval_error_rows': 0, 'stage1_horizons': [24], 'stage1_input_rows': 512, 'stage1_metric_rows': 5120, 'stage1_reward_rows': 512, 'stage1_runtime': 'D:\\HermesWorker\\runtime\\a7search8_seed_expansion_proxy_20260706\\shards\\a7search7_proxy_s038\\proxy_runtime\\stage1_halving'}",a7search7_proxy_s038,D:\HermesWorker\runtime\a7search8_seed_expansion_proxy_20260706\shards\a7search7_proxy_s038\proxy_runtime\a7v3s9_proxy_manifest.json
False,True,False,False,128,PASS_A7V3S9_PREREWARD_PROXY_SELECTED,0,2026-07-06T18:43:28Z,720,5120,2,D:\HermesWorker\runtime\a7search8_seed_expansion_proxy_20260706\shards\a7search7_proxy_s039\proxy_runtime\a7v3s9_proxy_selected_for_reward.csv,"['one_bar_lag', 'stale_168h', 'time_shuffle']","[8, 24]",D:\HermesWorker\runtime\a7search8_seed_expansion_proxy_20260706\queue_shards\a7search7_proxy_s039.csv,128,256,D:\HermesWorker\runtime\a7search8_seed_expansion_proxy_20260706\shards\a7search7_proxy_s039\proxy_runtime,1,2,1,2,A7V3S9_PREREWARD_OOS_CONTROL_PROXY,0,"{'enabled': True, 'halving_keep_rows_requested': 128, 'halving_kept_rows': 128, 'stage1_control_variants': ['time_shuffle'], 'stage1_eval_error_rows': 0, 'stage1_horizons': [24], 'stage1_input_rows': 512, 'stage1_metric_rows': 5120, 'stage1_reward_rows': 512, 'stage1_runtime': 'D:\\HermesWorker\\runtime\\a7search8_seed_expansion_proxy_20260706\\shards\\a7search7_proxy_s039\\proxy_runtime\\stage1_halving'}",a7search7_proxy_s039,D:\HermesWorker\runtime\a7search8_seed_expansion_proxy_20260706\shards\a7search7_proxy_s039\proxy_runtime\a7v3s9_proxy_manifest.json
False,True,False,False,128,PASS_A7V3S9_PREREWARD_PROXY_SELECTED,0,2026-07-06T21:22:01Z,720,5120,1,D:\HermesWorker\runtime\a7search8_seed_expansion_proxy_20260706\shards\a7search7_proxy_s040\proxy_runtime\a7v3s9_proxy_selected_for_reward.csv,"['one_bar_lag', 'stale_168h', 'time_shuffle']","[8, 24]",D:\HermesWorker\runtime\a7search8_seed_expansion_proxy_20260706\queue_shards\a7search7_proxy_s040.csv,128,256,D:\HermesWorker\runtime\a7search8_seed_expansion_proxy_20260706\shards\a7search7_proxy_s040\proxy_runtime,1,1,1,1,A7V3S9_PREREWARD_OOS_CONTROL_PROXY,0,"{'enabled': True, 'halving_keep_rows_requested': 128, 'halving_kept_rows': 128, 'stage1_control_variants': ['time_shuffle'], 'stage1_eval_error_rows': 0, 'stage1_horizons': [24], 'stage1_input_rows': 512, 'stage1_metric_rows': 5120, 'stage1_reward_rows': 512, 'stage1_runtime': 'D:\\HermesWorker\\runtime\\a7search8_seed_expansion_proxy_20260706\\shards\\a7search7_proxy_s040\\proxy_runtime\\stage1_halving'}",a7search7_proxy_s040,D:\HermesWorker\runtime\a7search8_seed_expansion_proxy_20260706\shards\a7search7_proxy_s040\proxy_runtime\a7v3s9_proxy_manifest.json
False,False,False,False,128,HOLD_A7V3S9_PREREWARD_PROXY_NO_SELECTABLE,0,2026-07-06T21:17:01Z,720,5120,0,D:\HermesWorker\runtime\a7search8_seed_expansion_proxy_20260706\shards\a7search7_proxy_s041\proxy_runtime\a7v3s9_proxy_selected_for_reward.csv,"['one_bar_lag', 'stale_168h', 'time_shuffle']","[8, 24]",D:\HermesWorker\runtime\a7search8_seed_expansion_proxy_20260706\queue_shards\a7search7_proxy_s041.csv,128,256,D:\HermesWorker\runtime\a7search8_seed_expansion_proxy_20260706\shards\a7search7_proxy_s041\proxy_runtime,0,0,0,0,A7V3S9_PREREWARD_OOS_CONTROL_PROXY,0,"{'enabled': True, 'halving_keep_rows_requested': 128, 'halving_kept_rows': 128, 'stage1_control_variants': ['time_shuffle'], 'stage1_eval_error_rows': 0, 'stage1_horizons': [24], 'stage1_input_rows': 512, 'stage1_metric_rows': 5120, 'stage1_reward_rows': 512, 'stage1_runtime': 'D:\\HermesWorker\\runtime\\a7search8_seed_expansion_proxy_20260706\\shards\\a7search7_proxy_s041\\proxy_runtime\\stage1_halving'}",a7search7_proxy_s041,D:\HermesWorker\runtime\a7search8_seed_expansion_proxy_20260706\shards\a7search7_proxy_s041\proxy_runtime\a7v3s9_proxy_manifest.json
False,True,False,False,128,PASS_A7V3S9_PREREWARD_PROXY_SELECTED,0,2026-07-06T21:14:41Z,720,5120,2,D:\HermesWorker\runtime\a7search8_seed_expansion_proxy_20260706\shards\a7search7_proxy_s042\proxy_runtime\a7v3s9_proxy_selected_for_reward.csv,"['one_bar_lag', 'stale_168h', 'time_shuffle']","[8, 24]",D:\HermesWorker\runtime\a7search8_seed_expansion_proxy_20260706\queue_shards\a7search7_proxy_s042.csv,128,256,D:\HermesWorker\runtime\a7search8_seed_expansion_proxy_20260706\shards\a7search7_proxy_s042\proxy_runtime,1,2,1,1,A7V3S9_PREREWARD_OOS_CONTROL_PROXY,0,"{'enabled': True, 'halving_keep_rows_requested': 128, 'halving_kept_rows': 128, 'stage1_control_variants': ['time_shuffle'], 'stage1_eval_error_rows': 0, 'stage1_horizons': [24], 'stage1_input_rows': 512, 'stage1_metric_rows': 5120, 'stage1_reward_rows': 512, 'stage1_runtime': 'D:\\HermesWorker\\runtime\\a7search8_seed_expansion_proxy_20260706\\shards\\a7search7_proxy_s042\\proxy_runtime\\stage1_halving'}",a7search7_proxy_s042,D:\HermesWorker\runtime\a7search8_seed_expansion_proxy_20260706\shards\a7search7_proxy_s042\proxy_runtime\a7v3s9_proxy_manifest.json
False,True,False,False,128,PASS_A7V3S9_PREREWARD_PROXY_SELECTED,0,2026-07-06T21:13:35Z,720,5120,3,D:\HermesWorker\runtime\a7search8_seed_expansion_proxy_20260706\shards\a7search7_proxy_s043\proxy_runtime\a7v3s9_proxy_selected_for_reward.csv,"['one_bar_lag', 'stale_168h', 'time_shuffle']","[8, 24]",D:\HermesWorker\runtime\a7search8_seed_expansion_proxy_20260706\queue_shards\a7search7_proxy_s043.csv,128,256,D:\HermesWorker\runtime\a7search8_seed_expansion_proxy_20260706\shards\a7search7_proxy_s043\proxy_runtime,2,3,2,2,A7V3S9_PREREWARD_OOS_CONTROL_PROXY,1,"{'enabled': True, 'halving_keep_rows_requested': 128, 'halving_kept_rows': 128, 'stage1_control_variants': ['time_shuffle'], 'stage1_eval_error_rows': 0, 'stage1_horizons': [24], 'stage1_input_rows': 512, 'stage1_metric_rows': 5120, 'stage1_reward_rows': 512, 'stage1_runtime': 'D:\\HermesWorker\\runtime\\a7search8_seed_expansion_proxy_20260706\\shards\\a7search7_proxy_s043\\proxy_runtime\\stage1_halving'}",a7search7_proxy_s043,D:\HermesWorker\runtime\a7search8_seed_expansion_proxy_20260706\shards\a7search7_proxy_s043\proxy_runtime\a7v3s9_proxy_manifest.json
