motif,count
positive_prior_safe_div_rank,16
positive_prior_signed_rank,14
positive_prior_safe_div_abs,14
raw_add_rank,9
raw_signed_gate,7
raw_rank_mul,6
shadow_selected_rank_wrap,5
shadow_selected_exact_probe,5
flow_liquidity_rank_mul,4
regime_conditioned_scaled,4
regime_conditioned_rank,4
raw_safe_div_abs,4
funding_basis_spread,3
raw_spread_rank,2
funding_basis_state_mul,2
regime_conditioned_sign,2
flow_liquidity_scaled,1
