artifact,path,exists,rows
field_ontology_v3,runtime/a7ffr1_field_ontology_v3/a7ffr1_field_ontology_v3.csv,True,81.0
operator_response,runtime/a7ffr2_operator_probing_v2/a7ffr2_observed_operator_response.csv,True,21.0
feature_pair_policy,runtime/a7ffr3_feature_pair_policy_v2/a7ffr3_feature_pair_policy_v2.csv,True,3003.0
primitive_response_map,runtime/a7aa1_primitive_response_map/a7aa1_primitive_response_map.csv,True,648.0
field_enforcement_manifest,runtime/a7aif2_field_enforcement_regression/a7aif2_manifest.json,True,
materialization_manifest,runtime/a7aif3_materialization_evaluator_parity/a7aif3_manifest.json,True,
control_vector_quality,runtime/a7ffcore43e_control_vector_rebuild_audit/a7ffcore43e_sample_quality_gate.csv,True,6.0
orthogonal_replay_manifest,runtime/a7ffcore45e_orthogonal_book_replay_execution/a7ffcore45e_manifest.json,True,
orthogonal_forensic_manifest,runtime/a7ffcore45r_orthogonal_book_replay_forensic/a7ffcore45r_manifest.json,True,
