field_name,field_family,feature_role,reason,total_tests,primitive_response_candidate_count,premay_stable_count,control_like_count,lag_fragile_count,premay_unstable_count,best_label_families,best_horizons,best_transforms
trade_return_1h,price_return,predictive_signal_candidate,has_control_clean_lag_surviving_primitive_response,27,4,21,13,4,6,L7_ranked_future_return,1|4,cs_rank|level
realized_vol_24h,volatility,predictive_signal_candidate,has_control_clean_lag_surviving_primitive_response,27,2,23,21,0,4,L7_ranked_future_return,1,cs_rank|level
mark_index_basis_bps,basis_premium,predictive_signal_candidate,has_control_clean_lag_surviving_primitive_response,27,2,16,7,7,11,L0_raw_forward_return|L1_cross_sectional_relative_return,1,delta_24h
realized_vol_168h,volatility,predictive_signal_candidate,has_control_clean_lag_surviving_primitive_response,27,2,16,14,0,11,L7_ranked_future_return,1,cs_rank|level
premium_close_bps,basis_premium,predictive_signal_candidate,has_control_clean_lag_surviving_primitive_response,27,1,12,9,2,15,L7_ranked_future_return,1,delta_24h
