seed_id,expression,mode,decision,reason,detail,input_fields,input_field_count
,"Abs(ZScore(Mean(mark_index_basis_bps,8)))",ordinary_alpha,accept,ordinary_alpha_allowed,ic_013,mark_index_basis_bps,1
,"Abs(ZScore(Mean(mark_index_basis_bps,8)))",interaction_alpha,accept,interaction_allowed,ic_013,mark_index_basis_bps,1
,"Abs(ZScore(Mean(mark_index_basis_bps,8)))",rescue_lane,reject,rescue_lane_non_rescue_tag,A7INPUT_APPROVED_SIGNAL_PRIMARY,mark_index_basis_bps,1
,"Abs(ZScore(Mean(mark_index_basis_bps,168)))",ordinary_alpha,accept,ordinary_alpha_allowed,ic_013,mark_index_basis_bps,1
,"Abs(ZScore(Mean(mark_index_basis_bps,168)))",interaction_alpha,accept,interaction_allowed,ic_013,mark_index_basis_bps,1
,"Abs(ZScore(Mean(mark_index_basis_bps,168)))",rescue_lane,reject,rescue_lane_non_rescue_tag,A7INPUT_APPROVED_SIGNAL_PRIMARY,mark_index_basis_bps,1
,"Abs(ZScore(Mean(mark_index_basis_bps,24)))",ordinary_alpha,accept,ordinary_alpha_allowed,ic_013,mark_index_basis_bps,1
,"Abs(ZScore(Mean(mark_index_basis_bps,24)))",interaction_alpha,accept,interaction_allowed,ic_013,mark_index_basis_bps,1
,"Abs(ZScore(Mean(mark_index_basis_bps,24)))",rescue_lane,reject,rescue_lane_non_rescue_tag,A7INPUT_APPROVED_SIGNAL_PRIMARY,mark_index_basis_bps,1
,"Abs(ZScore(Mean(mark_index_basis_bps,72)))",ordinary_alpha,accept,ordinary_alpha_allowed,ic_013,mark_index_basis_bps,1
,"Abs(ZScore(Mean(mark_index_basis_bps,72)))",interaction_alpha,accept,interaction_allowed,ic_013,mark_index_basis_bps,1
,"Abs(ZScore(Mean(mark_index_basis_bps,72)))",rescue_lane,reject,rescue_lane_non_rescue_tag,A7INPUT_APPROVED_SIGNAL_PRIMARY,mark_index_basis_bps,1
,"Mean(mark_index_basis_bps,168)",ordinary_alpha,accept,ordinary_alpha_allowed,ic_013,mark_index_basis_bps,1
,"Mean(mark_index_basis_bps,168)",interaction_alpha,accept,interaction_allowed,ic_013,mark_index_basis_bps,1
,"Mean(mark_index_basis_bps,168)",rescue_lane,reject,rescue_lane_non_rescue_tag,A7INPUT_APPROVED_SIGNAL_PRIMARY,mark_index_basis_bps,1
,"Mean(mark_index_basis_bps,4)",ordinary_alpha,accept,ordinary_alpha_allowed,ic_013,mark_index_basis_bps,1
,"Mean(mark_index_basis_bps,4)",interaction_alpha,accept,interaction_allowed,ic_013,mark_index_basis_bps,1
,"Mean(mark_index_basis_bps,4)",rescue_lane,reject,rescue_lane_non_rescue_tag,A7INPUT_APPROVED_SIGNAL_PRIMARY,mark_index_basis_bps,1
,"Decay(mark_index_basis_bps,168)",ordinary_alpha,accept,ordinary_alpha_allowed,ic_013,mark_index_basis_bps,1
,"Decay(mark_index_basis_bps,168)",interaction_alpha,accept,interaction_allowed,ic_013,mark_index_basis_bps,1
