second_pass_family,left_field,left_transform,operator,right_field,right_transform,blueprint_id,label_family,label_horizon_h,orientation_from_train,premay_positive_split_count,premay_all_positive,control_ratio_premay_max,one_bar_lag_recent_oriented,lag_ok,h2_repair_candidate,near_miss,decision,train_2024_n,train_2024_mean_spread,train_2024_tstat,train_2024_nonoverlap_median_tstat,train_2024_nonoverlap_min_tstat,train_2024_positive_rate,validation_2025H1_n,validation_2025H1_mean_spread,validation_2025H1_tstat,validation_2025H1_nonoverlap_median_tstat,validation_2025H1_nonoverlap_min_tstat,validation_2025H1_positive_rate,test_2025H2_n,test_2025H2_mean_spread,test_2025H2_tstat,test_2025H2_nonoverlap_median_tstat,test_2025H2_nonoverlap_min_tstat,test_2025H2_positive_rate,recent_oos_2026JanApr_n,recent_oos_2026JanApr_mean_spread,recent_oos_2026JanApr_tstat,recent_oos_2026JanApr_nonoverlap_median_tstat,recent_oos_2026JanApr_nonoverlap_min_tstat,recent_oos_2026JanApr_positive_rate,avg_n_obs_recent,error
H2_I4_near_miss_repair,kline_taker_buy_quote_share,delta_2h,SafeDiv,median_quote_volume_168h,delta_4h,core16ke_H2_kline_taker_buy_quote_share_delta_2h_SafeDiv_median_quote_volume_168h_delta_4h,L0_raw_forward_return,1,-1.0,3,True,5.046625773555894,0.00020582894282475468,True,False,False,HOLD_A7FFCORE16KE_CONTROL_LIKE,708,-0.00028117047412043114,-2.237372963442956,-2.237372963442956,-2.237372963442956,0.4915254237288136,715,-1.192614618019186e-05,-0.11781768878494774,-0.11781768878494774,-0.11781768878494774,0.4825174825174825,713,-0.00022604147970258905,-2.2524922830852083,-2.2524922830852083,-2.2524922830852083,0.4600280504908836,719,-0.00034538148810282863,-2.0245801673515262,-2.0245801673515262,-2.0245801673515262,0.45479833101529904,76.42916666666666,
H2_I4_near_miss_repair,kline_taker_buy_quote_share,delta_2h,SafeDiv,median_quote_volume_168h,delta_4h,core16ke_H2_kline_taker_buy_quote_share_delta_2h_SafeDiv_median_quote_volume_168h_delta_4h,L1_cross_sectional_relative_return,1,-1.0,3,True,5.0466257735558955,0.00020582894282475468,True,False,False,HOLD_A7FFCORE16KE_CONTROL_LIKE,708,-0.00028117047412043114,-2.237372963442956,-2.237372963442956,-2.237372963442956,0.4915254237288136,715,-1.192614618019185e-05,-0.11781768878494765,-0.11781768878494765,-0.11781768878494765,0.4825174825174825,713,-0.00022604147970258905,-2.2524922830852083,-2.2524922830852083,-2.2524922830852083,0.4600280504908836,719,-0.0003453814881028287,-2.0245801673515262,-2.0245801673515262,-2.0245801673515262,0.45479833101529904,76.42916666666666,
H2_I4_near_miss_repair,kline_taker_buy_quote_share,delta_2h,SafeDiv,median_quote_volume_168h,delta_4h,core16ke_H2_kline_taker_buy_quote_share_delta_2h_SafeDiv_median_quote_volume_168h_delta_4h,L3_liquidity_tier_relative_return,1,-1.0,3,True,23.211721160516927,0.00016042765130735098,True,False,False,HOLD_A7FFCORE16KE_CONTROL_LIKE,708,-0.0002900655764512661,-2.373772203298088,-2.373772203298088,-2.373772203298088,0.4872881355932203,715,-2.7223713662068764e-06,-0.02714228960427746,-0.02714228960427746,-0.02714228960427746,0.4909090909090909,713,-0.0002351645828965054,-2.312176175500681,-2.312176175500681,-2.312176175500681,0.44460028050490885,719,-0.00035662692297230126,-2.0680305897171447,-2.0680305897171447,-2.0680305897171447,0.4575799721835883,76.42916666666666,
H2_I4_near_miss_repair,kline_taker_buy_quote_share,delta_2h,SafeDiv,median_quote_volume_168h,delta_4h,core16ke_H2_kline_taker_buy_quote_share_delta_2h_SafeDiv_median_quote_volume_168h_delta_4h,L5_vol_adjusted_return,1,-1.0,3,True,2.5336399941453815,0.00993354344394232,True,False,False,HOLD_A7FFCORE16KE_CONTROL_LIKE,708,-0.01930714292075956,-2.2650906929042725,-2.2650906929042725,-2.2650906929042725,0.4915254237288136,715,-0.005233490456106874,-0.47550835221799637,-0.47550835221799637,-0.47550835221799637,0.48391608391608393,713,-0.022264461138774207,-1.9340863263431434,-1.9340863263431434,-1.9340863263431434,0.47124824684431976,719,-0.033014454677859045,-2.018559152495053,-2.018559152495053,-2.018559152495053,0.4617524339360223,76.42916666666666,
H2_I4_near_miss_repair,kline_taker_buy_quote_share,delta_2h,SafeDiv,median_quote_volume_168h,delta_4h,core16ke_H2_kline_taker_buy_quote_share_delta_2h_SafeDiv_median_quote_volume_168h_delta_4h,L0_raw_forward_return,4,-1.0,3,True,3.4836905329857397,0.00027790738010446476,True,False,False,HOLD_A7FFCORE16KE_CONTROL_LIKE,705,-0.00047510246193823753,-1.8441862313848654,-0.9170885070782921,-1.8883328160984207,0.43546099290780144,712,-4.8442049748081896e-05,-0.21120582638022076,0.12280468256849889,-1.2458197151969517,0.5,710,-0.00037869557052892366,-2.1225203112109625,-1.2853533946535198,-1.8962714382382997,0.45774647887323944,716,-0.0006357970044389917,-1.892078750787307,-1.1922025312989777,-1.7133682730604227,0.4650837988826816,76.08611111111111,
H2_I4_near_miss_repair,kline_taker_buy_quote_share,delta_2h,SafeDiv,median_quote_volume_168h,delta_4h,core16ke_H2_kline_taker_buy_quote_share_delta_2h_SafeDiv_median_quote_volume_168h_delta_4h,L1_cross_sectional_relative_return,4,-1.0,3,True,3.4836905329857415,0.00027790738010446476,True,False,False,HOLD_A7FFCORE16KE_CONTROL_LIKE,705,-0.00047510246193823753,-1.8441862313848654,-0.9170885070782919,-1.8883328160984207,0.43546099290780144,712,-4.844204974808187e-05,-0.21120582638022067,0.122804682568499,-1.2458197151969517,0.5,710,-0.0003786955705289236,-2.1225203112109625,-1.2853533946535203,-1.8962714382382992,0.45774647887323944,716,-0.0006357970044389916,-1.8920787507873065,-1.1922025312989777,-1.7133682730604227,0.4650837988826816,76.08611111111111,
H2_I4_near_miss_repair,kline_taker_buy_quote_share,delta_2h,SafeDiv,median_quote_volume_168h,delta_4h,core16ke_H2_kline_taker_buy_quote_share_delta_2h_SafeDiv_median_quote_volume_168h_delta_4h,L3_liquidity_tier_relative_return,4,-1.0,3,True,3.169909063004243,0.00021874151511653956,True,False,False,HOLD_A7FFCORE16KE_CONTROL_LIKE,705,-0.0005413932031607091,-2.1111049687987253,-0.9844046975228105,-2.248775273906813,0.43120567375886526,712,-6.0301115070045354e-05,-0.27120498646304464,0.023041308611098044,-1.1594030142733025,0.5042134831460674,710,-0.00037785293173681035,-2.0875151231897333,-1.2741787885507754,-1.9210996860619765,0.47183098591549294,716,-0.0005983031730750021,-1.757424784593933,-1.1412410358033647,-1.7152431395886887,0.45670391061452514,76.08611111111111,
H2_I4_near_miss_repair,kline_taker_buy_quote_share,delta_2h,SafeDiv,median_quote_volume_168h,delta_4h,core16ke_H2_kline_taker_buy_quote_share_delta_2h_SafeDiv_median_quote_volume_168h_delta_4h,L5_vol_adjusted_return,4,-1.0,3,True,2.8951282716016924,0.02653138926417841,True,False,False,HOLD_A7FFCORE16KE_CONTROL_LIKE,705,-0.03387055497461082,-1.9918749628905807,-1.007265069448977,-1.8824496149844074,0.4524822695035461,712,-0.0028228079686846153,-0.11190193418916791,0.10676855572025842,-1.1212217804416276,0.5056179775280899,710,-0.04398511920476606,-1.925271339579986,-1.0875564614010313,-2.383285735060675,0.4591549295774648,716,-0.06955814164759223,-2.0019121192695555,-1.378823740688369,-1.9753981198654949,0.49162011173184356,76.08611111111111,
H2_I4_near_miss_repair,kline_taker_buy_quote_share,delta_2h,SafeDiv,median_quote_volume_168h,delta_4h,core16ke_H2_kline_taker_buy_quote_share_delta_2h_SafeDiv_median_quote_volume_168h_delta_4h,L0_raw_forward_return,8,-1.0,2,False,3.7286728913123017,0.0002171499108418939,True,False,False,HOLD_A7FFCORE16KE_PREMAY_UNSTABLE,701,-0.0007633080409299762,-2.2534411228482365,-0.9945581422055394,-2.9333177216967674,0.44365192582025675,708,8.529550090713149e-05,0.3170654454732225,0.37194870799535923,-1.4037752619615518,0.4971751412429379,706,-0.00024664126630569654,-1.0499409240545032,-0.4468974647558251,-1.4032939635902304,0.4886685552407932,712,-0.0006908218766350547,-1.5218535498291579,-1.0892181596964015,-1.64125857663273,0.4396067415730337,75.63055555555556,
H2_I4_near_miss_repair,kline_taker_buy_quote_share,delta_2h,SafeDiv,median_quote_volume_168h,delta_4h,core16ke_H2_kline_taker_buy_quote_share_delta_2h_SafeDiv_median_quote_volume_168h_delta_4h,L1_cross_sectional_relative_return,8,-1.0,2,False,3.728672891312296,0.00021714991084189415,True,False,False,HOLD_A7FFCORE16KE_PREMAY_UNSTABLE,701,-0.0007633080409299762,-2.2534411228482365,-0.9945581422055397,-2.9333177216967674,0.44365192582025675,708,8.52955009071316e-05,0.3170654454732229,0.3719487079953593,-1.4037752619615513,0.4971751412429379,706,-0.00024664126630569654,-1.0499409240545032,-0.4468974647558249,-1.4032939635902306,0.4886685552407932,712,-0.0006908218766350547,-1.521853549829158,-1.0892181596964012,-1.6412585766327301,0.4396067415730337,75.63055555555556,
