a7ls_arm,next_wave_family,semantic_pair,motif,blueprint_id,source_seed_id,source_info_axis,source_stability_tier,source_info_axis_score,source_label_families_seen,source_horizons_seen,source_priority_rank,expression,field_tokens,operator_path,skeleton_key,production_key,selected_for_next_numeric,uses_may,notes,company_numeric_shard,checkpoint_key
A7LS9_F,basis_context_interaction,basis_premium_like|age_x_liquidity,spread_interaction,a7ls9_00b2bc54e3a09b20,a7ls8_c72b33b209156410,vol_liquidity_x_basis,S0_strong_tradeable_probe,237.62555358873374,L0_raw_forward_return;L1_cross_sectional_relative_return;L5_vol_adjusted_return,24;8,1000,"Mul(Sub(Mean(mark_trade_basis_bps,12),Mean(mark_trade_basis_bps,72)),ZScore(Mean(age_x_liquidity,72)))",age_x_liquidity;mark_trade_basis_bps,Mul > Sub > Mean > Mean > ZScore > Mean,skel_0308f3e65a5691ec,prod_cfcb672861555c15,True,False,A7LS9 information-axis queue; mechanism deduped; no search authorization.,a7ls10_s000,a7ls10_s000::a7ls9_00b2bc54e3a09b20
A7LS9_F,basis_context_interaction,basis_premium_like|age_x_liquidity,typed_interaction,a7ls9_00b71a4a77654216,a7ls8_c72b33b209156410,vol_liquidity_x_basis,S0_strong_tradeable_probe,237.62555358873374,L0_raw_forward_return;L1_cross_sectional_relative_return;L5_vol_adjusted_return,24;8,1000,"Mul(Delta(premium_abs_168h,12),ZScore(Mean(age_x_liquidity,12)))",age_x_liquidity;premium_abs_168h,Mul > Delta > ZScore > Mean,skel_f67c1ef5960b62a9,prod_346886ae712261e2,True,False,A7LS9 information-axis queue; mechanism deduped; no search authorization.,a7ls10_s000,a7ls10_s000::a7ls9_00b71a4a77654216
A7LS9_F,basis_context_interaction,basis_premium_like|age_x_liquidity,basis_abs_gate,a7ls9_06566529f0c100aa,a7ls8_c72b33b209156410,vol_liquidity_x_basis,S0_strong_tradeable_probe,237.62555358873374,L0_raw_forward_return;L1_cross_sectional_relative_return;L5_vol_adjusted_return,24;8,1000,"Mul(Abs(ZScore(Mean(basis_abs_168h,336))),Sign(ZScore(Mean(age_x_liquidity,336))))",age_x_liquidity;basis_abs_168h,Mul > Abs > ZScore > Mean > Sign > ZScore > Mean,skel_da254b9e43a4008b,prod_0fbd04e99a882a98,True,False,A7LS9 information-axis queue; mechanism deduped; no search authorization.,a7ls10_s000,a7ls10_s000::a7ls9_06566529f0c100aa
A7LS9_F,basis_context_interaction,basis_premium_like|age_x_liquidity,spread_interaction,a7ls9_0c10b01067bacf45,a7ls8_c72b33b209156410,vol_liquidity_x_basis,S0_strong_tradeable_probe,237.62555358873374,L0_raw_forward_return;L1_cross_sectional_relative_return;L5_vol_adjusted_return,24;8,1000,"Mul(Sub(Mean(premium_close_bps,28),Mean(premium_close_bps,168)),ZScore(Mean(age_x_liquidity,168)))",age_x_liquidity;premium_close_bps,Mul > Sub > Mean > Mean > ZScore > Mean,skel_47b1aa240fcb2be3,prod_72b938b0e3b35be8,True,False,A7LS9 information-axis queue; mechanism deduped; no search authorization.,a7ls10_s000,a7ls10_s000::a7ls9_0c10b01067bacf45
A7LS9_F,basis_context_interaction,basis_premium_like|age_x_liquidity,basis_abs_gate,a7ls9_1516118b560238e4,a7ls8_c72b33b209156410,vol_liquidity_x_basis,S0_strong_tradeable_probe,237.62555358873374,L0_raw_forward_return;L1_cross_sectional_relative_return;L5_vol_adjusted_return,24;8,1000,"Mul(Abs(ZScore(Mean(premium_abs_168h,12))),Sign(ZScore(Mean(age_x_liquidity,12))))",age_x_liquidity;premium_abs_168h,Mul > Abs > ZScore > Mean > Sign > ZScore > Mean,skel_1b87fe427c5ac75f,prod_ff2e68132d0ee59f,True,False,A7LS9 information-axis queue; mechanism deduped; no search authorization.,a7ls10_s000,a7ls10_s000::a7ls9_1516118b560238e4
A7LS9_F,basis_context_interaction,basis_premium_like|age_x_liquidity,basis_abs_gate,a7ls9_15a0a6e5899b9e25,a7ls8_c72b33b209156410,vol_liquidity_x_basis,S0_strong_tradeable_probe,237.62555358873374,L0_raw_forward_return;L1_cross_sectional_relative_return;L5_vol_adjusted_return,24;8,1000,"Mul(Abs(ZScore(Mean(premium_abs_168h,168))),Sign(ZScore(Mean(age_x_liquidity,168))))",age_x_liquidity;premium_abs_168h,Mul > Abs > ZScore > Mean > Sign > ZScore > Mean,skel_b5fce9a8fedbbbb9,prod_810e77b85267049f,True,False,A7LS9 information-axis queue; mechanism deduped; no search authorization.,a7ls10_s000,a7ls10_s000::a7ls9_15a0a6e5899b9e25
A7LS9_F,basis_context_interaction,basis_premium_like|age_x_liquidity,basis_abs_gate,a7ls9_18ebc2096fc1ddec,a7ls8_c72b33b209156410,vol_liquidity_x_basis,S0_strong_tradeable_probe,237.62555358873374,L0_raw_forward_return;L1_cross_sectional_relative_return;L5_vol_adjusted_return,24;8,1000,"Mul(Abs(ZScore(Mean(mark_index_basis_bps,24))),Sign(ZScore(Mean(age_x_liquidity,24))))",age_x_liquidity;mark_index_basis_bps,Mul > Abs > ZScore > Mean > Sign > ZScore > Mean,skel_129d7d00be3e2989,prod_3b1bac300588dac8,True,False,A7LS9 information-axis queue; mechanism deduped; no search authorization.,a7ls10_s000,a7ls10_s000::a7ls9_18ebc2096fc1ddec
A7LS9_F,basis_context_interaction,basis_premium_like|age_x_liquidity,spread_interaction,a7ls9_19705b4b217e4496,a7ls8_c72b33b209156410,vol_liquidity_x_basis,S0_strong_tradeable_probe,237.62555358873374,L0_raw_forward_return;L1_cross_sectional_relative_return;L5_vol_adjusted_return,24;8,1000,"Mul(Sub(Mean(mark_trade_basis_bps,56),Mean(mark_trade_basis_bps,336)),ZScore(Mean(age_x_liquidity,336)))",age_x_liquidity;mark_trade_basis_bps,Mul > Sub > Mean > Mean > ZScore > Mean,skel_4c58456f1f2a2dbf,prod_b662617673b80a9b,True,False,A7LS9 information-axis queue; mechanism deduped; no search authorization.,a7ls10_s000,a7ls10_s000::a7ls9_19705b4b217e4496
A7LS9_F,basis_context_interaction,basis_premium_like|age_x_liquidity,typed_interaction,a7ls9_19d3b0282494129a,a7ls8_c72b33b209156410,vol_liquidity_x_basis,S0_strong_tradeable_probe,237.62555358873374,L0_raw_forward_return;L1_cross_sectional_relative_return;L5_vol_adjusted_return,24;8,1000,"Mul(Delta(basis_abs_168h,8),ZScore(Mean(age_x_liquidity,8)))",age_x_liquidity;basis_abs_168h,Mul > Delta > ZScore > Mean,skel_882af659771c7a99,prod_6a7c793d802bcc8d,True,False,A7LS9 information-axis queue; mechanism deduped; no search authorization.,a7ls10_s000,a7ls10_s000::a7ls9_19d3b0282494129a
A7LS9_F,basis_context_interaction,basis_premium_like|age_x_liquidity,basis_abs_gate,a7ls9_1cc9c556dad2fc5c,a7ls8_c72b33b209156410,vol_liquidity_x_basis,S0_strong_tradeable_probe,237.62555358873374,L0_raw_forward_return;L1_cross_sectional_relative_return;L5_vol_adjusted_return,24;8,1000,"Mul(Abs(ZScore(Mean(premium_abs_168h,24))),Sign(ZScore(Mean(age_x_liquidity,24))))",age_x_liquidity;premium_abs_168h,Mul > Abs > ZScore > Mean > Sign > ZScore > Mean,skel_1b87fe427c5ac75f,prod_896d5ae73b44baa0,True,False,A7LS9 information-axis queue; mechanism deduped; no search authorization.,a7ls10_s000,a7ls10_s000::a7ls9_1cc9c556dad2fc5c
